Comentarios,Sentimiento
excelente trato hoy asistí por primera vez a este centro médico y  tención fue muy buena el pediatra tuvo sucifiente tiempo para  poder explicarme  situación de mi hijo  administrar  medicación,positivo
 personal de enfermería de laboratorio de no tiene buena actitud con  pascientes  lugar tiene excelente infraestructura y dotado de equipos de punta tiene pocos lugares de estacionamiento,neutro
 servicio médico es muy bueno  instalaciones  muy buenas no tiene emergencia  y ahora no se puede pedir cita directamente  en ciertas  especialidades y  call  center  nunca te da cita en este centro,neutro
muy limpio baños de calidad atención médica muy buena personal administrativo muy amable y presto a ayudar,positivo
excelente dispensario para consultas no se realizan procedimientos y no tiene emergencias son consultorios medicos,positivo
excelentes instalaciones  facilidad de parqueo  rápida atención,positivo
lo bueno que ahí en ese lugar existe taxis para poder movilizar tanto de  de regreso,positivo
en general es bueno  agendamiendo de citas sigue siendo un problema,neutro
es un lugar limpio de buenos accesos una atención buena,positivo
excelente administración buena atención se nota  el trabajo planificado,positivo
lamentablemente  persona especial que atiende en ventanilla es muy poco amable casi cae en despota,neutro
excelente atención  médico familiar es un excelente médico,positivo
hoy fuimos a  vacunación contra  covid19 todos  errores iniciales superados una excelente atención eso  debe ser  servicio público felicitaciones y sigan así,positivo
acabo de vacunarme  servicio profesional de  servidores del iess excelente pero  viveza criolla y  falta de respeto daña todo,neutro
muy buena  atención al cliente una infraestructura elegante además de ofrecer buenos servicios,positivo
emergencias atiende 247 es funcional y atienden bastante rápido  atención es buena  a otros iesss hay especialidades que operan en este lugar en horario administrativo no sé por que se llama iess cotocollao si este,positivo
iess cotocollao una atención muy rápida muy ágil y sobre todo  personas de atención al usuario son respetuosos y muy rápidos un excelente servicio,positivo
muy limpio ordenado todos muy amables prestos a ayudar,positivo
atención muy demorada en emergencias  médicos pasan fuull ocupados pero son muy buenos  personal son muy amables,positivo
mi experiencia aquí siempre ha sido buena hasta por emergencia han sabido solventar rápido  necesidades del paciente,positivo
les falta capacitación en atención al cliente  personal a excepción de una señora que trabaja ahí hace años no atiene rápido en  distintas ventanillas ya que conversan entre ellos o por  celular juegan con  tiempo y dinero de,negativo
debería alguien informar que  gente tome asiento  porque se va al llamar por  nombres ya que para realizar  isopado  tocó hacer una fila degana para citas medicas les   excelente prestador de servicio en mi opinión  mejor que tiene convenio  iess,neutro
organizado limpio y  atención ágil cuando fui al iess san francisco y me derivaron allá pensé que iba a ser un problema de echo mucho mejor y rápido,positivo
me trataron excelentemente bien me ayudaron muy rápido y muy eficiente gracias a  doctores estuve sola y me apoyaron muchísimo,positivo
 servicio de  médicos es bueno y en general  atención es muy buena es  y tiene muchos servicios a  pacientes con calidad y calidez ,positivo
para  caso de emergencia de vías respiratorias  tiempo de atención fue bueno y  personal amable,positivo
son muy atentos con sus pacientes  médicos cumplen con  necesidades de cada paciente,positivo
recibí atención oportuna en  área de emergencias con personal capacitado y amable,positivo
excelentes profesionales de  salud especialmente  área de neurología y oftalmología,positivo
 dra gineoncóloga pamela vallejo  fue mi cirujana y es una excelente profesional todo  personal estuvo muy atentados a mis cuidados quedé muy bien de mi cirugía les agradezco muchísimo,positivo
excelente a mi abuelito le atendieron y  trabajo es impecable a pesar de que es un personal para un montón de gente muy agradecida por  trabajo brindado aunque  situaciones no son fáciles en  sector salud del país  personas allí dan un buen servicio,positivo
excelente hospital del instituto ecuatoriano de seguridad social una atención agradable y con un grupo humano de profesionales en medicina lo  para todos  afiliados,positivo
negligencia tras negligencia si no desea vivir una experiencia muy lamentable estando enfermo mejor ni se acerque a este hospital que lo que parece es un simple hotel hay falta de insumos y de buenos profesionales empáticos y morales hay,negativo
excelentes médicos un poco lenta  atención pero resuelven problemas,positivo
entré por  área de emergencias por una fractura de  pierna todos me atendieron muy bien y con una rapidez digna de agradecer  médicos muy amables y me derivaron a cirugía en cuestión de un par de minutos lamentablemente no tenían,positivo
agradezco mucho al hospital a  doctores enfermeras personal en general tuve una cirugía y todo estuvo excelente gracias por  gran aporte y  gran cuidado que dan a sus pacientes aun debo volver por controles y espero que siga así de  me atendieron en  cirugía,positivo
excelente hospital queria agradecerle a  doctores palacios zoporta y  doctora plaza  mi padre franklin vizuete fue operado con gran éxito y a toda  área de neurocirugía gracias a  señoritas enfermeras y a todo  personal que,positivo
excelente hospital y muy agradecida con  dr palacios y dra plaza de neurocirugía excelentes profesionales operaron a mi padre franklin vizuete viteri de un tumor en  columna y esta super bien caminando dr palacios dios le pague por,positivo
muy buen servicio  edificio podrian estar un poco más renovados  pero  servicio medico es muy bueno  staff medico es de gran ayuda al paciente,positivo
una excelente atencion muy   agradecida con  personal medico  estuve internada algunos días  atencion  es buena gracias dra davila por todo   me realizaron una hablacion  en  corazón  y me siento feliz mi estilo de vida cambio  mil  gracias dr jose luis laso quien me realizo ablación,positivo
totalmente agradecido  con 3 doctores dr palacios dra plaza y dr zoporta de neurocirugíamuy buen servicio le operaron a mi padre y lo hicieron excelente y  resultados totalmente positivos,positivo
 atención médica excelente lastimosamente no hay todas  medicinas,positivo
buena atencion para niños considerando  pandemia en  área de pediatría se manejan buenos protocolos cuando detectan pasientes con covid,positivo
gracias a  dr palacios dra plaza y dr zoporta por  excelente profesionalismo operaron a mi amigo franklin vizuete  de un tumor de  columna y se encuentra muy bien muchas gracias,positivo
bueno  hospital andrade marin es bien amplió  y atiende a miles de personas,positivo
dios  bendiga y proteja en especial a neurocirugia son una eminencia excelentes profecinales gracias por devolver  vida a  personas,positivo
un excelente hospital lleno con  mejores profesionales del país,positivo
es una excelente institucion de salud tecnologia de punta y profesionales de muy alto nivel,positivo
muy buena atención me ayudaron en todo lo que necesite en hospitalización son excelentes,positivo
hay buenos profesionales  pero atienden a una infinidad de pacientes  nosotros apoyemos  salud con un poco de tolerancia,positivo
excelente atención en emergencias odontológicas totalmente agradecida,positivo
excelente atención en todos  servicios que me han atendido,positivo
todavía falta mucho para una atención de calidad reconozco que hay mejoras y buenos avances,positivo
 servicio no es excelente pero ha mejorado mucho con respecto a años pasados,positivo
señor director del centro medico central quito muy buenos  días  por pedirte un favor no se que  pasa en  distribución  de turnos para  metabólicos  ya estamos,neutro
excelente  medico general para  tercera edad pero no hubo  medicina para  colesterol,neutro
excelente trato de  doctora ventura muy limpio todo y con extremo cuidado para que no haya contagios,positivo
después de agendar el turno es lo más rápido para un tratamiento de parálisis,positivo
tengo que decirlo lamentablemente  atención a  pacientes es deficiente no por  médicos que atienden a  pacientes son excelentes profesionales sino  problema radica en admisión donde uno tiene que ir a calificarse para que le puedan atender en su cita médica se demora eternas memorias,neutro
excelente atención deberían mejorar  implementar  fila preferencial para atencion en ventanillas,positivo
un maltrato increíble  guardia no deja entrar a al acompañante del enfermo ya se enterará si le pasa algo al enferno dijo  guardia con mala actitud ojala  muerto nos haga una llamada del más alla lo que se espera de iess,negativo
"lo bueno es que han mejorado en dar información al público existen personas que orientan al usuario  mayoria de médicos son puntuales en sus citas
lo malo es  hacinamiento en laboratorio para entregar  muestras  personas esperamos hombro con hombro con  muestras y  turno en  mano",neutro
lugar limpio pero parece desgastado por  uso instalaciones útiles pero antiguas no han sido renovadas servicios de salud estan bien atención normal,positivo
hay mejor atención y más orden en  instalaciones  lo malo vendedores ambulantes  dentro del centro,neutro
" atención prestada buena no a  velocidad que uno necesita  en todo hay que esperar
tienen una carpa para  espera pero igual  gente no respeta o le falta un",positivo
 atención es bastante buena y rápida me operaron pronto cuando en otro hospital del iess me informaron que había lista de espera de un año además  habitaciones son aseadas y están casi nuevas  personal medíco y de enfermería muy,positivo
un hospital  ordenado y atención increíble siempre están pendientes en todo momentos máquinas nuevas y excelentes profesionales que te hacen sentir seguro,positivo
"un hospital muy moderno con una infraestructura de alta tecnología
son 5 torres con ascensor salas de espera
médicos enfermeras camilleros personal de logística y administrativos son muy",positivo
"cuenta con una infraestructura grande y moderna pero  atención es pésima  personal parece no estar bien capacitado y hay 
es una pena porque da una mala imagen de  salud pública hay centros médicos y hospitales del iess que si dan una buena atención",neutro
hoy 01072019 visité por primera vez este hospital   infraestructura es impactante muy moderno lastimósamente en derivaciones un personal de presencia buena pero que trata mal a  afiliados por otra parte me enviaron a otra,neutro
yo he asistido con estudiantes del colegio donde trabajo son hijos de afiliadosentran inmediatamente y toman signos vitales se espera un tiempo prudencial para que les atiendan y les hagan  procedimientosen mi opinion la atencion es muy buena,positivo
excelente atención   tienen consideración con  usuario  infraestructura de primera es  primera cita   cero quejas del usuario,positivo
 atención es excelente lo único malo que no hay  mayoría de medicamentos,neutro
en este hospital  servicio es de primera  habitación super aseadas y modernas  aparatos con que trabajan de última tecnología lo único que no megusts es que no dan mucha información acerca de  pacientes y te hacen esperar,neutro
 atención del personal médico es muy buena lamentablemente  servicio de asesores falla frecuentemente lo que causa malestar principalmente en adultos mayores que requieren consulta externa,neutro
a pesar de  filas de espera para mis turnos  atención es excelente y tiene  insumos necesarios,positivo
"pésimo pésimo  servicio
mala informacion por un certificado no disen ni quien da ya voy 3 horas solo esperando  certificado y no puedo retirarme a descansar",negativo
hay que esperar mucho tiempo para que le atiendan en una emergencia,negativo
realmente pésimo uno llama alzan  teléfono y cuelgan creo que  personas que trabajan contestando no son lo suficientemente capacitados,negativo
estuve desde  9 pm hasta  otro día y no me atendieron que malos no me gusta,negativo
pésimo servicio en  área de derivación de fisioterapia llegó con más de 30 hora antes para podet pasar a  cita y  chica se demora en verificar  turnos  adicional si no tienes padrinos no te dan turno pésimo  incluso cuando estuve esperando una enfermera le pidio que le ingrese un turno a un paciente,negativo
"no hay suficientes ascensores y  mismos son muy pequeños no todo  personal es amable de repente les hace falta un curso de relaciones humanas
preguntar bien porque si se puede ingresar con vehículo para personas con  lo malo es que suele estar lleno  parqueadero",negativo
"estuve esperando más de 1y30 de  cita que tenia y debido a eso no pude asistir a otros aventos que tenia
es muy bonito solo que  atención es muy tardada",negativo
no me llaman hasta ahora para darme  derivacion desde  28 de febrero llevo esperando para una endoscopia y colonoscopia urgente que me derivo  gastroenteorologa de biodilab llamo y no responden ningun telefono terrible atencion y servicio,negativo
 chiste de  sala derivaciones es un espacio para estar calentando  puesto se espera meses para tomar un turno en especialidad  gente que trabaja  ineficiente recibiendo  sueldo de gratis terrible  situación de ese intento de hospital,negativo
"no me gustó para nada hacen perder mucho en tiempo hay que sacar turno para  turno del turno
adicional  dr cando de medicina familiar muy mal educado  ofensivos y fuera de lugar y se burla de  de  pacientes pésimo lugar",negativo
muy buena  atención de su personal lo único que  recepcionistas de  piso 4 no dan buena información uno va a pedir por favor un turno y brava dice no hay aquí para oftalmología vaya a otro dispensario del iees con una mala actitud ni para traumatología,neutro
buenas tardes tengo una solicitud para derivación de clínicas privadas con convenio para colposcopia endoscopia y colonscopia pero me dicen que debo esperar 2 meses por lo menos para   respuesta pueden ayudarme con estos,negativo
 atención es muy demorada pero lo realmente malo es que  baños están muy sucios y no hay papel higiénico y es un centro de salud,negativo
pésima atención  oftalmología muy mala  doctora se enoja con  pacientes y les habla mál pésima para  atencion debería sacarla no se porque atienden mal si una pága iess para  buena  atención pero muy mal servicio de oftalmología y odontólogia  no l,negativo
por que  stra que atiende en  recepción no se rije   es su obligación  a  personas que tienen su  le ve que está con uniforme de doctora le ase rápido  trámite de sacar turno mientras  resto tiene que esperar y mirar  monitor a ver si pasa algún número todo está burocracia tiene que cambiar,negativo
para  atención de referencia en ventanilla fue rápido claro llegue a  1200 horas  lo malo es que ni hay parqueadero cercano,neutro
necesito poder  quejarme de un mal servicio  a donde acudo,negativo
 guardia que entrega turnos es   y estafador entrega turnos a su conveniencia sin respetar ni hora de llegada ni edad de  pacientes ni nada a  personas de  tercera edad les  animales ponen un guardia,negativo
"no tienen una sala de espera adecuada solo hay una carpa fuera hace demasiado frío
 atención es demorada poco personal y  trabajadores no son muy amables
no hay medicinas",negativo
"malo malo malooooo
cómo es posible que en un hospital hayan dos doctores para atender a todas  personas",negativo
pésimo servicio en especial con  de uci  una evelyn cevallos y creo que es  amante por que aparte parece cabaret gracias al espectaculo tan deplorable de esta gentuza  deberían sacar de nomina a esos sinvergüenzas,negativo
 atención mala mi hija muy mal y no dan  prioridad a niños y adultos mayores están afuera padeciendo y nadie les atiende rápido,negativo
un pésimo servicio parece que todo mundo está se vacaciones nadie atiende todos en  cháchara,negativo
es un desperdicio de dinero  seguro se paga un seguro por ser bien atendido llegué con temperatura alta en  madrugada 410am y nos hicieron esperar afuera en  frío casi dos horas no sirve de nada tener seguro,negativo
 área de validacion no tratan con amabilidad mejor diríjase a  doctores o enfermeras cuáles aún tienen algo de decencia y amor por ayudar al enfermo que es muy posible que les atiendan y no tengan que esperar meses en su cabio de turno,negativo
 tiempos de espera en dias normales no son largos son muy largos eso si  dias despues del feriado esos dias se llenan de gente buscando certificados hay carencia de especialistas en  emergencia aunque  mayoria del tiempo hay,negativo
 tiempo de espera es demasiado  atención es buena pero no hay medicinas toca salir  fuera del hospital y eso está mal ya q estamos aportando,neutro
este hospital está abierto  24 horas del día pero  atención es muy mala para una  mínimo hay que esperar 4 horas aunque estés pagando por  servicio  verdad es muy deficiente creo que realmente no atienden,negativo
pésimo servisio  de entrada no hay una ventanilla done se pueda preguntar se le pregunta a alguna enfermera o doctora no saben nada bueno me puse en  fila donde deriban  examenes parada una hora en  fila llego a ,negativo
pésimo servicio   servicio pésimo  atención  por mencionarle en  área de emergencias   atención en  sector donde se dan  turnos  uhhh esa persona que atiende  me  hay gente así que esta en esos puestos  pésimoparecía mudo  eso debe cambiar poner gente que verdaderamente sirva de algo,negativo
mal muy mal 4 horas y no pueden atender a mi hijo de 6 años hasta cuando,negativo
pésima  atención  señorita de agendamiento de turnos atiende a  pacientes sin amabilidad y es una patada grosera diciendome de manera grosera y alzandote  voz que ella no da informaciónes y que me valla a otro lado  primo pésimo pésimo  personal,negativo
no hay derivaciones ni tampoco para examen de control y  pediatra que atendió a mi hijo que actitud tan fea y cuando uno va a sacar cita solo hay en ese lugar  tampoco me dieron medicina ni nada pésimo servicio ir desde lejos para que lo traten así,negativo
"fui a una revisión te atienden con  puertas abiertas no hay privacidad  médico que me atendió no me preguntó absolutamente nada me dijo a que viene 
tuve que esperar 130 para retirar medicina de  farmacia no había nada",negativo
mi hija tuvo cita con una pediatra pero ella muy arrogante ni siquiera me escuchó cuando trate de explicar  situación de mi hija me interrumpía y de mala gana me dijo que ya me iban a llamar para que mi hija pueda ser intervenida ya,negativo
no buscan curar a  afiliados nadie controla  mala atención de  médicos,negativo
a ultimo momento me llamaron a cancelar mi cita para  cual espere 2 meses y me reagendan para dentro de 1 mes más no es  clínica es  iess en general es  colmo  mal servicio que dan a  ecuatorianos,negativo
 pediatra que atendio a mi niña fue demaciado parco nada profecional le lleve a mi niña  de 1 año 3 meses de ead con malestar estomacal este medico dijo que solo esta tratando afecciones respiratorias extendio  receta,negativo
pésimo nadie da una buena atencion no guían al paciente te indican mal a dónde es que se tiene que acercarse y por eso  se pierden  turnos pésima atención  draguerrero de medicina interna se le explica y solo dice q vuelva a coger otro turno y todo por un minuto,negativo
en farmacia deberian agilizar  atención aumentar más personal no solo una persona se espera demasiado tiempo más de 30 minutos siendo un centro de salud debe evitarse  conglomeración de personas,negativo
 centro de  del pueblo se encuentra al norte de  ciudad de quito cuenta con una gran infraestructura amplias salas de espera señalética adecuada para guiarse dentro del hospital buena atención del personal y parqueadero para visitantes en general buena atencion,positivo
nunca contestan  telefono a  afiliados me parece un maltrato de parte del centro no vamos a ir solo por una inquietud tan lejos,negativo
no contestan  número de teléfono a  afiliados está muy lejos para ir por una inquietud me parece muy mal eso porfavor cambien eso gracias,negativo
debería haber un control de tránsito en  afueras ya que  taxistas se estacionan donde les da   siempre y causan malestar en  trafico,negativo
pésimo servicio no se saca uno yendo allá si nunca tienen medicinas no se para que nos descuentan cada mes  si no hay un buen servicio,negativo
 atención es buena se tiene que esperar un poco hay que tomar en cuenta que se atiende según  emergencia por lo demás en lo particular me han atendido muy bien,positivo
 servicio es para asegurados es necesario esperar para ser atendido,negativo
pésimo actuar con  personas que necesitan información pésimo servicio,negativo
horrible cuidado no atiende rápido casi casi tienes que estar muerto para que te atiendan no dan exámenes no haces ni siquiera  exámenes pertinentes para dar un diagnóstico terrible sitio,negativo
acabo de ir a varios llegan  supuestos médicos y preguntan  síntomas riéndose cómo si se burlan me hacen esperar para luego decirme que no me van atender riéndose también pertenezco al sistema de salud y me parece de lo peor este servicio,negativo
pésima atención tiempo de espera más de 4 horas solo para una simple consulta hay varios pacientes que esperan con dolor muy pesima coordinación,negativo
para una simple consulta estuve  2 horas al personal no le interesa en nada  bienestar del paciente puesto que te tienen esperando inclusive afuera del edificio,negativo
 verdad es que es un buen centro medico ademas de contar con servicio de rx y atencion toda  noche  verdad si desean una atención les  todo lugar publico tienen que esperar su turno,positivo
más de 10 personas esperando en emergencias y no hay nadie que atienda y si se pregunta responden no es asunto mio,negativo
"horas sin atención  guardia hace pasar a sus conocidos 
pésimo mejor dirigirse a otro centro",negativo
"pesima atención tanto de  personas que te atienden en   personal médico
 atención es realmente mala",negativo
terrible atención al menos 4 personas se fueron porque pasaron 4 horas y no se les hacía  revisión no les importa  emergencia del paciente pésimo servicio,negativo
muy pero muy mal servicio por parte de  enfermera de emergencia una persona venezolana muy grosera  médicos son otra cosa muy delicados y minuciosos excelentes profesionales,negativo
algunos doctores de emergencia son muy déspotas con  pacientes y gritan y atienden de mala gana,negativo
mi hija dio a luz y su bebé tuvo que quedarse en cuidados intermedios de neonatología maltrato y descuido por parte de  mayoría de enfermeras a cargo es lo que se recibió en este lugar,negativo
buena experiencia en  trato de doctores área de traumatología columna mi mamá salió muy bien lo único de malo es que  materiales e insumos que si es un gran gasto en  debemos tener derecho para algo se está pagando  iess por otra parte buena atención médica,neutro
aquí  enfermeras son unas groseras mal educadas con  fuera de lugar enserio si no tienen vocación mejor de díquense a otra cosa y ni hablar de esos guardias inhumanos que no dejan entrar a ver al familiar ni dan informes,negativo
 día de hoy en horas de  tarde en emergencias del hospital andrade marín se presentan dos señoras y un caballero  se acercan a ventanilla sacan turno para emergencias toman asiento a esperar a  pocos minutos sale una señora,neutro
hoy 270623 necesitaba saber que paso con una derivación tramitada hace 2 meses que puestamente me llamaban  pero  persona encargada ni siquiera  en averiguar que había pasado con mi proceso pésima atención no ponen personas preparadas en información,neutro
es un centro hospitalario muy antiguo que necesita una remodelacion urgente  luminaria es deficiente  estructura es vieja y desgastada  médicos hacen lo posible por prestar una buena atención pero  infraestructura deja mucho que desear,neutro
arrepentimiento total llevé  ami hija con fiebre y ho sorpresa no tiene nada creo que no se toman en serio a  pacientes a mi hija se le agravó y ahora está hospitalizada con neumonía se escudan con que no hay pediatras en,negativo
negligencia total acudí a emergencias llevo un mes trabajando bajo dependencia y aún si no me atendieron en emergencias presento muchos síntomas que espero no sean abrasivos ni letales cuento con una mujer embarazada a mi lado mi,negativo
 problema es que con  gobierno de lenin moreno y guillermo lasso no hay medicinas de lo demás sí hay atención aceptable,neutro
no hay atención por emergencias dicen que vaya al laboratorio y farmacia y todo está  pueden atender de esa manera que negligencia,negativo
uno acude a estos centro de atención del iess debido a que pagamos nuestros aportes mensualmente y por  emergencias medicas que se nos presentan para encontrarse con una pésima atención desde  ingreso con  guardias no pueden ni siquiera informar sobre nuevos procesos en  ingreso para llenar datos en un papelito,neutro
bastante gente en sus instalaciones falta personal de atención a  afiliados cuando estuve ahí de  6 cubículos solo atendían 2,neutro
 trato de algunas enfermeras se quedó en  siglo anterior déspota y alarmista por  contrario muchos médicos ejercen su trabajo con mayor equilibrio humanismo y ponderación ofrecen cobertura muy amplia a  afiliados aunque está,neutro
 atención es un poco lenta ya q antes de  cita se debe hacer una cola inmensa para poder pasar a ser atendido pero  atencion de  médicos si es super buena,neutro
dra daniela salvador pésima atención lo único que le importa es cobrar un sueldo 0 atención al paciente gritona altiva,negativo
no existe una   personal muchas veces son groceras,negativo
de  mejores centros de salud es importante saber que no cuentan con servicio de imagen por lo que si tienen una fractura o signos de apendicitis es mejor ir a un hospital para que les puedas evaluar con ecografía o radiografía,neutro
como en toda institución pública hay q tener mucha paciencia con  gente q trabaja en ventanilla y preguntar si algo se desconoce porque ellos no explican nada,neutro
todos  hospitales  un laberinto tenemos que ir con más tiempo y estaremos bien,neutro
 atención en emergencias es tardía no tienen un sistema adecuado de atención al paciente tampoco tienen odontología servicios,neutro
hay que ir con anticipación a  cita porque previamente hay que hacer larga fila en información,neutro
da pena este lugar ni para nombrarse hospital mi abuelita  llevaron de emergencia y no   debe de ser mi abuelita sigue enferma no le han recetado medicina ni le hacen exámenes de sangre para ver que tiene,negativo
pésima atención  señorita de admisión nisiquiera saludaaparte en  chequeos ginecologicos cuando una está embarazada debería dejar ingresar con  esposo  también forma parte del embarazo y fomenta  vínculo con  bebé,negativo
pésima atención  doctor que le atendió a mi mamá fisioterapeuta grosero déspota da  contra a  indicaciones del médico que  operó minimiza sus síntomas  si pudiera poner cero le pusiera,negativo
no se abastecen muchos enfermos en emergencia no tienen asientos para  pacientes y peor para  acompañantes  como que les vamos a obstaculizar su trabajo,negativo
en serio no se que pensar a estás alturas no se si es ineptitud o desinterés por  o  paciente no se si sirva de algo  opiniones de aquí pero en serio que decepción que da  profesionales en especial de ginecología de emergencia que para colmo no sirven ni para atender,negativo
 atención por lo que  un familiar es que es muy buena pero le pongo 4 estrellas porque se demoran un siglo solo por coser una herida muy  de 5 puntos estuvimos desde  3 de  tarde hasta  10 casi de  noche ya,neutro
"toda una barbarie su atención   profesionalismo dejan mucho que desear  es  institución que cobra para brindar un servicio privado  que más bien queda por muy debajo que de un servicio público
todos  servicio es ineficiente",negativo
 servicio es fatal se demoran más de 5 horas para atender a un paciente lo peor de todo es  personal no tiene  paciencia para indicarte donde quedan  áreas correspondientes  doctores pasan y pasan a lado de uno y ni siquiera se,negativo
me pueden informar sobre  doctora liliana rodríguez de cardiología pediatrica que tal es  trató con  niños y pacientes porfavor es primera vez que voy a ese hospital,neutro
emergencia primero ir a triaje luego admisiones y de ahí al médico si van con pedido de isopado covid de un dr de centro médico de convenio con  iess no sirve de nada deben hacer todo  proceso de emergencia para que  doctor,neutro
mi esposa tiene cáncer está con dolor de cabeza fuerte presión 172 y glucosa 144 estamos en emergencia ya 1 hora y no hay quien atienda sin  7 y 2p,neutro
mi madre tenía una cirugía programada para  lunes 22 de mayo en  iess central pero se dañó lamaquina y le derivaron a este hospital pero aquí le dicen que no hay cirugías es decir que mi madre boto 35 años de su vida aportando al,neutro
muy buena atención en esta época de pandemia han ayudado a mucha gente creo en  profesionalismo del personal médico y enfermería del hospital al momento si hay medicinas y aunque no hay consulta externa en emergencia buena atención,positivo
buena atención  estacionamiento esta muy lejos de  entrada principal con una persona en silla de ruedas si llueve te empapas es mejor en este caso ir en taxi,neutro
es uno de  hospitales más modernos de quito con equipamiento  con otros hospitales del país tuve  oportunidad de conocerlo hace poco estuve en  área de pediatria en hospitalizacion y  paredes están decoradas,positivo
instalaciones modernas no hay atención personalizada trámites engorrosos sin control de calidad del servicio médico y tratantes,neutro
