,Comentario Corregido,Sentimiento
348,excelente hospital tiene una buena atención y un control estricto del covid,positivo
411,"muy buenas instalaciones muy buenos equipos  excelente atención al fin algo digno para  afiliados
 centro médico familiar integral y especialidades diálisis  mariscal no le",positivo
418,buenos días estoy necesitando cambiar citas medicas de mis hijos con especialistas y en  call center 140 no lo pueden hacer me dan un número telefónico del hospital que solo envía a extenciones que nunca  puedo hacer para,positivo
430,en este centro médico solo hay consultas médicas con muy buenos especialistas  atención es muy buena,positivo
431,este es sin duda  mejor hospital del iess excelente en todo,positivo
467,me realice una cirugía desde  cita previas excelente atención puntualidad aseo y personal muy prefesional,positivo
477,es un hospital del día q presta atención 247 y cubre carias especialodades ademas cuenta con área de emergencias quirófano fisiatria consulta externa imagenología y rx atencion y club del adulto mayor y crónicos metábolicos y todos unos excelentes profesionales al servicio de  afiliados,positivo
487,me he operado aqui y me trataron muy bienmuy amables todos y muy profesionales sin duda una buena experiencia,positivo
498,excelente atención de  señoritas de información gran agilidad y eficacia,positivo
503, experiencia en  área de fisioterapia es excelente,positivo
506,bueno  atencion no es todo de lo mejor pero algo es algo,positivo
540,excelente y oportuna atención llegue antes de  hora indicada y me atendieron inmediatamente  dra lina guamaní endocrinóloga muy profesional y atenta felicidades de  pocos hospitales del iess donde tratan bien al paciente,positivo
561, centro de  del pueblo se muestra una muy cómoda infraestructura no tengo automóvil así que vine a pie desde  av eloy alfaro y gracias a maps logré llegar fui atendido excelente y me voy contento eso sí todo,positivo
571,excelente trato hoy asistí por primera vez a este centro médico y  tención fue muy buenael pediatra tuvo fucifiente tiempo para  poder explicarme  situación de mi hijo  administrar  medicación,positivo
572, personal de enfermería de laboratorio de no tiene buena actitud con  pascientes  lugar tiene excelente infraestructura y dotado de equipos de punta tiene pocos lugares de estacionamiento,positivo
576, servicio médico es muy bueno  instalaciones  muy buenas no tiene emergencia  y ahora no se puede pedir cita directamente  en ciertas  especialidades y  call  center  nunca te da cita en este centro,positivo
585,muy limpio baños de calidad atención médica muy buena personal administrativo muy amable y presto a ayudar,positivo
589,excelente dispensario para consultas no se realizan procedimientos y no tiene emergencias son consultorios medicos,positivo
593,"excelentes instalaciones
 facilidad de parqueo
 rápida atención",positivo
594,lo bueno que ahí en ese lugar existe taxis para poder movilizar tanto de  de regreso,positivo
599,en general es bueno  agendamiendo de citas sigue siendo un problema,positivo
602,es un lugar limpio de buenos accesos una atención buena,positivo
603,excelente administración buena atención de nota  trabajo planificado,positivo
634,lamentablemente  persona especial que atiende en ventanilla es muy poco amable casi cae en despota,positivo
637,excelente atención  médico familiar es un excelente médico,positivo
650,hoy fuimos a  vacunación contra  covid19 todos  errores iniciales superados una excelente atención eso  debe ser  servicio público felicitaciones y sigan así,positivo
651,"acabo de vacunarme  servicio profesional de  servidores del ie
ss excelente pero  viveza criolla y  falta de respeto daña todo",positivo
652,muy buena  atención al cliente una infraestructura elegante además de ofrecer buenos servicios,positivo
659,emergencias atiende 247 es funcional y atienden bastante rápido  atención es buena  a otros iesss hay especialidades que operan en este lugar en horario administrativo no sé por que se llama iess cotocollao si este,positivo
671,iess cotocollao una atención muy rápida muy ágil y sobre todo  personas de atención al usuario son respetuosos y muy rápidos un excelente servicio,positivo
672,muy limpio ordenado todos muy amables prestos a ayudar,positivo
673,atención muy demorada en emergencias  médicos pasan fuull ocupados pero son muy buenos  personal son muy amables,positivo
674,"mi experiencia aquí siempre ha sido buena
hasta por emergencia han sabido solventar rápido  necesidades del paciente",positivo
691,les falta capacitación en atención al cliente  personal a excepción de una señora que trabaja ahí hace años no atiene rápido en  distintas ventanillas ya que conversan entre ellos o por  celular juegan con  tiempo y dinero de,positivo
696,debería alguien informar que  gente tome asiento  porque se va al llamar por  nombresya que para realizar  isopado  tocó hacer una fila degana para citas medicas les   excelente prestador de servicio en mi opinión  mejor que tiene convenio  iess,positivo
700,organizado limpio y  atención ágil cuando fui al iess san francisco y me derivaron allá pensé que iba a ser un problema de echo mucho mejor y rápido,positivo
702,me trataron excelentemente bien me ayudaron muy rápido y muy eficiente gracias a  doctores estuve sola y me apoyaron muchísimo,positivo
706, servicio de  médicos es bueno y en general  atención es muy buena es  y tiene muchos servicios a  pacientes con calidad y calidez  razón por  que pongo 2 estrellas es para  y advertir a  personas que,positivo
716,para  caso de emergencia de vías respiratorias  tiempo de atención fue bueno y  personal amable,positivo
735,son muy atentos con sus pacientes  médicos cumplen con  necesidades de cada paciente,positivo
747,recibí atención oportuna en  área de emergencias con personal capacitado y amable,positivo
761,excelentes profesionales de  salud especialmente  área de neurología y oftalmología,positivo
843, dra gineoncóloga pamela vallejo  fue mi cirujana y es una excelente profesional todo  personal estuvo muy atentados a mis cuidados quedé muy bien de mi cirugía les agradezco muchísimo,positivo
857,excelente a mi abuelito le atendieron y  trabajo es impecable a pesar de que es un personal para un montón de gente muy agradecida por  trabajo brindado aunque  situaciones no son fáciles en  sector salud del país  personas allí dan un buen servicio,positivo
865,excelente hospital del instituto ecuatoriano de seguridad social una atención agradable y con un grupo humano de profesionales en medicina lo  para todos  afiliados,positivo
867,negligencia tras negligencia si no desea vivir una experiencia muy lamentable estando enfermo mejor ni se acerque a este hospital que lo que parece es un simple hotel hay falta de insumos y de buenos profesionales empáticos y morales hay,positivo
873,excelentes médicos un poco lenta  atención pero resuelven problemas,positivo
883,entré por  área de emergencias por una fractura de  pierna todos me atendieron muy bien y con una rapidez digna de agradecer  médicos muy amables y me derivaron a cirugía en cuestión de un par de minutos lamentablemente no tenían,positivo
891,agradezco mucho al hospital a  doctores enfermeras personal en general tuve una cirugía y todo estuvo excelente gracias por  gran aporte y  gran cuidado que dan a sus pacientes aun debo volver por controles y espero que siga así de  me atendieron en  cirugía,positivo
898,excelente hospital queria agradecerle a  doctores palacioszoporta y  doctora plaza  mi padre franklin vizuete fue operado con gran éxito y a toda  área de neurocirugía gracias a  señoritas enfermeras y a todo  personal que,positivo
900,excelente hospital y muy agradecida con  dr palacios y dra plaza de neurocirugía excelentes profesionales operaron a mi padre franklin vizuete viteri de un tumor en  columna y esta super bien caminando dr palacios dios le pague por,positivo
911,muy buen servicio  edificio podrian estar un poco más renovados  pero  servicio medico es muy bueno  staff medico es de gran ayuda al paciente,positivo
913,una excelente atencion muy   agradecida con  personal medico  estuve internada algunos días  atencion  es buena gracias dra davila por todo   me realizaron una hablacion  en  corazón  y me siento feliz mi estilo d vida cambio  mil  gracias dr jose  luis laso quien me realizo  ablación,positivo
919,totalmente agradecido  con 3 doctores dr palacios dra plaza y dr zoporta de neurocirugíamuy buen servicio le operaron a mi padre y lo hicieron excelente y  resultados totalmente positivos,positivo
921, atención médica excelente lastimosamente no hay todas  medicinas,positivo
926,buena atencion para niños considerando  pandemia en  área de pediatría se manejan buenos protocolos cuando detectan pasientes con covid,positivo
928,gracias a  dr palacios dra plaza y dr zoporta por  excelente profesionalismo operaron a mi amigo franklin vizuete  de un tumor de  columna y se encuentra muy bien muchas gracias,positivo
929,bueno  hospital andrade marin es bien amplió  y atiende a miles de personas,positivo
930,dios  bendiga y proteja en especial a neurocirugia son una eminencia excelentes profecinales gracias por devolver  vida a  personas,positivo
932,un excelente hospital lleno con  mejores profesionales del país,positivo
938,es una excelente institucion de salud tecnologia de punta y profesionales de muy alto nivel,positivo
943,muy buena atención me ayudaron en todo lo que necesite en hospitalización son excelentes,positivo
946,hay buenos profesionales  pero atienden a una infinidad de pacientes  nosotros apoyemos  salud con un poco de tolerancia,positivo
956,excelente atención en emergencias odontológicas totalmente agradecida,positivo
965,excelente atención en todos  servicios que me han atendido,positivo
975,todavía falta mucho para una atención de calidad reconozco que hay mejoras y buenos avances,positivo
976, servicio no es excelente pero ha mejorado mucho con respecto a años pasados,positivo
1023,"señor director del centro medico central quito
muy buenos  días  por pedirte un favor
no se que  pasa en  distribución  de turnos para  metabólicos  ya estamos",positivo
1032,excelente  medico general para  tercera edad pero no hubo  medicina para  colesterol,positivo
1051,excelente trato de  doctora ventura muy limpio todo y con extremo cuidado para que no haya contagios,positivo
1057,después de agenda ya  turno es lo más rápido para un tratamiento de parálisis,positivo
1076,tengo que decirlo lamentablemente  atención a  pacientes es deficiente no por  médicos que atienden a  pacientes son excelentes profesionales sino  problema radica en admisión donde uno tiene que ir a calificarse para que le puedan atender en su cita médica se demora eternas memorias,positivo
1087,excelente atención deberían mejorar  implementar  fila preferencial para atencion en ventanillas,positivo
0,un maltrato increíble  guardia no deja entrar a al acompañante del enfermo ya se enterará si le pasa algo al enferno dijo  guardia con malaactitud ojala  muerto nos haga una llamada del más alla lo que se espera de iess,negativo
1,pésimo servicio tiempo de espera de más de 4 horas para que al final no te atiendan porque no estás lo suficientemente grave,negativo
3,pésimo servicio 3 horas para atencion y 3 más para  entrega de resultados no es justo nosotros pagamoa nuestro seguro al dia y ellos se demoran mucho,negativo
4, servicio lento inoperante burocrático des humanizado solo  con  calidad del personal que aquí trabaja parece que nos están haciendo un favor cuando  realidad es que gracias a nuestros aportes es que esta nefasta,negativo
5,si podría darles 0 lo haría  servicio público es lo peor que existe y más aquí lleno de burocracia y grosería,negativo
8,"es un lugar saturado mal señalizado y en malas condiciones  aunque  trabajadores enfermeras doctoras se muestran amables nada pueden hacer
en consulta no tienen  equipos adecuados para un diagnóstico  o argumentan",negativo
11,pésima atención se entiende que tengamos que esperar por  atención  es posible  dos horas y no te den respuesta de unos resultados que ellos mismo te indican que se demorarán de 15 a 20 minutos adicional no tienen ni ,negativo
12,en este centro médico te pueden dejar morir tengo un video donde llegó una señora mayor en silla de ruedas quejándose de dolor y aun así le hicieron esperar por horas mientras todos  demás presentes nos daba pena e indignación,negativo
14,fatal  día miércoles 27 asistí a este lugar realice todos  trámites y  espera de resultados para que me digan que algo me cayó mal y que en  resultados no salió nada en  madrugada del jueves 28 me fui a un hospital privado ya,negativo
15,un servicio aunque no lo llegué a recibir pésimo enfermeros y médicos groseros fuimos por una emergencia del corazón  se debía pasar por diagnóstico covid  dra se había ido a almorzar sin dejar reemplazo mientras mi madre,negativo
19,pésimo sevicio te descuentan mes a mes y jamas hay turnos para médicos especialistas y te hacen esperar 3 a 4 meses para un posible turno con algún especialista no hay empata para con  usuarios,negativo
22,"10
pésima atención en  área de pediatría llegue con mi bebe deshidratada y  dra preguntando que quería que hiciera si ella no  veía mal despota y super",negativo
24,"lo bueno es que han mejorado en dar información al público existen personas que orientan al usuario  mayoria de médicos son puntuales en sus citas
lo malo es  hacinamiento en laboratorio para entregar  muestras  personas esperamos hombro con hombro con  muestras y  turno en  mano",negativo
28,"si se pudiera poner 0 estrellas lo haría
hacen esperar horas para dar una pastilla de paracetamol es una pésima atención",negativo
29,de  peores centros de salud 5 horas para poder ser atendido por síntomas de covid un día totalmente perdido por  ineficiencia de esta gente pésimo servicio que hacen con nuestros aportes,negativo
30,una unidad médica terrible me respeta un médico general medicamentos fuertes sabiendo de mi estado de gestación y sin embargo con  malestar y síntomas que presentaba no consideraba necesario un reposo que poco profesionalismo terrible,negativo
33, servicio es lento es muy disfuncional uno necesita de urgencia y le dan cita por poco dentro de 2 meses,negativo
36,lugar limpio pero parece desgastado por  uso instalaciones útiles pero antiguas no han sido renovadas servicios de salud estan bien atención normal,negativo
38,si se solicita información deben por lo menos escuchar dan mal  indicaciones hacen perder  tiempo y para colmo no atienden en  horarios establecidos es a  0700 y luego dicen a  0900 pésimo,negativo
40,q mal servicio más lo que cobran y no ay medicamentos y  citas dan despues de dos meses de px gusto toca aportar a estos rateros,negativo
43, personal que trabaja en derivaciones es una vergüenza es una total bulla mal educados  y en horas de trabajo,negativo
55,hay mejor atención y más orden en  instalaciones  lo malo vendedores ambulantes  dentro del centro,negativo
101, peor lugar para atenderse nadie tiene respeto por  personas 1 sola persona para toma de signos vitales 4 horas de espera para una consulta de 5 minutos con una doctora mediocre  únicos amables  señores guardias,negativo
103,todas  reseñas escritas por este servidor nacen desde  experiencia vivida en carne propia  atención en cuanto a emergencias es muy satisfactoria y pronto entre más grave es  enfermedad o  mal que a un lo aqueja más rápido le,negativo
104,pésimo servicioa mi tía  operaron dos veces  herida no le sana le dieron mal  cita médica 3 veces le daban  cita para  días que no está  doctor y en otra  doctor jamás agendó  cita  son un sinnúmero de cosas que dejan,negativo
105," atención prestada buena no a  velocidad que uno necesita  en todo hay que esperar
tienen una carpa para  espera pero igual  gente no respeta o le falta un",negativo
107,una cosa es que estén saturados de gente no haya medicamentos o tengan poco personal pero  actitud mediocre de este personal es una total locura mi mamá tenía una apendicitis y le trataron muy mal diciendo que espere su turno se,negativo
113, atención es bastante buena y rápida me operaron pronto cuando en otro hospital del iess me informaron que había lista de espera de un año además  habitaciones son aseadas y están casi nuevas  personal medíco y de enfermería muy,negativo
116,"esta es  emergencia de este hospital 7 horasen espera
no te atienden te tratan mal
es mejor ir en estado etílico que te atienden más pronto
 derecho humanos son vulnerados",negativo
119, atención debe ser desde un principio prioridad para  tercera edad deben darle  turno en color naranja que pueden esperar un laso más corto que  de color amarillo que dice de 1 a 3 horas ya no están para esperar sentados mucho,negativo
122,malísimo primero  enfermeras tienen un carácter de perro ni delicadas ni respetuosas son eso deberían cambiar no tener gente así por que se siente hasta pesado y negativo le falta una oratoria de atención humanitaria de enfermos y,negativo
123, tiempo de espera en emergencia es de 4 a 5 horas sin exagerar y esperando que sea de ayuda para alguien que planea su ingreso uno o dos médicos atienden toda  emergencia mientras que hay 3 personas para solo tomar signos considero,negativo
124,buenas  servicio de enfermeros y enfermeras muy mal en  torre 3 piso 4 por que mi mami esta internada ahí desde  domingo le cambiaron a ese piso y torre y no le dan  atención necesaria ya que  día del cambio mi mami empezó a utilizar pañal y  dejaron mojada por varias horas y nadie se movió hacer su trabajo,negativo
128,un hospital  ordenado y atención increíble siempre están pendientes en todo momentos máquinas nuevas y excelentes profesionales que te hacen sentir seguro,negativo
129,pésimo para tomar un turno con un especialista  se paga mensualmente por  servicio y no son capaces de tener más doctores  pésima atención,negativo
130,"muy mala atención médica en especialidad de urología me cambian de fecha por 3ra ocasión en esta ocasión me reasignan para
fecha	20231003",negativo
132, hospital muy moderno pero  atención hospitalaria no está bien administradahoy día 4 de diciembre hemos sido maltratadas por  doctora león que atiende en  torre 1piso 4 a un familiar con neumonía que está con estado crítico y,negativo
133, sala de emergencia pediatríca tienen enfermeras y enfermeros que estan de mal humor si se les pregunta  dosis del medicamento  horarios que se deben administrar a  pacientes o incluso si se pasan de  hora y se les recuerda a,negativo
134,pésima atención un servicio deplorable porque  mayoría de  que trabajan ahí no sirven para nada tienen ínfulas de grandeza cuando no tienen ni capacidad de servicio al cliente hech  dueñas del hospital pésimo sistema de salud ganando sueldo de gratis porquería de personas que juegan con  salud de  demás,negativo
138,estuve 2 horas solo para hacer una curación  algo mal me párese,negativo
139,no  existe desorden total  doctores prometen cirugias en una hora y luego no cumplen nadien te da razon te tienen dias y tras dias  y ademas  de  sala esperan materiales para  operaciones que no,negativo
147,"un hospital muy moderno con una infraestructura de alta tecnología
son 5 torres con ascensor salas de espera
médicos enfermeras camilleros personal de logística y administrativos son muy",negativo
148,"pésima atención personal mal educado grosero y prepotente enfermeras no hacen ningún trabajo por  pacientes desde q ingresan duran horas y horas y  paciente sale tal cual ingreso  herido lastimado
010 pésimo  servicio público  dinero q aportamos es en vano",negativo
149,un lugar definitivamente malo  jamás tienen médicos y peor medicina se les paga puntual para una atención de excelencia  y si atención no llega ni mala por que es un asco si necesitan ser atendido vallan a otro lugar aquí les,negativo
153,no contestan  numero convencional del hospital pésimo servicio,negativo
154,gracias a dios hoy salió mi cuñado de ese pésimo lugar del cuarto piso de geriatría  enfermeras con falta de humanidad educación es un piso donde están adultos mayores quienes merecen mucha consideración y sobre todo paciencia,negativo
157,"cuenta con una infraestructura grande y moderna pero  atención es pésima  personal parece no estar bien capacitado y hay 
es una pena porque da una mala imagen de  salud pública hay centros médicos y hospitales del iess que si dan una buena atención",negativo
161," servicio de emergencia es malo  doctores piensan que uno les quiere engañar o estafar  trato malo y despectivo
sin embargo al ingresar al hospital  atención es excelente mejor que",negativo
163,esperando más de 1 mes para 1 cita medica con  especialista que vergüenza con  dinero que se aporta podría haber pagado a parte buen especialista,negativo
166,fui con una fuerte migraña y vómito me tuvieron esperando más de una hora en sala de espera supongo que esperaban que mis síntomas se agravaran para atenderme posterior tuve que salir y hacerme atender en un centro particular son lo peorsito que hay,negativo
169,"pésimo servicio
en emergencia se demoraron 5 horas en atendernos todos se pasan  culpa informaciones borradas doctores al apuro  negligencia nadie sabe",negativo
171,no me gusto ami bebe de 5 meses  lleve  viernes porque esta con mucha fiebre  y ayer sabado también  lleve porque seguia con fiebre  y con malestar  y me dicen que es algo normal y solo le mandaron paracetamol nada más y sige mal,negativo
174, mayor parte de enfermeras enfermeros licenciados en enfermería médicos no tienen ética profesional dan un pésimo servicio médico no les importa  vida de  pacientes hay muy pocos médicos y personal que hacen bien su función en  hospital es muy triste  situación que se vive en ese hospital,negativo
175,hoy 01072019 visité por primera vez este hospital   infraestructura es impactante muy moderno lastimósamente en derivaciones un personal de presencia buena pero que trata mal a  afiliados por otra parte me enviaron a otra,negativo
176,mi  es que pregunten a cada rato por su familiar porque no te dicen nada mejor si puedes ni salgas de sala de espera y otra   vr  guardias de ahí desconsiderados en  horas de  noche en todas horas pero ya ni modo toca aguantar por que es público,negativo
177,en este momento  apuntador está mal colocado pues está ubicado en  calles moraspungo y pinllopata junto al parque lineal del río machángara construido en un  área de 21860 m2,negativo
180,yo he asistido con estudiantes del colegio donde trabajo son hijos de afiliadosentran inmediatamente y toman signos vitales se espera un tiempo prudencial para que les atiendan y les hagan  procedimientosen mi opinion laatencion es muy buena,negativo
182,pésima atención mi suegro ingreso  martes por covid y hasta  día de hoy no sabems nada nadie da información y mi suegro no tiene teléfono todos estamos muy preocupados alguien me puede decir algún número para averiguar reclamar o saber algo de mi suegro gracias este pésimo servicio debe ser denunciado,negativo
185,como puede ser posible que estando con  mano fracturada le envíen a casa y no hagan  tramite para transferencia de inmediato muy mala atención,negativo
186," número que está en  página de google jamás contestan se llama y se cierra automáticamente
 espera es demasiada hasta para  emergencia",negativo
193,excelente atención   tienen consideración con  usuario  infraestructura de primera es  primera cita   cero quejas del usuario,negativo
198, atención es excelente lo único malo que no hay  mayoría de medicamentos,negativo
213,mala atencion y servicio makltrato a pacientes y parientes mal manejo de informacion de  pacientes,negativo
256, peor atención a  personas más de 32horas en emergencia y no son capaces de entregar un resultado para ver si es operación o no  gente se puede morir en su sala de espera y les vale un huevo ni un suero para aguantar y quieren que,negativo
258,seguramente uno de  peores hospitales de  país  área de emergencia empezando por afuera familiares esperando en  frío con sillas rotas guardia déspota y enfermeras y médicos practicantes pagar aportes por un suero es una estafa,negativo
259,pésima atención en emergencia pediátrica toman  datos pero no hay enfermer en  área de triaje para  preparación del paciente nos toca esperar más de media hora para  triaje cuando no hay pacientes en espera se le aborda al,negativo
261,pésima atención llevo más de tres horas esperando q nos atiendan y nada q atienden encima esta saturando bajo y no  en dar oxígeno q pena para descontar nos del seguro ahí si son buenos,negativo
265,noce si no hay control aqui en elhospital san francisco de asis que desde ayer le tengo a mi suegra con  pierna rota y no hacen nada por ingresarle adentro durmio en  area de espera en una silla y asta hora ya son  10 de  mañana,negativo
266,pésimo servicio en  área de emergencia  personal administrativo  y guardias groseros  le negaron  atención a un paciente que estaban super mal  que no podía ni caminar del dolor por  hecho de que pese a que está  voluntaria le faltaban 4 días y no tenía fiebre espero no tener que regresar nunca,negativo
271,un lugar donde no tienen sentido de urgencia ni humanidad desde  guardias un pésimo trato en triage  enfermeras no tienen ni idea de lo que hacen no saben tomar signos vitales no tienen  implementos necesarios para atender a,negativo
272,horrible atención nos  se les obligará a trabajar y sin sueldo y da hasta miedo preguntar algo a alguien,negativo
273,un hospital donde se aporta mensualmente  100 y a veces hasta más tienen una pésima atención desde  guardia pseudoprofesionales  pésimos diagnósticos 0 en sentido de urgencia tienes que llegar más muerto que vivo para,negativo
274,pésima atención lleve a mi esposa por emergencia ya que estaba muy mal en cuanto a salud se demoraron 1 hora para  toma de signos vitales y sin haber personas  respuesta de  señorita es que no todavía no le reflejaba  nombre de mi,negativo
275,hay más guardias que personal médico parece que entramos a una prisión no disponen de insumos medicinas habitaciones  personal de seguridad no tiene  más mínima empatía se creen dueños  muy mal servicio,negativo
276,buenas noches llevo más de cuatro horas esperando  atención por emergencia  dr del consultorio 1 que aparentemente me tiene que atender se lo pregunté a  1800pm y me informo que habían tres pacientes antes de mi ya son 2056 pm y sigo esperando para colmo se le vuelve a preguntar y contesta grosero,negativo
278,entramos por emergencia por una subida de presión altísima de mi madre 218103 y nos tuvieron a  espera por 1 hora y media y para colmo no fué atendida  por lo que me tocó llevarle a otro lugar pésimo servicio pésimo personal no están en sus puestos de trabajo,negativo
279,si pudiera le doy 100 de calificación pedimos profesionales pésima antencion pésimos diagnósticos no tienen ni idea de lo que hacen diagnosticaron cáncer  una inyección por 300 y por lo pésimo de su servicio fui a una,negativo
282,"falta atención no
puede ser que uno con emergencia espere 5 o 6 horas para que lo atiendan hospital desordenado pésima  todo  iess malo remalo medicinas dolo paracetamol e ibuprofeno",negativo
284,cada vez van de mal en peor  atención en emergencias es pésima no hay médicos disponibles y en muchos de  casos hay uno solo para tanta gente además cancelan citas medicas de  noche a  mañana incluso cuando ya están agendadas de hace meses,negativo
285,cómo todo lo que tiene que ver con  seguro de este país pésimo  atención groseros desde  guardias  doctores médicos y demás personal creo que mejor atención y trato de recibe en  camal que en ese lugar mi madre tenía un cirugía,negativo
292,para que esta emergencia si  atención es súper pésimo,negativo
296, atención en este establecimiento del estado deja mucho que desear  mal trato al usuario laindiferencia y prepotencia son actores principales por parte del personal que labora en  sitio,negativo
300,en este hospital  servicio es de primera  habitación super aseadas y modernas  aparatos con que trabajan de última tecnología lo único que no megusts es que no dan mucha información acerca de  pacientes y te hacen esperar,negativo
302,pésima atención en emergencia dejan a  pacientes esperando horas  para luego decir que eso no ño atienden ahí una pena que de nuestro aporte salgan  sueldos de personas que no tienen vocación  con cero empatia por  pacientes,negativo
303,pésima atención asistimos con mi esposo que es paciente renal con fiebre dolor de pecho tos escalofríos y no nos quisieron atender según porque saturamos bien llegamos al batán luego de una hora de espera nos atendieron diciendo que,negativo
305,"mala experiencia quería un certificado médico para presentar en  trabajo porque tengo síntomas de covid pero esperé 1 hora para que solo me tomen  signos vitales y me digan que me vaya al batán o cotocollao
solo quería un certificado para  trabajo por dios",negativo
307, atención del personal médico es muy buena lamentablemente  servicio de asesores falla frecuentemente lo que causa malestar principalmente en adultos mayores que requieren consulta externa,negativo
308,pésima atención llegué a  6pm de  tarde son  3am de  madrugada y sigo esperando atención,negativo
311,mala atención al público en  departamento que recibe  certificados médicos para ser legalizados  dos señores de ahí tratan a  gente con nada de respeto estuve ahí y  uno le grito a una señora no le recibió  documento y  trató mal son servidores públicos y se deben a  usuarios,negativo
327,a pesar de  filas de espera para mis turnos  atención es excelente y tiene  insumos necesarios,negativo
332,pésimo servicio en todo sentido guardias patanes e irrespetuosos salas y habitaciones sucias y médicos que parece que les apesta  vida,negativo
337,en este hospital le atenderán en emergencias señores guardias de seguridad porque médicos no hay pésima atenciónpésimo servicio,negativo
340,pésimo servicio llegan casos graves y no son capaces de atender con eficacia,negativo
342,terrible voy desde  12 y les seleccionan a  pacientes x código d color o x parentesco de alguien q trabaje adentro sigo esperando  atención q merecemos todos  ecuatorianos,negativo
345,"pésimo pésimo  servicio
mala informacion por un certificado no disen ni quien da ya voy 3 horas solo esperando  certificado y no puedo retirarme a descansar",negativo
353,hay que esperar mucho tiempo para que le atiendan en una emergencia,negativo
356,realmente pésimo uno llama alzan  teléfono y cuelgan creo que  personas que trabajan contestando no son lo suficientemente capacitados,negativo
358,estuve desde  9 pm hasta  otro día y no me atendieron que malos no me gusta,negativo
405,pésimo servicio en  área de derivación de fisioterapia llegó con más de 30 hora antes para podet pasar a  cita y  chica se demora en verificar  turnos  adicional si no tienes padrinos no te dan turno pésimo  incluso cuando estuve esperando una enfermera le pidio que le ingrese un turno a un paciente,negativo
406,"no hay suficientes ascensores y  mismos son muy pequeños no todo  personal es amable de repente les hace falta un curso de relaciones humanas
preguntar bien porque si se puede ingresar con vehículo para personas con  lo malo es que suele estar lleno  parqueadero",negativo
407,"estuve esperando más de 1y30 de  cita que tenia y debido a eso no pude asistir a otros aventos que tenia
es muy bonito solo que  atención es muy tardada",negativo
