NBa7we src,d4r55,RfnDt,rsqaWe,wiI7pd,dSlJg,Hzvxle,pkWtMe,dSlJg 2,znYl0,znYl0 2,nM6d2c,DZSIDd,wiI7pd 2
https://lh3.googleusercontent.com/a-/ALV-UjUkhWY8VSrEEbAfPNvpXmLckEnfxudF0PBNFizNFztVbTNgYsYl=w45-h45-p-rp-mo-br100,Ximena Estrada,2 opiniones,Hace un año,"Pésima atención, se entiende que tengamos que esperar por la atención pero como es posible que como dos horas y no te den respuesta de unos resultados que ellos mismo te indican que se demorarán de 15 a 20 minutos, adicional no tienen ni la…",,Me gusta,4.0,,Compartir,,,,
https://lh3.googleusercontent.com/a-/ALV-UjVSQKpygoW9unfA6Qgj45I9q8WKuGYwjGMJzm_vcUvegHtshDkyqA=w45-h45-p-rp-mo-ba2-br100,Ramiro Ferreira (ramirok2),Local Guide · 26 opiniones · 1 foto,Hace 8 meses,En este centro médico te pueden dejar morir. Tengo un video donde llegó una señora mayor en silla de ruedas quejándose de dolor y aun así le hicieron esperar por horas mientras todos los demás presentes nos daba pena e indignación.,,Me gusta,1.0,,Compartir,,,,
https://lh3.googleusercontent.com/a-/ALV-UjWj3bWsSUz3fInaMaKD9FtQIvHhEqjQ0Kmpl1axAvg4wh451Hfj=w45-h45-p-rp-mo-ba4-br100,Juliani Hernandez,Local Guide · 118 opiniones · 35 fotos,Hace 3 meses,Lo bueno que me han atendido relativamente rápido,,,,,Compartir,Me gusta,,,
https://lh3.googleusercontent.com/a-/ALV-UjWEZTwUIYGIBUWwKe3Ijf6pr8rWfH_aXNSJaLmGvkpSWwP36mY=w45-h45-p-rp-mo-br100,RIGOBERTO SOLIS,1 opinión,Hace 8 meses,"Fatal el día miércoles 27 asistí a este lugar, realice todos los trámites y la espera de resultados para que me digan que algo me cayó mal y que en los resultados no salió nada, en la madrugada del jueves 28 me fui a un hospital PRIVADO ya…",,Me gusta,2.0,,Compartir,,,,
https://lh3.googleusercontent.com/a/ACg8ocLLL04cEWLCMc_BS-Hu-64X88UNU2whNdKyTQqLlDyaMIJNkw=w45-h45-p-rp-mo-br100,Milton Altuna,6 opiniones,Hace un año,"Un ""servicio"" aunque no lo llegué a recibir pésimo, enfermeros y médicos groseros. Fuimos por una emergencia del corazón y como se debía pasar por diagnóstico covid, la Dra. se había ido a almorzar, sin dejar reemplazo, mientras mi madre…",,Me gusta,3.0,,Compartir,,,,
https://lh3.googleusercontent.com/a/ACg8ocJlQUmozsioKpTW6gfSUQOMOEeue71vc0WojDdMay3O8pU8QQ=w45-h45-p-rp-mo-br100,esteban coral,1 opinión,Hace 2 años,"Negligencia total... Acudí a emergencias, llevo un mes trabajando bajo dependencia y aún si no me atendieron en emergencias; presento muchos síntomas que espero no sean abrasivos ni letales, cuento con una mujer embarazada a mi lado, mi…",,Me gusta,4.0,,Compartir,,,,
https://lh3.googleusercontent.com/a/ACg8ocLqAN5aOan4UgjPEoqNwyHVJYV0BpvGXKUKdHIoPscxsHm4AQ=w45-h45-p-rp-mo-ba3-br100,cabaji,Local Guide · 31 opiniones · 15 fotos,Hace 2 años,"El lugar es viejo huele a humedo no tiene luz, en emergencia siempre esta lleno de gente q como no hay citas en el iess van a sentarse 5 horas a ver si les atienden. No hay parqueo afuera hay un negro con un palo...para cuidar q le pagues…",,Me gusta,2.0,,Compartir,,,,
https://lh3.googleusercontent.com/a-/ALV-UjVawG1fxpVec9hr05gQje5GWQwhkewA6acGYvJhK9ZrsWkqo9c=w45-h45-p-rp-mo-ba4-br100,VITO HARO LOPEZ,Local Guide · 67 opiniones · 69 fotos,Hace 9 meses,El problema es que con el gobierno de Lenin Moreno y Guillermo lasso no hay medicinas de lo demás sí hay atención aceptable,,,,,Compartir,Me gusta,,,
https://lh3.googleusercontent.com/a/ACg8ocJMVQctuPu6iW9s2wk6bYwQadlXKgrqMVh8zpwV9zeavPme6g=w45-h45-p-rp-mo-ba3-br100,RAUL VIVEROS M,Local Guide · 45 opiniones,Hace un año,"Pésimo sevicio, te descuentan mes a mes y jamas hay turnos para médicos especialistas y te hacen esperar 3 a 4 meses para un posible turno con algún especialista, no hay empata para con los usuarios",,Me gusta,1.0,,Compartir,,,,
https://lh3.googleusercontent.com/a/ACg8ocJb51hFfSP8tt7ksD9Re82qGZKGocdzFHfwnJLM-FUG0yw0KA=w45-h45-p-rp-mo-br100,Salomé Morales,2 opiniones,Hace 8 meses,"No hay atención por emergencias, dicen que vaya al laboratorio y farmacia y todo está cerrado como pueden atender de esa manera, que negligencia",,,,,Compartir,Me gusta,,,
https://lh3.googleusercontent.com/a/ACg8ocKjrjgS5UbWzcahSV-rTzWpA_DVHqrIbwmDNVB6dC5hmVeJYQ=w45-h45-p-rp-mo-ba5-br100,Carlos Chamorro,Local Guide · 160 opiniones · 140 fotos,Hace 2 años,"Uno acude a estos centro de atención del IESS debido a que pagamos nuestros aportes mensualmente y por las emergencias medicas que se nos presentan, para encontrarse con una pésima atención desde el ingreso con los guardias, no pueden ni siquiera informar sobre nuevos procesos en el ingreso para llenar datos en un papelito",,Me gusta,6.0,,Compartir,,,,
https://lh3.googleusercontent.com/a-/ALV-UjX8ZJoGG1coSa8XAyqjoEjmmdkppR5nWtJzWUVugVWe3guMPLeE=w45-h45-p-rp-mo-ba4-br100,Andreina Cáceres,Local Guide · 105 opiniones · 285 fotos,Hace 4 años,"-10
Pésima atención en el área de pediatría, llegue con mi bebe deshidratada y la ""Dra."" Preguntando que quería que hiciera si ella no la veía mal, despota y super…",,Me gusta,2.0,,Compartir,,,,
https://lh3.googleusercontent.com/a-/ALV-UjXJn5Ub8wSx8rsOajnu9M22kAtZN6xgPEECXmwkWIbMZcApNYo=w45-h45-p-rp-mo-ba6-br100,chah -tool,"Local Guide · 288 opiniones · 1,357 fotos",Hace un año,"Buena atención,  rápida y ágil.",,,,,Compartir,Me gusta,,,
https://lh3.googleusercontent.com/a-/ALV-UjXbcAHmAAOe4Ltpv4DiK8TRA7uQLFd49j0e3NANenbl4QOavc14Sw=w45-h45-p-rp-mo-ba5-br100,Alvaro611,Local Guide · 295 opiniones · 338 fotos,Hace 7 años,"Lo bueno es que han mejorado en dar información al público. Existen personas que orientan al usuario. La mayoria de médicos son puntuales en sus citas.
Lo malo es el hacinamiento en laboratorio. Para entregar las muestras las personas esperamos hombro con hombro con las muestras y el turno en la mano.",,Me gusta,2.0,,Compartir,,,,
https://lh3.googleusercontent.com/a-/ALV-UjURk0oaBgF2Pmv6XbCpltauUj4pqeetRXih1q5d6RV_eQ77OEgb=w45-h45-p-rp-mo-ba5-br100,Francisco Reinoso,Local Guide · 370 opiniones · 108 fotos,Hace un año,"Bastante gente en sus instalaciones. Falta personal de atención a los afiliados. Cuando estuve ahí, de los 6 cubículos, solo atendían 2.",,,,,Compartir,Me gusta,,,
https://lh3.googleusercontent.com/a-/ALV-UjVrTJ6RozfYT_LOu9OjoQpXI0omHRgXhCB0gk9re3O0LFXDWPQr=w45-h45-p-rp-mo-ba5-br100,Elking Araujo,Local Guide · 119 opiniones · 637 fotos,Hace 6 años,"El trato de algunas enfermeras se quedó en el siglo anterior: déspota y alarmista. Por el contrario, muchos médicos ejercen su trabajo con mayor equilibrio, humanismo y ponderación. Ofrecen cobertura muy amplia a los afiliados aunque está…",,Me gusta,1.0,,Compartir,,,,
https://lh3.googleusercontent.com/a/ACg8ocJ3lOYEz8oeYT7fQ266AGV1YC93YRr_tj8zHut5Mxsiw-UK=w45-h45-p-rp-mo-ba3-br100,Jessica Roman,Local Guide · 49 opiniones · 47 fotos,Hace 4 años,La atención es un poco lenta ya q antes de la cita se debe hacer una cola inmensa para poder pasar a ser atendido pero la atencion de los médicos si es super buena,,,,,Compartir,Me gusta,,,
https://lh3.googleusercontent.com/a-/ALV-UjV1lHz9DVIHKmnQ6Izkx8eTbjBzpi9lUR288HI6g1H1foFNiPwxhQ=w45-h45-p-rp-mo-br100,Daniel Criollo,2 opiniones,Hace un año,"Si se pudiera poner 0 estrellas lo haría.
Hacen esperar horas para dar una pastilla de paracetamol, es una pésima atención.",,Me gusta,2.0,,Compartir,,,,
https://lh3.googleusercontent.com/a-/ALV-UjUebr_XAvfhQPljc8W01P8q_IZs7MEJFbkWxOJHCn0ULRu6q2Bdfg=w45-h45-p-rp-mo-br100,Dario Enriquez,6 opiniones,Hace un año,"De los peores centros de salud 5 horas para poder ser atendido por síntomas de covid, un día totalmente perdido por la ineficiencia de esta gente pésimo servicio que hacen con nuestros aportes ? 🤬🤬🤬🤬…",,Me gusta,1.0,,Compartir,,,,
https://lh3.googleusercontent.com/a/ACg8ocJc9hjVqiQOZbwl44CU4TVpnB83k2EXQgF6CGc4_sTcHEncmw=w45-h45-p-rp-mo-br100,Karen Nicole Alvarez Moreira,3 opiniones,Hace 2 años,Una unidad médica terrible me respeta un médico general medicamentos fuertes sabiendo de mi estado de gestación y sin embargo con el malestar y síntomas que presentaba no consideraba necesario un reposo que poco profesionalismo terrible,,,,,Compartir,Me gusta,,,
https://lh3.googleusercontent.com/a-/ALV-UjVp4W9G_2iOt18r6wtUxQ4ru1LMvojkpI-ZJ0xvDVKMuBoHBVo=w45-h45-p-rp-mo-ba3-br100,Michelle Alejandra,Local Guide · 39 opiniones · 2 fotos,Hace 2 años,"Dra. Daniela Salvador pésima atención, lo único que le importa es cobrar un sueldo, 0 atención al paciente, gritona, altiva.",,Me gusta,3.0,,Compartir,,,,
https://lh3.googleusercontent.com/a-/ALV-UjW77Wa5NRtzoeriDrLBUZS7zZnggFLjFvOuKsb0hNLBlqUgOeFn=w45-h45-p-rp-mo-ba3-br100,carmen molina,Local Guide · 36 opiniones,Hace 9 meses,"No existe una buena organización, el personal muchas veces son groceras",,,,,Compartir,Me gusta,,,
https://lh3.googleusercontent.com/a-/ALV-UjXo5Iy1h3zfFPx6CeqsZ7RczZ2hCqBT_ZFEyeETeX5-9lOHtj8ayg=w45-h45-p-rp-mo-ba4-br100,Alexander Gómez,Local Guide · 116 opiniones · 20 fotos,Hace un año,El servicio es lento es muy disfuncional uno necesita de urgencia y le dan cita por poco dentro de 2 meses,,,,,Compartir,Me gusta,,,
https://lh3.googleusercontent.com/a-/ALV-UjXoNX8AfMCei4wBXVEoxB3sbjxmg-zHuVeB5X_FCrEVo54_OyemgA=w45-h45-p-rp-mo-ba4-br100,Jessica Carolina,Local Guide · 59 opiniones · 76 fotos,Hace 3 años,"De los mejores centros de salud, es importante saber que no cuentan con servicio de imagen por lo que si tienen una fractura o signos de apendicitis es mejor ir a un hospital para que les puedas evaluar con ecografía o radiografía",,Me gusta,1.0,,Compartir,,,,
https://lh3.googleusercontent.com/a/ACg8ocKbSIDwbi3ReW62-QdupRVul11oC6Au5vhtGFRuUr41jcSaZQ=w45-h45-p-rp-mo-ba2-br100,jose carlos leiva luna,Local Guide · 10 opiniones · 36 fotos,Hace un año,"NO HAY RAYOS X Favor si son fracturas dirigirse a otro centro de salud, muchas gracias",,,,,Compartir,Me gusta,,,
https://lh3.googleusercontent.com/a-/ALV-UjX9GG8XY_jXtySK0dvZwE0hCB4j71fKqXpgOeEGOr4FShp1VrI=w45-h45-p-rp-mo-ba4-br100,Oscar Salvador,Local Guide · 90 opiniones · 117 fotos,Hace 4 años,"Lugar limpio, pero parece desgastado por el uso, instalaciones útiles pero antiguas no han sido renovadas, servicios de salud estan bien, atención normal",,,,,Compartir,Me gusta,,,
https://lh3.googleusercontent.com/a-/ALV-UjW6j2dYXnCEV9qsNz4gw7r4abTZ5Ukn1Vj4yfAmP4ad2OlmBCjn=w45-h45-p-rp-mo-br100,Ruth Paspuezan,4 opiniones,Hace 4 meses,Nunca contestan,,,,,Compartir,Me gusta,,,
https://lh3.googleusercontent.com/a-/ALV-UjWs-5hoWxkJA_LiNEhqx0iLOcToAy8idhkbcdzWq28dPYUFGCQI_A=w45-h45-p-rp-mo-ba2-br100,Cristopher Bonilla,Local Guide · 5 opiniones · 6 fotos,Hace 6 años,"Si se solicita información deben por lo menos escuchar, dan mal las indicaciones, hacen perder el tiempo y para colmo no atienden en los horarios establecidos es a las 07:00 y luego dicen a las 09:00... Pésimo...",,,,,Compartir,Me gusta,,,
https://lh3.googleusercontent.com/a-/ALV-UjURGYaMF8yFspQUb3q5eh9iecBed6huGcs_ufjdctlRFeH2ORoPng=w45-h45-p-rp-mo-br100,JOSE LUIS YUQUILEMA HURTADO,3 opiniones · 10 fotos,Hace 3 años,Como en toda institución pública hay q tener mucha paciencia con la gente q trabaja en ventanilla y preguntar si algo se desconoce porque ellos no explican nada,,,,,Compartir,Me gusta,,,
https://lh3.googleusercontent.com/a-/ALV-UjXRbM-dTmo8U5tN5lEUYD6mC8M4yYK4BSZSJU9i1fLPvSmbHz5w=w45-h45-p-rp-mo-br100,david guevara,1 opinión,Hace 7 años,Q mal servicio mas lo que cobran y no ay medicamentos y las citas dan despues de dos meses de px gusto toca aportar a estos rateros,,Me gusta,1.0,,Compartir,,,,
https://lh3.googleusercontent.com/a-/ALV-UjUYm49NvsoHQO8MHhKCM4rlyxYngXJogzyGC4b21ZexepGVS30=w45-h45-p-rp-mo-br100,Oscar Pilla Coyago,1 opinión,Hace 3 años,Buenas me podrian ayudar hasta que hora resiben los certificados medicos para hacer validar gracias..,,Me gusta,3.0,,Compartir,,,,
https://lh3.googleusercontent.com/a-/ALV-UjVgPa_xCi0nJhIQTOlPPKPLpwl2X7mxDB5Y-9tnyF58v0pojbGDvQ=w45-h45-p-rp-mo-ba4-br100,blankita A. P.,Local Guide · 41 opiniones · 164 fotos,Hace un año,"Todos los hospitales son como un laberinto, tenemos que ir con mas tiempo y estaremos bien. ☺️☺️👍…",,,,,Compartir,Me gusta,,,
https://lh3.googleusercontent.com/a/ACg8ocIc46YVquF9KGl7b0m5CrvNZjivuaP0GVuyHIJmr2WJPvqy8A=w45-h45-p-rp-mo-br100,Luis Irua Huera,6 opiniones,Hace 2 años,"El personal que trabaja en derivaciones es una vergüenza, es una total bulla, mal educados  y en horas de trabajo pasan comiendo.",,,,,Compartir,Me gusta,,,
https://lh3.googleusercontent.com/a-/ALV-UjUApN2o6p4-HYg4sZx72Q6pbwO9DV-vm0o4KtPwfoPlQcsMHQU8bw=w45-h45-p-rp-mo-br100,Diana Villagomez,3 opiniones,Hace 3 meses,Asco de atencion,,,,,Compartir,Me gusta,,,
https://lh3.googleusercontent.com/a-/ALV-UjVVDpaZS0-Vzgz7zmclNDoG3x1UhIJjjNP5ow2jsbo0oigU6HGs=w45-h45-p-rp-mo-ba3-br100,Stephany Martinez Zamora,Local Guide · 34 opiniones · 5 fotos,Hace 4 años,Los guardias de seguridad se portan chocantes y casi me tiran mi celular. Y luego la chica de intendencia de METICHE.,,,,,Compartir,Me gusta,,,
https://lh3.googleusercontent.com/a-/ALV-UjVcxMPe1LXa1tE1M1Cv5kX38ggHLbms2Tuh3zZnoq-ROyNyvXdA=w45-h45-p-rp-mo-ba5-br100,Rudy Alberto Arias,Local Guide · 183 opiniones · 2 fotos,Hace un año,Este centro atiende consultas ambulatorias y emergencia,,,,,Compartir,Me gusta,,,
https://lh3.googleusercontent.com/a-/ALV-UjV48cy24himHjHmeSLYcwLdIPbAOz2Ro_uPQ-fTDbPCNcWuuo0X=w45-h45-p-rp-mo-br100,mayra vernaza,20 opiniones · 9 fotos,Hace un año,Nunca pueden atender al usuario com calidad,,,,,Compartir,Me gusta,,,
https://lh3.googleusercontent.com/a-/ALV-UjWlC3Xu_sL-jYP4ofrtPnR4mMRV6cEHPXOZkGcPugoJd2WZSVnYpA=w45-h45-p-rp-mo-ba5-br100,Verónica Gutierrez,Local Guide · 160 opiniones · 446 fotos,Hace 6 años,"La atención en emergencias es tardía, no tienen un sistema adecuado de atención al paciente, tampoco tienen odontología. Servicios Incompletos",,,,,Compartir,Me gusta,,,
https://lh3.googleusercontent.com/a-/ALV-UjVhrxhVc4qBcml6LKfDgEjb8TMWyPGOhPWgOdi6QCor8YTjaM071A=w45-h45-p-rp-mo-ba4-br100,Jhonatan Solano,Local Guide · 56 opiniones · 113 fotos,Hace un año,Sin palabras ya saben cómo es el proceso con el IESS,,Me gusta,1.0,,Compartir,,,,
https://lh3.googleusercontent.com/a-/ALV-UjXJuPhgH2KwHr--6xHJoE4sgmyc75DDt3oTx0dUzpt0FqW1IFU=w45-h45-p-rp-mo-ba5-br100,lynx Chanel,Local Guide · 420 opiniones · 250 fotos,Hace un año,Para una emergencia en mi condición de hipertenso no se demoraron mucho,,,,,Compartir,Me gusta,,,
https://lh3.googleusercontent.com/a-/ALV-UjWkqPtrk0ycg3PQdTdDiWmIlng4UaGuZpP3huSSiTTF6gZuqhn_yg=w45-h45-p-rp-mo-ba3-br100,Juan Carlos B Ortiz,Local Guide · 47 opiniones · 47 fotos,Hace 7 años,Las citas se drben tomsr por teléfono sino no te atienden ni para orientar,,,,,Compartir,Me gusta,,,
https://lh3.googleusercontent.com/a/ACg8ocIORSXRl64dZtyD6NGJUolsTY_TBUKuhgpMPjlCHf9EGd202A=w45-h45-p-rp-mo-ba6-br100,Juan Martin Barba Rivadeneira,Local Guide · 298 opiniones · 15 fotos,Hace 2 años,"Buen servicio y excelente atención médica, y atención al paciente.",,Me gusta,1.0,,Compartir,,,,
https://lh3.googleusercontent.com/a-/ALV-UjUMuHCWiLEwBLgRIGUwM3RRsaZyb8FIhLzDN0NF8_KjHdBrJbMb=w45-h45-p-rp-mo-br100,Gustavo Ormaza,4 opiniones · 2 fotos,Hace 2 años,Muy buena...buena atencion medica,,,,,Compartir,Me gusta,,,
https://lh3.googleusercontent.com/a-/ALV-UjVsPffdcya9zXLt30y6tVL5pVXgoSlmDvjerYXRav4vu93t8D0=w45-h45-p-rp-mo-ba5-br100,Juan Carlos Bermudez,Local Guide · 272 opiniones · 73 fotos,Hace 3 años,La atención al paciente es deficiente como todo el sistema de salud publico,,,,,Compartir,Me gusta,,,
https://lh3.googleusercontent.com/a-/ALV-UjXYtUSbX7Y6nKUlXA_v8YE3jHzDLqMASORNjFEKMJJzbMVwhXlMiw=w45-h45-p-rp-mo-ba5-br100,GIGI 2877,Local Guide · 318 opiniones · 120 fotos,Hace 7 años,Hay mejor atención y más orden en las instalaciones  lo malo vendedores ambulantes de comida dentro del centro,,,,,Compartir,Me gusta,,,
https://lh3.googleusercontent.com/a-/ALV-UjVC-OKUb1jh8NcL9HaIMQRFpjE2peaEQAc5PA8yhyUvuFxjIKFF=w45-h45-p-rp-mo-ba5-br100,Estefania IM,Local Guide · 310 opiniones · 382 fotos,Hace 4 años,Hay que ir con anticipación a la cita porque previamente hay que hacer larga fila en información.,,,,,Compartir,Me gusta,,,
https://lh3.googleusercontent.com/a-/ALV-UjUY1pkCUWtAAKSVhmnHieTNQ23gns_zmOQaydqyBuEapkiiyWw=w45-h45-p-rp-mo-br100,Xime Patiño,17 opiniones,Hace 5 años,"Por favor requiero un número fijo de contacto del Dispensario del Batán IESS, gracias!",,,,,Compartir,Me gusta,,,
https://lh3.googleusercontent.com/a-/ALV-UjWq_LczNCAfmQdXPy06L_5xFnf4d-xBJLIVRlKTpXtrsKmBn-A=w45-h45-p-rp-mo-ba5-br100,David Cordero,Local Guide · 165 opiniones · 19 fotos,Hace 4 años,Pertenece a la pésima red de salud pública. Coger una cita aquí es cercano a lo imposible,,,,,Compartir,Me gusta,,,
https://lh3.googleusercontent.com/a/ACg8ocL7u2D4Jt3yfSna2S_UNYMwMp6jwr6hoiwg5kELwEm4_YrAVQ=w45-h45-p-rp-mo-br100,Nelith Cristina Velez Crespo,1 opinión,Hace 2 años,No contestan el teléfono cuando se llama..como podemos comunicarnos.,,Me gusta,1.0,,Compartir,,,,
https://lh3.googleusercontent.com/a-/ALV-UjUafjNgJ4irFk_dnj8PJlV1_4NjpWGp-YUrMyNbnrgQFCV89rZM=w45-h45-p-rp-mo-br100,Patricia Lucasz,17 opiniones · 3 fotos,Hace un año,Es un sitio  excelente  buena atención,,,,,Compartir,Me gusta,,,
https://lh3.googleusercontent.com/a-/ALV-UjVZZCHXqSPbJ9Lb4Rm8A9Faj-jYikwxkyrK2hRQrVy_FKLaYr2G=w45-h45-p-rp-mo-ba5-br100,Joselo CrM,Local Guide · 176 opiniones · 58 fotos,Hace 8 años,"Dentro médico del IESS, no posee lugares propios para estacionamiento de los usuarios.",,Me gusta,1.0,,Compartir,,,,
https://lh3.googleusercontent.com/a/ACg8ocL96sbn7WAaXWOtYqhvqyznvZmTf7fOpB0FLx_Lrp-2qaRpHLA1=w45-h45-p-rp-mo-br100,YOLI HURTADO,8 opiniones,Hace un año,Sentada y sentada  nunca me atendieron,,Me gusta,1.0,,Compartir,,,,
https://lh3.googleusercontent.com/a/ACg8ocK1XO2B4c2aO0uLnT4RvUSlz2YV0fN3U_Yp8hKLm1RrBh3_Cg=w45-h45-p-rp-mo-ba5-br100,Wilo Jarrín,"Local Guide · 109 opiniones · 1,474 fotos",Hace 4 años,"La extensión de Farmacia es: 212970, marcar primero 3824880.",,,,,Compartir,Me gusta,,,
https://lh3.googleusercontent.com/a-/ALV-UjXazndPQccKqLGRVHIO4szPKCWgHsoBWYAdY9T_cMIzxtdXwC_rZg=w45-h45-p-rp-mo-br100,Scira Wolf,90 opiniones,Hace 10 meses,Difícil atención,,,,,Compartir,Me gusta,,,
https://lh3.googleusercontent.com/a-/ALV-UjXgAXThzy_TFlmtnU-znEiV14C2vk1KRco3PEFU-Dk2WoHixa_W=w45-h45-p-rp-mo-ba3-br100,Ricardo López,Local Guide · 44 opiniones · 18 fotos,Hace 6 años,"Hospital del IESS, buena atención, pero podrían mejorar.",,,,,Compartir,Me gusta,,,
https://lh3.googleusercontent.com/a-/ALV-UjV7fvJPNlnttqbcJhgUsdzbY2rw221p8cr23vFjHZ2aJDdSkqgl=w45-h45-p-rp-mo-ba4-br100,Ramiro malitaxi,Local Guide · 181 opiniones · 99 fotos,Hace 10 años,En el servicio de rehabilitación se atiende de maravilla como tiene que ser,,Me gusta,2.0,,Compartir,,,,
https://lh3.googleusercontent.com/a-/ALV-UjXJo_YHHOquBhFe5OLnRRPErlajUhiLip84ZK-EbIlwQ6VpHa8=w45-h45-p-rp-mo-ba3-br100,Oscar Ojeda,Local Guide · 52 opiniones · 6 fotos,Hace 11 años,Nadie te da información de nadie me parece muy mal...,,,,,Compartir,Me gusta,,,
