"YQ4gaf src","GyeGK","vWB2ve","T7nuU","T7nuU 2","tEJZ0b","T7nuU 3","WHxBId","gjvCCd"
"https://lh3.googleusercontent.com/a-/ALV-UjUBOpd2UYPZpYlsYFHJenb11-YX-iGbYIUgI6U-4vap3Ybhyso=s128-d-cc-rp","Oscar Iván Villarroel Méndez","Hace 3 meses","Bastante realista a lo que sucedió realmente, aburrida al principio ya que hacen entrar en contexto de lo que pasó antes y durante el accidente, va mejorando mientras muestran la interacción de los sobrevivientes para mantenerse vivos y sumamente elocuente el final mas aún con la música que hacen suspirar hasta a los mas duros de corazón","","","","Esta opinión te resultó útil.","¿Te resultó útil esta reseña?"
"https://lh3.googleusercontent.com/a-/ALV-UjXqURVMGk7F3f5wNK7tEUYbiy0b4d1Bghza0YbiusgxoS0fcWc=s128-d-cc-rp","Leonardo Yorda","Hace 5 meses","...","Sinceramente no refleja lo que los Uruguayos sentimos al ver otras versiones, no me emocionó y l dan demasiado protagonismo a otro personaje cuando Parrado es realmente es el gran artífice y héroe de esta historia, junto a Canesa ,su determinación hace que esta historia tenga este final..Bien lograda la escena de la caída de el avión, pero si esto pasaba con ciudadanos de EEUU Parrado era Tom Cruise mínimo por eso no me gusta el poco protagonismo que le terminan dando ,hay me parece una falta de","Más","Sinceramente no refleja lo que los Uruguayos sentimos al ver otras versiones, no me emocionó y l dan demasiado protagonismo a otro personaje cuando Parrado es realmente es el gran artífice y héroe de esta historia, junto a Canesa ,su determinación hace que esta historia tenga este final..Bien lograda la escena de la caída de el avión, pero si esto pasaba con ciudadanos de EEUU Parrado era Tom Cruise mínimo por eso no me gusta el poco protagonismo que le terminan dando ,hay me parece una falta de repsto que no se refleje su determinación y empuje para llegar a su padre que eso lo impulso para decirle que era el único sobreviviente de la familia .","Esta opinión te resultó útil a ti y a otras 3 personas.","Esta opinión les resultó útil a 3 personas."
"https://lh3.googleusercontent.com/a/ACg8ocIyvbyC6tkSXAHUDT9A7iRpCd-E-Xs1xFNJ9FZunnlij2fw2yI=s128-d-cc-rp","ester barrios","Hace 4 meses","Recuerdo perfectamente el día del accidente y seguí el caso por las noticias, leí el libro y ví la película anterior, en esta después de la avalancha que están cuatro días atrapados me empezó a gustar, es medio lenta, pero no deja de ser emotivo el final. Es para verla","","","","Esta opinión te resultó útil.","¿Te resultó útil esta reseña?"
"https://lh3.googleusercontent.com/a/ACg8ocIq1MaG0mZytig1GjMDLYcBwi4kUIJDPXNa-8Ucm2-uGq7DZQ=s128-d-cc-rp","Alejandra López","Hace 5 meses","Me decepcionó.  No transmite igual que el libro. La película pinta sólo sus rasgos ""buenos"", ni una disputa. No los muestra en su entera humanidad, tampoco dan muestras de las familias y sus búsquedas.  Si no hubiera leído tantas veces el libro creo que le habría dado las 5 estrellas, pero como lo leí, sólo le doy 3.","","","","Esta opinión te resultó útil a ti y a otras 10 personas.","Esta opinión les resultó útil a 10 personas."
"https://lh3.googleusercontent.com/a-/ALV-UjU7hrl5-Tzm9R3vNtqsW6ByRjsRKYs0qZs_MBgN6rKCBohPCwU=s128-d-cc-rp","Jero Sasso","Hace 5 meses","Película con detalles de la época que muestra detalles, bien hecha e impresionante. Quizás tenía demasiada espectativa.. Pero a mí me gustó más la primer película ""Viven""... Aunque esta no está mal.. ..","","","","Esta opinión te resultó útil a ti y a otras 4 personas.","Esta opinión les resultó útil a 4 personas."
"https://lh3.googleusercontent.com/a-/ALV-UjUPcZpM6hxZZLBbaE_FerfaQUoM2PdAzMwekoRiGGU2dDVDZYNI=s128-d-cc-rp","Patricia López","Hace 2 meses","No me gustó. Para mí la película Viven es mucho más verdadera. Además soy Argentina y recuerdo muy bien éste trágico accidente.","","","","Esta opinión te resultó útil.","¿Te resultó útil esta reseña?"
"https://lh3.googleusercontent.com/a-/ALV-UjVqi8U-ZeWfBddfhTOZqGXub4HATuhujpjeuMzMc5uqckhhbBOM=s128-d-cc-rp","yoyi73 rodriguez","Hace 2 meses","Se que las comparaciones son odiosas pero referente a la que hicieron de Viven ( que me gusta mas que esta).
Esta es mas rapida, las cosas pasan como mas aceleradas, bueno a gustos colores, personalmente me gusto mas la otra pelicula.","","","","Esta opinión te resultó útil.","¿Te resultó útil esta reseña?"
"https://lh3.googleusercontent.com/a/ACg8ocLRKHoFz29VdxW3DvYmSYIohQatO6kvqsRpWxm7dS-cf2DQPQ=s128-d-cc-rp","Cecilia Vaccaro","Hace 4 meses","Para las personas que vieron la pelicula , recomiendo leer los libros , principalmente  el libro Viven , o ver la pelicula Viven porque hay otra pelicula en realidad hay 3 peliculas... 
Omitieron muchas cosas de lo qué pasó, igual es interesante la pelicula","","","","Esta opinión te resultó útil.","¿Te resultó útil esta reseña?"
"https://lh3.googleusercontent.com/a/ACg8ocJ9cbE8p2kDQJoKxrtzS4b2wb_68A9C-FlBIpF8ZeJicvZx3Q=s128-d-cc-rp","Matias Pero","Hace 4 meses","Cuesta distingir personajes,el protagonista principal creo que es el que decide no comer,tiene más energía que los demás,algo imposible.
Bien ambientada,buenas escenas de tensión.","","","","Esta opinión te resultó útil.","¿Te resultó útil esta reseña?"
"https://lh3.googleusercontent.com/a-/ALV-UjWafVdsR1q29k3002elFvRH61dbvvWpocalwgi2W0STCuOdMkys=s128-d-cc-rp","mario mobrici","Hace 5 meses","Sin ánimos de crítica hacia directores y actores me quedo totalmente con la película VIVEN, no hubo nada que me haya sorprendido en esta versión.","","","","Esta opinión te resultó útil a ti y a otras 2 personas.","Esta opinión les resultó útil a 2 personas."
"https://lh3.googleusercontent.com/a-/ALV-UjX4xxsSfvUR8g8_7S_DDb362u-nrvRYsoFjsJ_NTlECntOBBXT64g=s128-d-cc-rp","Dori victoria","Hace 5 meses","Dura, bien hecha, banda sonora muy buena, y tema repetido varias veces y escabroso. Se sale mal del cine...","","","","Esta opinión te resultó útil a ti y a otras 6 personas.","Esta opinión les resultó útil a 6 personas."
"https://lh3.googleusercontent.com/a-/ALV-UjU9vn0JBIjuiag0FdRkAm7F7z7vCTnF3iprKFQVC9lK_f4_yaYR=s128-d-cc-rp","Pablo Hernandez","Hace 4 meses","Bayona demostrando una vez más que es un director sobrevalorado, la historia en sí ya era genial, pero las comparaciones con viven son inevitables, aunque en esta ocasión quieran tratar de mostrar otro punto de vista diferente ,está no es una versión mejor.","","","","Esta opinión te resultó útil.","¿Te resultó útil esta reseña?"
"https://lh3.googleusercontent.com/a-/ALV-UjWQpBEH-3EtIy3hW5AVZdh_lUlpsMOoTAFDTEuEAYeGdRA9v7rT=s128-d-cc-rp","Miguel Palomino","Hace 2 meses","Película muy plana, sin poder de engancharte. De verdad, ¿hacía falta otra película de esta desgracia?. Los paisajes bien, la música no me acuerdo, la historia ya la sabemos.","","","","Esta opinión te resultó útil.","¿Te resultó útil esta reseña?"
"https://lh3.googleusercontent.com/a-/ALV-UjWpIMoyo2G1YX2gLKQHsFyFO2HPR9Uvl-Gjau3Le_2qDJSBO_gD=s128-d-cc-rp","alyy sander","Hace 4 meses","Si bien ...este relato es más moderno ...y un poco más detallado...como que falto un poco más...
Capaz xq ya conocía la historia y vengo con el chip de la versión anterior","","","","Esta opinión te resultó útil.","¿Te resultó útil esta reseña?"
"https://lh3.googleusercontent.com/a-/ALV-UjXI-rKeMLy5RP8i_eQi0oQbLTVECiiahgNt5tMZRX6t-XaCVyPl=s128-d-cc-rp","iPollito Rojas","Hace 4 meses","Pintaba bien el inicio, pero conforme fue avanzado, se convirtió en típica película sin trama, aburrida. 

Debieron hacerla más corta, mucho relleno que la hace aburridisima","","","","Esta opinión te resultó útil.","¿Te resultó útil esta reseña?"
"https://lh3.googleusercontent.com/a-/ALV-UjUOfEzhlxwDK6gjdJXqmyL3IwMGQRDlf0z2Q4F5-2m3LrshBzs=s128-d-cc-rp","BeyondthoughtSs","Hace 4 meses","¨Viven¨ se la come con patatas, con 30 años de diferencia, que se dice pronto.
Sin ser mala pelicula, creo que podr
ía haber sido muuuucho mejor.","","","","Esta opinión te resultó útil.","¿Te resultó útil esta reseña?"
"https://lh3.googleusercontent.com/a-/ALV-UjX9eR0p1nyJZ2Puf0TdPPx3bTpOWUpCdK399vdWS1zVBuLnGg=s128-d-cc-rp","Raúl Santiago","Hace 5 meses","Quizá porque soy uruguayo y tengo 65 años, me resulta demasiado larga, también al conocer la historia y haber visto ""Viven"" ( que tampoco fue gran cosa pero tengo el recuerdo de que fue superior)
En fin otra película más y demasiado larga.","","","","Esta opinión les resultó útil a ti y a otra persona.","Esta opinión le resultó útil a 1 persona."
"https://lh3.googleusercontent.com/a-/ALV-UjW3uhoRrypmJeW2cARBUR-sUtYYu0wZR0NwqRmXf0fhX0ejDaMX=s128-d-cc-rp","Pablo Molinari","Hace 4 meses","Estremecedora historia, que muestra la resistencia de las personas a las inclemencias del ambiente.
Me imagino a LOS PIBES DE MALVINAS.","","","","Esta opinión te resultó útil.","¿Te resultó útil esta reseña?"
"https://lh3.googleusercontent.com/a/ACg8ocIja71obMK8fPc8-vi_XM0jv2DJc8cwBHf3d5pGZGr0Zt-j=s128-d-cc-rp","Alicia Esperon","Hace 4 meses","Muyyyyyyý larga, muy!
Obvio que conocía el accidente pero fueron muchas horas de nieves.","","","","Esta opinión te resultó útil.","¿Te resultó útil esta reseña?"
"https://lh3.googleusercontent.com/a-/ALV-UjUGA6SjcI50c0CT_BGmXp8kNctUG1_fvtsi-zyRkVXpnGI4vfSj=s128-d-cc-rp","Frida Khalo","Hace 4 meses","Tiene calidad de imagen y efectos pero me quedo con VIVEN de 1993 .
Veánla quienes no la han visto no se arrepentirán.","","","","Esta opinión te resultó útil.","¿Te resultó útil esta reseña?"
"https://lh3.googleusercontent.com/a/ACg8ocINW021NuMSGd7b7wugmhZtBbaoGttH95LvE4GZ10OjUFHpZw=s128-d-cc-rp","Pablo Roman","Hace 2 meses","Para mi gusto esta bien, lo que no entiendo es que habian bastante personas que fumaban todo el rato y nunca hicieron una hogera y murieron algunos del frio","","","","Esta opinión te resultó útil.","¿Te resultó útil esta reseña?"
"https://lh3.googleusercontent.com/a-/ALV-UjWSfCJd4npYv_M7dd9IcBHvkzolDqRrUSY9vmue0TTTafYsKaCi=s128-d-cc-rp","Mercedes SOLIS","Hace 3 meses","Esta película me produjo un impacto total de como 25 sobrevivieron a 45 pasajeros(as)","","","","Esta opinión te resultó útil.","¿Te resultó útil esta reseña?"
"https://lh3.googleusercontent.com/a-/ALV-UjWC_b0vaNv9VGTa0QDusREeWkILN287JqP40BucC-MK8ACZEVMYDA=s128-d-cc-rp","Ignacio Celada","Hace 5 meses","Cómo interpretación BRUTAL, como fotografía BRUTAL, como Efectos Especiales BRUTAL, como Trama y Guion pues ya está la de VIVEN.","","","","Esta opinión te resultó útil a ti y a otras 3 personas.","Esta opinión les resultó útil a 3 personas."
"https://lh3.googleusercontent.com/a-/ALV-UjVEBGuYjzWQhXyHQS_g6Ai07EJtwAu3EErp8iJJS-8aZcJP4-yt=s128-d-cc-rp","Damian Akiro","Hace 4 meses","Malas actuaciones. Faltaron escenas previas al desastre.","","","","Esta opinión te resultó útil.","¿Te resultó útil esta reseña?"
"https://lh3.googleusercontent.com/a-/ALV-UjUjFk4Mo-REN8yGp6SfLiywFZ4l_y1pVh9ReEJ6ZZ9BqYOLMgE=s128-d-cc-rp","Rafael Ruz","Hace 4 meses","Demasiado lenta y excesivamente larga.","","","","Esta opinión te resultó útil.","¿Te resultó útil esta reseña?"
