"YQ4gaf src","GyeGK","vWB2ve","T7nuU","WHxBId","gjvCCd"
"https://lh3.googleusercontent.com/a/ACg8ocLhC-BkQk12dZWHzt1ybTfs-WjkabphShEaICN36JjZCma7tQ=s128-d-cc-rp","Robert P","Hace 2 meses","...","Esta opinión les resultó útil a ti y a otra persona.","Esta opinión le resultó útil a 1 persona."
"https://lh3.googleusercontent.com/a-/ALV-UjWlTNrW7juBNoS2fKkLL4nn13bt5rycOJrTfKiwW-k8kWb6fSzF=s128-d-cc-rp","Jorge Pereira","Hace 4 meses","...","Esta opinión te resultó útil a ti y a otras 3 personas.","Esta opinión les resultó útil a 3 personas."
"https://lh3.googleusercontent.com/a/ACg8ocKSteQxmPxFZ8MMZ2IKzPXowS-LlZNDI9-5xMJkxyOOz_HEdQ=s128-d-cc-rp","Jesús Arroyo","Hace 5 meses","Fui con ilusión, pues me gusta mucho el tema.

Un verdadero tostón donde todo es ver lo mal que lo pasan comiendo carne humana.

Me dormí incluso a mitad de película. 

No añade nada a las anteriores. 

Una película lenta, insufrible e innecesaria.","Esta opinión te resultó útil a ti y a otras 48 personas.","Esta opinión les resultó útil a 48 personas."
"https://lh3.googleusercontent.com/a-/ALV-UjVCdGyuGZBzM8UCzI3gqrrwoVhyA8n9VlAa8mvVrn3lcgS_5obx=s128-d-cc-rp","Federico López","Hace 5 meses","La acabo de ver, francamente no me gustó. Actores Argentinos que creo ni se le parecen a los sobrevivientes (no tengo nada contra ellos pero el acento es diferente y se nota). Muchos detalles no contados y muy lenta. Hace énfasis en situaciones que no hacen al tema. Parece hecha a los apurones. Una pena. hubiese terminado bien con un testimonio real de los protagonistas hoy en día.","Esta opinión te resultó útil a ti y a otras 16 personas.","Esta opinión les resultó útil a 16 personas."
"https://lh3.googleusercontent.com/a/ACg8ocLt8SjR24H1eKrlLzpXXSeTX8_Mhcb7Ome6IW-y_gPRo1dSjQ=s128-d-cc-rp","Iancho","Hace 4 meses","Hola que tal, saludos cordiales paso a comentar mi experiencia con esta obra de arte , la mejor que vi en mucho tiempo.
me gusto que se esmeraran en esta historia por que soy uno de los supervivientes de esta trama, lo que no me gusto es que no esten en la misma posicion{ no pasaron extremo frio y no murio gente de verdad} pero bueno no esperaba mas. 
saludos cordiales de el chapo guzman.","Esta opinión les resultó útil a ti y a otra persona.","Esta opinión le resultó útil a 1 persona."
"https://lh3.googleusercontent.com/a/ACg8ocKYH4P3Tg9P5mz8uq7obmNfWLD6OA2lgji265XPY1DB5lz5fQ=s128-d-cc-rp","Gustavo Osnaya","Hace 5 meses","Buscan mpstrar el lado más sueve del accidente, faltan detalles muy importantes y significativos que en entrevistas y conferencias se mencionan por parte de los sobrevivientes. Hay situaciones que no se apegan a la realidad, incluyendo el rescate, pasaron 72 días y en la película mencionan 71. No reflejala de manera fiel lo vivido  según los relatos hechos por Parrado, Paez, y los primos Stauch. Dejo mucho que desear. Lean los libros.","Esta opinión te resultó útil a ti y a otras 6 personas.","Esta opinión les resultó útil a 6 personas."
"https://lh3.googleusercontent.com/a-/ALV-UjWggYc0YDr2rv0Gy-YlU0HaXR6Ukb26zNpUfEYf4VF2-YszsrPH=s128-d-cc-rp","Fernanda Martínez","Hace 4 meses","...","Esta opinión te resultó útil a ti y a otras 13 personas.","Esta opinión les resultó útil a 13 personas."
"https://lh3.googleusercontent.com/a-/ALV-UjWCVBJ7nLYwFGVO5RnZrbWm4hKqg0NkFpZ4T-gzlr5nPSCwPuQ=s128-d-cc-rp","miguelbarna","Hace 5 meses","Aunque técnicamente impecable, el guión brilla por su ausencia, con una nula descripción de los personajes y excesivos primeros planos...que revelan que a unos les crece la barba y a otros no. Difícil desarrollar un poco de espontánea empatía. La historia y su final son lo suficientemente conocidos para que a la media hora empieces a preguntarte si seguir perdiendo el tiempo con ese bodrio o dedicarlo a otra cosa, mariposa. Pero sigues, a ver si se arregla, pero no.","Esta opinión te resultó útil a ti y a otras 12 personas.","Esta opinión les resultó útil a 12 personas."
"https://lh3.googleusercontent.com/a/ACg8ocIEOCF564zvzHWLqFSm--xgf8bxFaHLefirQ-S1SCZQ3m2vSw=s128-d-cc-rp","Darío Franchi","Hace 4 meses","La película desde punto técnico y dirección está perfecta. El guión de acuerdo a lo que fue la historia no es bueno, hay muchas cosas que en la historia esos chicos no hicieron y no se sabe por qué ,ya que por momentos eran inteligentes y por otro tontos. No se cuenta toda la verdad.","Esta opinión te resultó útil.","¿Te resultó útil esta reseña?"
"https://lh3.googleusercontent.com/a-/ALV-UjV9uJknvLhUdcBuR_O4ZC7toNTS8AsrNRreBN14NglFX9wkGokb=s128-d-cc-rp","Nico Callejero","Hace 5 meses","Malas actuaciones que no trasmiten emociones, muy morbosa y poco arte. La escena cuando encuentran al arriero es pésima. No merece un Óscar la verdad. Esta por lejos mucho mejor Alive de 1993.  Es mucho más emotiva y es cine del bueno.","Esta opinión te resultó útil a ti y a otras 22 personas.","Esta opinión les resultó útil a 22 personas."
"https://lh3.googleusercontent.com/a/ACg8ocKrXLC0NfyJNT7PN5N03A3TkPLCxHAzJFH7nUvB3qTTFD4_5g=s128-d-cc-rp","Céline Etcheverry","Hace 4 meses","Bayona es un impostor. Esta historia real ya se puso en cine y conociamos sus detalles. No ha inventado nada porque ya todo fui dicho y visto. No entiendo que se la lleve a los oscars!! Porque? Por los efectos especiales? Es un engaño al que le gusta el cine aprovechandose de esa tragedia.....","Esta opinión te resultó útil a ti y a otras 7 personas.","Esta opinión les resultó útil a 7 personas."
"https://lh3.googleusercontent.com/a-/ALV-UjUvGjdRJeHdWdgdcthoVaHMoD1lx1XV24_bqEFaI-A09jygNWec=s128-d-cc-rp","Alex Aulestia","Hace 4 meses","Descepcionante. Imagen, luz sonido y actores amateurs. Guión, dialogos largos y aburridos. Para nada supera a Viven de Frank Marshall que fué una película de calidad. Esta ni siquiera logra superar ni a la primera versión Mexicana. No me gustó nada .","Esta opinión te resultó útil a ti y a otras 2 personas.","Esta opinión les resultó útil a 2 personas."
"https://lh3.googleusercontent.com/a/ACg8ocK_nLvZ1iFC1UAwXoJMW__oOlb8RWKTsx5wthp10hkeKK3Mfg=s128-d-cc-rp","Fernando Alonso","Hace 3 meses","Desde luego a Sergio Leone le ha superado. Una sucesión interminable de primeros planos, unos diálogos repetitivos hasta el hartazgo, escenas iguales una y otra vez , una chapa del fuselaje que arrancan una y otra vez, y otra vez un primer plano de los actores. Conexiones de escenas con pantalla negra. Para mí un verdadero bodrio.","Esta opinión te resultó útil.","¿Te resultó útil esta reseña?"
"https://lh3.googleusercontent.com/a/ACg8ocKUKB4MHduKGjjvSUBfzIr1C-GQy7Ab0I-hXxcFn7NPaWlJtg=s128-d-cc-rp","Yolanda Diaz","Hace 2 meses","Voy a volver a recrear Titanic, porque tengo una tecnología más avanzada que la última versión.
El cine debería llevar actualidad y consciencia al planeta. Existe hambre, guerras, enfermedad, cáncer, miseria, sufrimiento! 
Pero vamos a volver a recrear algo del pasado, para conmover al espectador dormido e intentar llevarme un Oscar en la vida superficial.","Esta opinión te resultó útil.","¿Te resultó útil esta reseña?"
"https://lh3.googleusercontent.com/a-/ALV-UjUpg7x-_LV2vbQ3KD9e8nBwLDm1qSqdfJD-Z6-7Icu5x9jfQ_M=s128-d-cc-rp","Giovanna Rainiero","Hace 4 meses","No me gustó en lo sbdoluto. Incluso la pelicula Mexicana de los 70's es mejor, no se diga Viven que es la mejor, dejando a la Sociedad de la nieve como un remake mal echo de Viven. Pesimo sonido, pesima imaguen, dialogos largos y aburridos. Una descepción.","Esta opinión te resultó útil a ti y a otras 2 personas.","Esta opinión les resultó útil a 2 personas."
"https://lh3.googleusercontent.com/a/ACg8ocKMQQ1qKT51SesLQPQilQpCqAvKCGU3accIdFNGjQbR7mAAuw=s128-d-cc-rp","Rafael Mora","Hace 3 meses","Son una mrd,porque esa pt peli no es gratis para todo el mundo,osea para personas de bajos recursos,hoy un niño vino a mi casa que quería ver esta película yo le dije bno dime el nombre de la peli el feliz y con una cara dulce me responde sociedad en las nieves, yo busque en todas las app de pelis,hasta que se me ocurrió buscar en Google y sale solo en NETFLIX,tuve que decirle al pequeño que no podíamos ver la peli,y tristemente se fue a seguir limpiando palabrisas de Automóviles,gracias.....","Esta opinión te resultó útil.","¿Te resultó útil esta reseña?"
"https://lh3.googleusercontent.com/a-/ALV-UjXIZaKSHi0mvuA7OK9TGf7FL8rqUKZ0K_yiEQFHQxsX3p-Vyme9=s128-d-cc-rp","dany labandera","Hace 4 meses","Boludo? Pillo? Es en serio??? Me bastaron solo 3 min de película para ver como cambiaron la historia en varias cosas, como Uruguayo amante del cine y la historia me siento ofendido con tales hechos trascendentes en que fue manipulada. Y más datos que dejan mucho que desear. Vergüenzaaa!!!","Esta opinión les resultó útil a ti y a otra persona.","Esta opinión le resultó útil a 1 persona."
"https://lh3.googleusercontent.com/a-/ALV-UjWrmAoQZqmht_mD1Sjhgdw7YRFqUdNjTo6nMWTWQ4Iz0j3hHO4=s128-d-cc-rp","Francisco Hernández","Hace 5 meses","Mala, no. Malísima. Viven, la tragedia de los Andes (película original ), narra cronológicamente los hechos.
Relata los acontecimientos en las montañas y en el País día a día. Cuenta hasta el más mínimo detalle.","Esta opinión te resultó útil a ti y a otras 11 personas.","Esta opinión les resultó útil a 11 personas."
"https://lh3.googleusercontent.com/a-/ALV-UjV7uG4mQBzh2QUnx6rgESrgxuWrylFo4fax3i7XW2CKzQ5e2CHr=s128-d-cc-rp","Sandra Morales","Hace 4 meses","Primero mis respetos a los q vivieron está tragedia . Ahora la peli , el q la cuenta superaburrido casi no se le entiende nada , los actores no me gustaron . No ví diferencia con la película Viven , solo se diferencia pq participan los sobrevivientes . O sea faltó todo lo emocional . Me quedo con Viven .
,","Esta opinión les resultó útil a ti y a otra persona.","Esta opinión le resultó útil a 1 persona."
"https://lh3.googleusercontent.com/a/ACg8ocIqORjEuJ1NoZWbSujFFHegRyKlhqrnCrnFGep6-KSSiiIrVFdE=s128-d-cc-rp","Clérigo “GOODNIGHTGOODLUCK” H","Hace 5 meses","Si bien esta vez la iniciativa es de un director espaniol creo que el tema ya esta suficientemente laudado para los uruguayos. Es por eso y por haber vivido la epoca que ya no me atrae. Vi la version de 1993. Lei el primer libro. Suficiente.","Esta opinión te resultó útil a ti y a otras 4 personas.","Esta opinión les resultó útil a 4 personas."
"https://lh3.googleusercontent.com/a/ACg8ocJNfDgPvIc_Oein1ryeUpcGQVNqysZY_honBQfjl_-ksg_fVQ=s128-d-cc-rp","Fer M","Hace 4 meses","Es que nadie de los que opina ha visto ""viven""???
Comparado con ""viven"", esto es un truño, no te mete para nada en la historia, si un caso el speech del final es lo unico que merce la pena. 
Me da la impresion de que esta pelicula se ha hecho porque alguno estaba falto de dinero... a ver si por eso dicen que se sienten mas identificados con esta que con la otra...","Esta opinión les resultó útil a ti y a otra persona.","Esta opinión le resultó útil a 1 persona."
"https://lh3.googleusercontent.com/a-/ALV-UjWDy8oyTZItQ2kBmhle_HM2KdVKfVI0ObPabOEOSxlfztrpk1c=s128-d-cc-rp","Amberly Serfatti","Hace 4 meses","Dialogos largos y aburridos. Imagenes y sonido deficientes para ser una pelicula nueva, incluso la versión mexicana es mejor. VIVEN de Frank Marshal sigue siendo la mejor pelicula que se ha filmado sobre los sobrevivientes de los andes.","Esta opinión te resultó útil.","¿Te resultó útil esta reseña?"
"https://lh3.googleusercontent.com/a/ACg8ocJmQPe1ae5ZAXV10xjrP_MkNth52-biBIK6so2GSPBK04ftyg=s128-d-cc-rp","christian garcia","Hace 5 meses","Esperaba mucho más de esta increíble historia de supervivencia, olvidaron y dejaron de mostrar  muchos detalles acerca del impacto en los andes y también prácticamente solo pusieron 10 segundos del hombre que les rescato, el arriero Sergio catalán .
Por otro lado la película transcurre muy lenta e inacabable mostrando día a día escenas de antropofagia cuando en realidad sucedieron mucho más cosas propias del espíritu humano en momentos de crisis.","Esta opinión te resultó útil a ti y a otras 17 personas.","Esta opinión les resultó útil a 17 personas."
"https://lh3.googleusercontent.com/a-/ALV-UjVwZkAaNcEl7QrLhOnsJWd8L90Neqf3cGdKjdatZsybikZmJxA=s128-d-cc-rp","Federico Loholaberry","Hace 3 meses","No aporta NADA nuevo.....me quedo con la primer versión del suceso,me refiero a la película VIVEN. Que manía la de hacer remake sobre remake ,precuelas y segundas y novenas partes.... Lo que distingue éste suceso de otros de supervivencia es que acá se tuvieron que comer gente.","Esta opinión te resultó útil.","¿Te resultó útil esta reseña?"
"https://lh3.googleusercontent.com/a-/ALV-UjWm-0-3sPz5o4k4NCLDt2FTO1h3d2PTR2ZbpTVBpjHPL_i3m_Ri=s128-d-cc-rp","Saskia Castelucci","Hace 4 meses","Aburrida, larga y sosa. Dialogos aburridos, imagenes borrosas y audio deficiente. Incluso la de 1976 la supera y por supuesto , Viven sigue siendo la mejor y esta un remake echo al apuro.","Esta opinión les resultó útil a ti y a otra persona.","Esta opinión le resultó útil a 1 persona."
"https://lh3.googleusercontent.com/a-/ALV-UjUsltIDK4N7syzlHyJ_lLASbJOjAMx3AUW8gqc0OKvtYsE_87Q=s128-d-cc-rp","edgardo gregorini","Hace 2 meses","La película es una basura. Berreta , pobre, Incalificable.

Las registros reales del accidente aportan mucho más que esta innecesaria realización

Vean Viven (Alive) 1994
Con Ethan Hawke
De Frank Marshall","Esta opinión te resultó útil.","¿Te resultó útil esta reseña?"
"https://lh3.googleusercontent.com/a/ACg8ocJnp77iWZrO0C7sO18e9jNk1f9SLFOYpZVwr2dZS1nkkaiu7Q=s128-d-cc-rp","Alayn Andres","Hace 4 meses","Otra película de aventuras, rodada de manera grandilocuente, pero no enfoca bien el elefante. Sin reflexión ninguna. Y bueno... si hay que comerse a los muertos, es el mercado amigo!","Esta opinión te resultó útil.","¿Te resultó útil esta reseña?"
"https://lh3.googleusercontent.com/a-/ALV-UjVdPQRVXAfvNlal9GqL4zfjvXTkeO-XkKKZ_8OJE5gH_IoX8NXA=s128-d-cc-rp","Diana Isabel Villagaray","Hace 4 meses","Aburridísima. Me quedo definitivamente con Viven. Esta es lentísima, plana, diálogos chatos. Si no puedes dormir ponla y te aseguro que te duermes en menos de 15 minutos","Esta opinión les resultó útil a ti y a otra persona.","Esta opinión le resultó útil a 1 persona."
"https://lh3.googleusercontent.com/a/ACg8ocJCjRWU87JR8WwPyzoedxIkkW26aHS5iAatX9elwxyDV8VsAw=s128-d-cc-rp","Juan Martínez","Hace 5 meses","Muy irreal, con lo dramático que resultó en su día ese hecho no consiguió conmover en ningún momento, es como si de repente vieras que aquellos personajes estuvieran actuando, sin transmitir ningún peligro. Los diálogos rayando la filosofía en vez de una preocupación real.","Esta opinión te resultó útil a ti y a otras 9 personas.","Esta opinión les resultó útil a 9 personas."
"https://lh3.googleusercontent.com/a-/ALV-UjVR8ajbxSTUWBM7Hw0Ny8Kww2c6qxwIr63PIfSAPRXMarFrqJE=s128-d-cc-rp","Alondra Lauren","Hace un mes","Desde la imagen pobre y los diálogos aburridos y actores amateurs, este pésimo remake de Alive, resultó tan descepcionante y aburrido como el libro de Algorta. Inclusiva la versión de los 70's es mucho mejor, ni se diga Alive.","Esta opinión te resultó útil.","¿Te resultó útil esta reseña?"
"https://lh3.googleusercontent.com/a-/ALV-UjUBDkDgzvfD4kTIC2wKeRpbCPfZaN5L5hU4RzAM9FLGQbrdHoe3Qw=s128-d-cc-rp","A Ney","Hace 5 meses","Decepcionante, viven es mucho mejor y eso que es una peli de hace casi 40 años, todo el que diga que esta peli es buena o mejor que viven sencillamente saben caminar por qué vieron como se hace.","Esta opinión te resultó útil a ti y a otras 2 personas.","Esta opinión les resultó útil a 2 personas."
"https://lh3.googleusercontent.com/a/ACg8ocISVoiHi6Oo3STge1zUbuSnSaPL3paWxtjPFBT1lsbec0bZ=s128-d-cc-rp","Gonzalo Pricoli","Hace 4 meses","Intolerable morbosidad, para fines comerciales. Al principio cuida un poco ""mostrar"" el canibalismo justificado,pero luego derrapa cada vez mas haciendo de eso el punto fuerte en cuanto a morbo para hacerla mas vendible.","Esta opinión les resultó útil a ti y a otra persona.","Esta opinión le resultó útil a 1 persona."
"https://lh3.googleusercontent.com/a/ACg8ocIA281gk6Wh4xzYdL2vBxQ5nZny-y6Jhg3b9GBunYDGXFgrSw=s128-d-cc-rp","Jose Gil Sánchez","Hace 5 meses","La película es muy pesada es una película que ""tiene mas relleno que un pavo en navidad"" en cuanto a los efectos audiovisuales si es verdad que no me puedo quejar son impresionantes pero creo que si en una película te alegras de que acabe es porque no es muy buena, obviamente la historia esta bien representada pero repito es MUY MUY MUY pesada y si no te vas de la sala es porque te da vergüenza","Esta opinión te resultó útil a ti y a otras 10 personas.","Esta opinión les resultó útil a 10 personas."
"https://lh3.googleusercontent.com/a-/ALV-UjVcR7tY7sj04LTDaVOm4zrvzwcXVx6ePlkk7zdrRBJrPBEQWQOJ=s128-d-cc-rp","georgia grant","Hace 4 meses","Acabo de verla y me ha parecido lenta,aburrida. Se me hizo muy larga. Siento que se ha enfocado en la sensiblería y creo que hay otro documental que refleja mejor la historia que vivieron.","Esta opinión te resultó útil.","¿Te resultó útil esta reseña?"
"https://lh3.googleusercontent.com/a-/ALV-UjXNNxEZj5YFEVOmQ15VPU534Ebj2-4t9MLLsV7zKUIRBGWFDLtD=s128-d-cc-rp","Juanjo Muñoz","Hace 3 meses","Al octavo día y ver que siguen todos con un afeitado perfecto dejé de verla. Debe ser una peli para retrasados; pésima caracterización","Esta opinión te resultó útil.","¿Te resultó útil esta reseña?"
"https://lh3.googleusercontent.com/a/ACg8ocK0mPhB5tbqz3hqFbbLe9FH9yYsX7Y1NmqaVqL0SpTCHwmozg=s128-d-cc-rp","Maria Pelayo","Hace 4 meses","No me ha gustado. Mil veces mejor Viven. Es lenta. Los diálogos no se entienden. Algunas escenas son buenas.","Esta opinión les resultó útil a ti y a otra persona.","Esta opinión le resultó útil a 1 persona."
"https://lh3.googleusercontent.com/a-/ALV-UjUKEtssF-lJSjuAj3w3Paw-5olouy2WRFt-ZIAbOuKvUAkG7RBg=s128-d-cc-rp","Santiago de la Higuera","Hace 4 meses","Es aburrida, con un ritmo insoportable. Una pésima dirección. Es mejor ver los documentales que hay al respecto o Viven. Malísima","Esta opinión les resultó útil a ti y a otra persona.","Esta opinión le resultó útil a 1 persona."
"https://lh3.googleusercontent.com/a/ACg8ocIOxMOixzD9t2jcgQiW_EXJtBb1wbBo4ZvRkuEnY_1E4k-dCg=s128-d-cc-rp","Alejandro Jose Varela","Hace 4 meses","Disculpen,  es una opinión personal,  pero me pareció una mala copia de la película ""Viven"" (1993). Muy aplastada, larga, falta de dinamismo, omisión de episodios que realmente pasaron y un final algo dibujado para mí.","Esta opinión te resultó útil.","¿Te resultó útil esta reseña?"
"https://lh3.googleusercontent.com/a/ACg8ocJsQwSlKFChwzOCt8Kn_2DDHVMY73pVbWM1Z_aiEZjBqpj6Kg=s128-d-cc-rp","Caro Arce","Hace 3 meses","Guión  muy morboso.No me parece  el  desarrollo.Se hace larga y densa.Buena fotografía y actuaciones. Falta banda sonora.","Esta opinión te resultó útil.","¿Te resultó útil esta reseña?"
"https://lh3.googleusercontent.com/a/ACg8ocJZ46EfVFJKNimKDQxhUw7l4wtv7LTKXmI7XYVzzjfygzl95w=s128-d-cc-rp","Alberto Castelblanque","Hace 5 meses","No aporta nada nuevo, es una copia de viven y además con cosas que según cuentan oficialmente no pasaron, no entiendo tanto revuelo por una peli que vimos hace un tiempo y la han copiado con otro director","Esta opinión te resultó útil a ti y a otras 3 personas.","Esta opinión les resultó útil a 3 personas."
"https://lh3.googleusercontent.com/a-/ALV-UjVqpqLo4jN1ybbRpeFKdzSX6nHYTDDPRuq0Y5QnSqDvraExcmuMBQ=s128-d-cc-rp","Elena Vazquez","Hace 4 meses","Viendo la película. 
No tienen para comer etc. Pero cigarrillos si. 
Me llamó la atención este detalle
Muertos de hambre pero tabaco si","Esta opinión les resultó útil a ti y a otra persona.","Esta opinión le resultó útil a 1 persona."
"https://lh3.googleusercontent.com/a/ACg8ocLk6VGVf38vuTgTEsx8yRLD-SQpoAqAf_1O-EtAKgPgR97Rmg=s128-d-cc-rp","Lucas Omar Castillo","Hace 4 meses","A mi no me gustó, muy densa, muy comercial, para que los uruguayos cobren buenas divisas.- La vi y me embolé.- y cuando insisten en comerse los cuerpos de los muertos me hastió.- No la recomienden que la vean, Uruguayos comerciantes.-","Esta opinión te resultó útil.","¿Te resultó útil esta reseña?"
"https://lh3.googleusercontent.com/a-/ALV-UjXFkVl2h-ira-z6cOmJkPgJtxpa3ozJmAJuxS2MHO9jXnis_3A=s128-d-cc-rp","Valeria Hernández","Hace 5 meses","Muy lenta... el que   no vio "" viven""   o no vivía en esa  epoca...no creo que entienda nada... muchos primeros planos...no se puede  saber quien es quien   una vez más se entiende que nunca segundas partes son buenas.....","Esta opinión te resultó útil a ti y a otras 8 personas.","Esta opinión les resultó útil a 8 personas."
"https://lh3.googleusercontent.com/a-/ALV-UjUqGwa6A6w9S6jwNX_vcXxz-Co-Vov10ABjm_IRD5n3bhdyom4m=s128-d-cc-rp","Eugenio Simoes Mateos","Hace 5 meses","Llevo 38 minutos de película y ya me parece absurda. 7 días muriendo de frío y a ninguno se le ocurre hacer un fuego con lo que tienen del avión??","Esta opinión te resultó útil a ti y a otras 2 personas.","Esta opinión les resultó útil a 2 personas."
"https://lh3.googleusercontent.com/a-/ALV-UjWYjJD4sgPpsBQl63aITS2PHWww8wfFajtaYo-LQ6vMtRXkbG0=s128-d-cc-rp","Carlos Perez","Hace 4 meses","La película es pésima ya que el director carece completamente de creatividad (por no decir que es plagio), ya que es una una replica de ""Viven"".
Si viste Viven, no pierdas el tiempo viendo esta copia aburrida.","Esta opinión te resultó útil a ti y a otras 2 personas.","Esta opinión les resultó útil a 2 personas."
"https://lh3.googleusercontent.com/a-/ALV-UjWy-wolRsZK5tEYfaud8uFCyrO300Q6O10mGn9mzR-rZb86DjNL=s128-d-cc-rp","Ar Mi","Hace 4 meses","Comparando con la anterior película “Viven“ 1993, tratando del mismo tema, esta película se hace eterna, pesada y aburrida por las conversaciones interminables, escenas muy oscuras y sin ver ninguna acción.","Esta opinión te resultó útil.","¿Te resultó útil esta reseña?"
"https://lh3.googleusercontent.com/a-/ALV-UjV96FxqxCaJ1Z1pepXOXSvW87U2VKEf2qfVYbcm5p-RWSA21Zg=s128-d-cc-rp","Javier Timon Sierra","Hace 3 meses","Era esceptico antes de verla. Ahora, una vez vista entera, confirmo que con razon era esceptico. Una autentica porqueria de pelicula, una españolada mas","Esta opinión te resultó útil.","¿Te resultó útil esta reseña?"
"https://lh3.googleusercontent.com/a-/ALV-UjW82OJiHrMOlAiqN5LBF2msGVdH-MqbwFxkptuSDkXa-P05xOOgGQ=s128-d-cc-rp","Florencia Distefeno","Hace 4 meses","A ninguno se le podía ocurrir hacer fuego con el encendedor con el que prendieron cigarros en toda la película ? Dios santo","Esta opinión te resultó útil.","¿Te resultó útil esta reseña?"
"https://lh3.googleusercontent.com/a/ACg8ocKVTuEtQzZ28IDXjgNlX6gLOz5EgyV39DYtQkLG1DGvjb-rKA=s128-d-cc-rp","Alenka Ang","Hace 4 meses","Regular pero de ahí a ponerle que es una joya u obra maestra pues está muy lejos MI OPINIÓN","Esta opinión te resultó útil.","¿Te resultó útil esta reseña?"
"https://lh3.googleusercontent.com/a-/ALV-UjVGjA5kxV-hCV2rgA5K_aNj7l8lQxCbbFrgayNjbRMnDsxFkaUD=s128-d-cc-rp","Lourdes Lozano","Hace 3 meses","He intentado verla dos veces, pero no puedo con el horror de pensar que sucedió de verdad. Sufro mucho.No puedo opinar.","Esta opinión te resultó útil.","¿Te resultó útil esta reseña?"
"https://lh3.googleusercontent.com/a-/ALV-UjWPkbE_PuEjYdhK-g-PPxnpu_UIeHll2pxhabNCNQ7FMxJP6VMGbA=s128-d-cc-rp","mariano Perez","Hace 4 meses","Malisima!. Que pelicula berrete copia de VIVEN. No entiendo como se les ocurre hace esta porqueria.","Esta opinión te resultó útil.","¿Te resultó útil esta reseña?"
"https://lh3.googleusercontent.com/a/ACg8ocK_Kid6A_Bh_eIMNpcj-shWABhv9KTya39YM7IpxlFwfBbx0g=s128-d-cc-rp","Josep Lluis Capdevila","Hace 4 meses","Innecesaria. Lástima, lo siento por Bayona. A quién se le ocurre levantar este proyecto?.","Esta opinión te resultó útil.","¿Te resultó útil esta reseña?"
