wiI7pd,comentarios_traducidos,clasificacion
validación de certificados médicos de lunes a viernes de 0600 a 0900 se debe hacer la fila general para obtener el turno la atención es rápida el certificado debe cumplir con todos los requisitos indicados el sello del médico debe ser,"fatally, on Wednesday the 27th, I went to this place to complete all the procedures and wait for the results so that they would tell me that something was wrong with me and that nothing came out in the results. In the early hours of Thursday the 28th, I went to a private hospital.",negativo
pésima atención se entiende que tengamos que esperar por la atención  es posible  dos horas y no te den respuesta de unos resultados que ellos mismo te indican que se demorarán de 15 a 20 minutos adicional no tienen ni la,"Validation of medical certificates from Monday to Friday from 0600 to 0900 you must make the general line to get the turn, the attention is fast, the certificate must meet all the indicated requirements, the doctor's stamp must be",positivo
en este centro médico te pueden dejar morir tengo un video donde llegó una señora mayor en silla de ruedas quejándose de dolor y aun así le hicieron esperar por horas mientras todos los demás presentes nos daba pena e indignación,"Total negligence, I went to the emergency room. I have been working under dependency for a month and even though they did not treat me in the emergency room, I present many symptoms that I hope are not abrasive or lethal. I have a pregnant woman by my side.",positivo
lo bueno que me han atendido relativamente rápido,"a service although I did not receive it, terrible nurses and doctors, we went for a heart emergency, it had to go through a covid diagnosis, the doctor had gone to lunch without leaving a replacement while my mother",negativo
fatal el día miércoles 27 asistí a este lugar realice todos los trámites y la espera de resultados para que me digan que algo me cayó mal y que en los resultados no salió nada en la madrugada del jueves 28 me fui a un hospital privado ya,"Terrible attention, it is understood that we have to wait for attention, it is possible two hours and they do not give you a response about results that they themselves tell you will take an additional 15 to 20 minutes, they do not even have the",negativo
un servicio aunque no lo llegué a recibir pésimo enfermeros y médicos groseros fuimos por una emergencia del corazón  se debía pasar por diagnóstico covid la dra se había ido a almorzar sin dejar reemplazo mientras mi madre,"The place is old, it smells damp, there is no emergency light, it is always full of people, there are no appointments at the IESS, they are going to sit for 5 hours to see if they are attended to, there is no parking outside, there is a black man with a stick to make sure you pay him.",positivo
negligencia total acudí a emergencias llevo un mes trabajando bajo dependencia y aún si no me atendieron en emergencias presento muchos síntomas que espero no sean abrasivos ni letales cuento con una mujer embarazada a mi lado mi,"It is a very old hospital that needs urgent remodeling. The lighting is poor, the structure is old and worn out. The doctors do their best to provide good care, but the infrastructure leaves much to be desired.",positivo
el lugar es viejo huele a humedo no tiene luz en emergencia siempre esta lleno de gente  no hay citas en el iess van a sentarse 5 horas a ver si les atienden no hay parqueo afuera hay un negro con un palopara cuidar q le pagues,"The problem is that with the government of Lenin Moreno and Guillermo Lasso there are no medicines, otherwise there is acceptable care",neutro
el problema es que con el gobierno de lenin moreno y guillermo lasso no hay medicinas de lo demás sí hay atención aceptable,In this medical center they can let you die. I have a video where an elderly lady arrived in a wheelchair complaining of pain and yet they made her wait for hours while all the others present felt sorry and indignant.,negativo
pésimo sevicio te descuentan mes a mes y jamas hay turnos para médicos especialistas y te hacen esperar 3 a 4 meses para un posible turno con algún especialista no hay empata para con los usuarios,"There is no emergency care, they say go to the laboratory and pharmacy and everything is there, they can take care of it in that way that negligence",neutro
no hay atención por emergencias dicen que vaya al laboratorio y farmacia y todo está  pueden atender de esa manera que negligencia,"10
Terrible care in the pediatric area, I arrived with my dehydrated baby and the doctor asking what she wanted me to do if she didn't see her as bad and super despotic.",negativo
uno acude a estos centro de atención del iess debido a que pagamos nuestros aportes mensualmente y por las emergencias medicas que se nos presentan para encontrarse con una pésima atención desde el ingreso con los guardias no pueden ni siquiera informar sobre nuevos procesos en el ingreso para llenar datos en un papelito,"Terrible service, they discount you month by month and there are never appointments for specialist doctors and they make you wait 3 to 4 months for a possible appointment with a specialist, there is no empathy for the users",negativo
"10
pésima atención en el área de pediatría llegue con mi bebe deshidratada y la dra preguntando que quería que hiciera si ella no la veía mal despota y super","One goes to these IESS care centers because we pay our contributions monthly and due to the medical emergencies that arise, only to find terrible attention from the moment of admission, with the guards not even being able to report on new processes at the time of admission to fill out data on a piece of paper",negativo
buena atención  rápida y ágil,"The good thing is that they have improved in providing information to the public. There are people who guide the user. The majority of doctors are punctual in their appointments.
The bad thing is the overcrowding in the laboratory to deliver the samples, people wait shoulder to shoulder with the samples and the turn in hand",positivo
"lo bueno es que han mejorado en dar información al público existen personas que orientan al usuario la mayoria de médicos son puntuales en sus citas
lo malo es el hacinamiento en laboratorio para entregar las muestras las personas esperamos hombro con hombro con las muestras y el turno en la mano","The treatment of some nurses remained despotic and alarmist in the previous century. On the contrary, many doctors carry out their work with greater balance, humanism and consideration, offering very broad coverage to members, although it is",positivo
bastante gente en sus instalaciones falta personal de atención a los afiliados cuando estuve ahí de los 6 cubículos solo atendían 2,"Quite a few people in their facilities, there is a lack of staff to attend to members. When I was there, of the 6 cubicles, only 2 were attended to.",negativo
el trato de algunas enfermeras se quedó en el siglo anterior déspota y alarmista por el contrario muchos médicos ejercen su trabajo con mayor equilibrio humanismo y ponderación ofrecen cobertura muy amplia a los afiliados aunque está,good fast and agile service,positivo
la atención es un poco lenta ya q antes de la cita se debe hacer una cola inmensa para poder pasar a ser atendido pero la atencion de los médicos si es super buena,"The attention is a little slow since before the appointment you have to wait in a huge line to be able to be seen, but the attention of the doctors is super good.",positivo
"si se pudiera poner 0 estrellas lo haría
hacen esperar horas para dar una pastilla de paracetamol es una pésima atención","of the worst health centers 5 hours to be treated for covid symptoms a day totally wasted due to the inefficiency of these people, the terrible service they do with our contributions",negativo
de los peores centros de salud 5 horas para poder ser atendido por síntomas de covid un día totalmente perdido por la ineficiencia de esta gente pésimo servicio que hacen con nuestros aportes,"The service is slow, it is very dysfunctional, one needs it urgently and they give you an appointment in just 2 months",negativo
una unidad médica terrible me respeta un médico general medicamentos fuertes sabiendo de mi estado de gestación y sin embargo con el malestar y síntomas que presentaba no consideraba necesario un reposo que poco profesionalismo terrible,"Of the best health centers, it is important to know that they do not have an imaging service, so if they have a fracture or signs of appendicitis, it is better to go to a hospital so you can evaluate them with an ultrasound or x-ray.",positivo
dra daniela salvador pésima atención lo único que le importa es cobrar un sueldo 0 atención al paciente gritona altiva,"There is no one, the staff are often rude",negativo
no existe una  el personal muchas veces son groceras,"There are no x-rays, if they are fractures, please go to another health center, thank you very much.",positivo
el servicio es lento es muy disfuncional uno necesita de urgencia y le dan cita por poco dentro de 2 meses,"Dr. Daniela Salvador, terrible attention, the only thing that matters to her is earning a salary, 0 attention to the patient, arrogant screamer.",negativo
de los mejores centros de salud es importante saber que no cuentan con servicio de imagen por lo que si tienen una fractura o signos de apendicitis es mejor ir a un hospital para que les puedas evaluar con ecografía o radiografía,clean place but seems worn out by use useful but old facilities have not been renovated health services are good normal care,positivo
no hay rayos x favor si son fracturas dirigirse a otro centro de salud muchas gracias,they never answer,neutro
lugar limpio pero parece desgastado por el uso instalaciones útiles pero antiguas no han sido renovadas servicios de salud estan bien atención normal,"If information is requested, they should at least listen, the directions are wrong, they waste time and to make matters worse, they do not respond during the established hours, it is at 0700 and then they say at 0900, it is terrible.",negativo
nunca contestan,"As in any public institution, you have to be very patient with the people who work at the counter and ask if something is unknown because they do not explain anything.",positivo
si se solicita información deben por lo menos escuchar dan mal las indicaciones hacen perder el tiempo y para colmo no atienden en los horarios establecidos es a las 0700 y luego dicen a las 0900 pésimo,"a terrible medical unit respects me, a general doctor takes strong medications, knowing about my state of pregnancy and yet with the discomfort and symptoms that I presented, he did not consider rest necessary, which was terribly unprofessional.",negativo
como en toda institución pública hay q tener mucha paciencia con la gente q trabaja en ventanilla y preguntar si algo se desconoce porque ellos no explican nada,"What bad service, more than what they charge and there are no medications and the appointments are given after two months of pleasure, it's time to contribute to these thieves",negativo
q mal servicio mas lo que cobran y no ay medicamentos y las citas dan despues de dos meses de px gusto toca aportar a estos rateros,"Hello, could you help me until what time do you receive the medical certificates to validate them, thank you",neutro
buenas me podrian ayudar hasta que hora resiben los certificados medicos para hacer validar gracias,disgust of attention,neutro
todos los hospitales  un laberinto tenemos que ir con mas tiempo y estaremos bien,The security guards behaved shockingly and almost threw my cell phone at me and then the nosy mayor girl,negativo
el personal que trabaja en derivaciones es una vergüenza es una total bulla mal educados  y en horas de trabajo,"The staff who work on referrals are a shame, they are a total noise, poorly educated and during working hours.",negativo
asco de atencion,"If I could give 0 stars I would
They make you wait hours to give a paracetamol pill, it's terrible care",negativo
los guardias de seguridad se portan chocantes y casi me tiran mi celular y luego la chica de intendencia de metiche,This center provides outpatient and emergency consultations.,negativo
este centro atiende consultas ambulatorias y emergencia,"Emergency care is late, they do not have an adequate patient care system, nor do they have dental services.",positivo
nunca pueden atender al  calidad,without words you already know what the process is like with the IESS,neutro
la atención en emergencias es tardía no tienen un sistema adecuado de atención al paciente tampoco tienen odontología servicios,All hospitals are a labyrinth. We have to go with more time and we will be fine.,positivo
sin palabras ya saben cómo es el proceso con el iess,very goodgood medical care,positivo
para una emergencia en mi condición de hipertenso no se demoraron mucho,very goodgood medical care,positivo
las citas se drben tomsr por teléfono sino no te atienden ni para orientar,appointments will be made by phone otherwise they won't even assist you to guide you,neutro
buen servicio y excelente atención médica y atención al paciente,Patient care is the entire public health system,neutro
muy buenabuena atencion medica,There is better service and more order in the facilities. The bad thing is street vendors inside the center.,positivo
la atención al paciente es  todo el sistema de salud publico,for an emergency in my hypertensive condition they did not take long,negativo
hay mejor atención y más orden en las instalaciones  lo malo vendedores ambulantes  dentro del centro,You have to go to the appointment in advance because beforehand you have to wait in a long line for information,negativo
hay que ir con anticipación a la cita porque previamente hay que hacer larga fila en información,"Please I require a fixed contact number for the Batán IESS dispensary, thank you",positivo
por favor requiero un número fijo de contacto del dispensario del batán iess gracias,It belongs to the terrible public health network. Making an appointment here is close to impossible.,negativo
pertenece a la pésima red de salud pública coger una cita aquí es cercano a lo imposible,They can never meet the quality,neutro
no contestan el teléfono cuando se,They don't answer the phone when,neutro
es un sitio  excelente  buena atención,"It is an excellent site, good service",positivo
dentro médico del iess no posee lugares propios para estacionamiento de los usuarios,Within the IESS medical facility it does not have its own parking spaces for users.,positivo
sentada y sentada  nunca me atendieron,"sitting and sitting, they never attended to me",neutro
la extensión de farmacia es 212970 marcar primero 3824880,"The pharmacy extension is 212970, dial 3824880 first.",positivo
difícil atención,difficult attention,negativo
hospital del iess buena atención pero podrían mejorar,IESS hospital good care but could improve,positivo
en el servicio de rehabilitación se atiende de  tiene que ser,"In the rehabilitation service, care is taken to have to be",neutro
nadie te da información de nadie me parece muy mal,"Nobody gives you information about anyone, it seems very bad to me.",negativo
si ha mejorado pero muy saturado,good attention,positivo
buena la atencion,Yes it has improved but very saturated,positivo
bastante ágil el servicio,very good,positivo
muy buena,very good,positivo
es excelente tiene buena atención,"It is excellent, it has good attention",positivo
muy bueno y exacto,punctual attention,neutro
atencion puntual,very good and accurate,positivo
depende del área y especialidades,excellent,positivo
exelente,terrible attention,negativo
pésima atención,great,positivo
esta frio,it is cold,negativo
buenisimo,peaceful place,positivo
excelente,excellent,positivo
lugar tranquilo,little medication,negativo
la gente es cordial,people are friendly,positivo
demasiada gente a la espera,too many people waiting,positivo
poca medicacion,It depends on the area and specialties,neutro
la atencion de primera,first class attention,positivo
da pena este lugar ni para nombrarse hospital mi abuelita la llevaron de emergencia y no la  debe de ser mi abuelita sigue enferma no le han recetado medicina ni le hacen exámenes de sangre para ver que tiene,OK,positivo
nuncaaaaacontestan,the attention was bad,negativo
de acuerdo,It's a shame this place doesn't even call itself a hospital. My grandmother was taken to the emergency room and it must not be. My grandmother is still sick. They have not prescribed medicine for her nor do they do blood tests to see what she has.,negativo
la atencion fue mala,"Terrible attention, the admission lady doesn't even say hello, apart from the gynecological check-ups, when someone is pregnant, she should be allowed to enter with her husband, he is also part of the pregnancy and encourages the bond with the baby.",negativo
pésima atención la señorita de admisión nisiquiera saludaaparte en los chequeos ginecologicos cuando una está embarazada debería dejar ingresar con el esposo el también forma parte del embarazo y fomenta el vínculo con el bebé,good attention,positivo
pésima atención el doctor que le atendió a mi mamá fisioterapeuta grosero déspota da la contra a las indicaciones del médico que la operó minimiza sus síntomas  si pudiera poner cero le pusiera,excellent attention,positivo
una buena atención,good attention,positivo
exelente atención,IESS dispensary always bring ID for care,neutro
muy buena la atención,they need to improve care,neutro
dispensario del iess traer siempre cédula para atención,extended waiting time,neutro
les falta mejorar la atención,good attention,positivo
buena atención,regular,neutro
prolongado el tiempo de espera,regular,neutro
hospital del día  excelente atención,"The worst place to get treatment, no one has respect for people, only one person to take vital signs, 4 hours of waiting for a 5-minute consultation with a mediocre doctor, the only ones who are friendly are the guards.",negativo
regular,"Many patients are not supplied in emergencies, they do not have seats for the patients and worse for their companions, as we are going to hinder their work.",positivo
el peor lugar para atenderse nadie tiene respeto por las personas 1 sola persona para toma de signos vitales 4 horas de espera para una consulta de 5 minutos con una doctora mediocre los únicos amables los señores guardias,"All the reviews written by this servant are born from first-hand experience. The attention in terms of emergencies is very satisfactory and soon, the more serious the illness or illness that afflicts one, the faster it will heal.",positivo
no se abastecen muchos enfermos en emergencia no tienen asientos para los pacientes y peor para los acompañantes  como que les vamos a obstaculizar su trabajo,They never answer,neutro
todas las reseñas escritas por este servidor nacen desde la experiencia vivida en carne propia la atención en cuanto a emergencias es muy satisfactoria y pronto entre más grave es la enfermedad o el mal que a un lo aqueja más rápido le,Very good service,positivo
pésimo servicioa mi tía la operaron dos veces la herida no le sana le dieron mal la cita médica 3 veces le daban la cita para los días que no está el doctor y en otra el doctor jamás agendó la cita  son un sinnúmero de cosas que dejan,"Terrible service, my aunt had surgery twice, the wound did not heal, they gave her a bad medical appointment, 3 times they gave her an appointment for the days when the doctor was not there, and on another occasion, the doctor never scheduled the appointment. There are countless things that leave",negativo
"la atención prestada buena no a la velocidad que uno necesita  en todo hay que esperar
tienen una carpa para la espera pero igual la gente no respeta o le falta un",The hospital is one that has an exclusive pedestrian crossing and ample parking spaces.,neutro
en serio no se que pensar a estás alturas no se si es ineptitud o desinterés por el o la paciente no se si sirva de algo las opiniones de aquí pero en serio que decepción que da los profesionales en especial de ginecología de emergencia que para colmo no sirven ni para atender,"One thing is that they are saturated with people, there are no medications or they have little staff, but the mediocre attitude of this staff is total madness. My mother had appendicitis and they treated her very badly, telling her to wait her turn.",negativo
una cosa es que estén saturados de gente no haya medicamentos o tengan poco personal pero la actitud mediocre de este personal es una total locura mi mamá tenía una apendicitis y le trataron muy mal diciendo que espere su turno se,The attention from a family member is very good but I give it 4 stars because it takes a century just to sew a very 5-point wound. We were there from 3 in the afternoon until almost 10 at night.,positivo
el hospital es un  que cuenta con paso peatonal exclusivo y amplios parqueaderos,"A complete barbarism, their attention, their professionalism leaves much to be desired, it is the institution that charges to provide a private service that falls far short of a public service.
all the service is inefficient",positivo
la atención por lo que  un familiar es que es muy buena pero le pongo 4 estrellas porque se demoran un siglo solo por coser una herida muy  de 5 puntos estuvimos desde las 3 de la tarde hasta las 10 casi de la noche ya,The service is fatal. It takes more than 5 hours to treat a patient. The worst of all is the staff does not have the patience to tell you where the corresponding areas are. The doctors walk past you and don't even notice.,negativo
"toda una barbarie su atención  el profesionalismo dejan mucho que desear  es la institución que cobra para brindar un servicio privado  que mas bien queda por muy debajo que de un servicio público
todos el servicio es ineficiente","Can you tell me about Dr. Liliana Rodríguez of Pediatric Cardiology, what is her treatment with children and patients? Please, this is the first time I have gone to that hospital.",positivo
el servicio es fatal se demoran más de 5 horas para atender a un paciente lo peor de todo es el personal no tiene la paciencia para indicarte donde quedan las áreas correspondientes los doctores pasan y pasan a lado de uno y ni siquiera se,"The care is quite good and fast, they operated on me soon when in another IESS hospital they informed me that there was a one-year waiting list. In addition, the rooms are clean and almost new, the medical and nursing staff are very",positivo
me pueden informar sobre la doctora liliana rodríguez de cardiología pediatrica que tal es el trató con los niños y pacientes porfavor es primera vez que voy a ese hospital,emergency first go to triage then admissions and from there to the doctor if they go with a request for a covid isopado from a doctor from a medical center in agreement with the IESS it is of no use they must do the entire emergency process so that the doctor,positivo
la atención es bastante buena y rápida me operaron pronto cuando en otro hospital del iess me informaron que había lista de espera de un año además las habitaciones son aseadas y están casi nuevas el personal medíco y de enfermería muy,"I seriously don't know what to think at this point. I don't know if it's incompetence or lack of interest in the patient. I don't know if the opinions here are of any use, but seriously, what a disappointment the professionals are, especially in emergency gynecology, who, to top it all off, are not even good enough to care for patients.",negativo
emergencia primero ir a triaje luego admisiones y de ahí al médico si van con pedido de isopado covid de un dr de centro médico de convenio con el iess no sirve de nada deben hacer todo el proceso de emergencia para que el doctor,"the attention given good not at the speed that one needs in everything you have to wait
They have a tent for waiting but still people do not respect or lack a",positivo
mi esposa tiene cáncer está con dolor de cabeza fuerte presión 172 y glucosa 144 estamos en emergencia ya 1 hora y no hay quien atienda sin las 7 y 2p,"My mother had a surgery scheduled for Monday, May 22 at the central IESS but the machine was damaged and she was referred to this hospital but here they tell her that there are no surgeries, which means that my mother wasted 35 years of her life contributing to the",negativo
"esta es la emergencia de este hospital 7 horasen espera
no te atienden te tratan mal
es mejor ir en estado etílico que te atienden más pronto
los derecho humanos son vulnerados",very good care in this time of pandemic they have helped many people I believe in the professionalism of the medical and nursing staff of the hospital at the moment there are medicines and although there is no outpatient consultation in emergencies good care,positivo
mi madre tenía una cirugía programada para el lunes 22 de mayo en el iess central pero se dañó lamaquina y le derivaron a este hospital pero aquí le dicen que no hay cirugías es decir que mi madre boto 35 años de su vida aportando al,"Care should be a priority from the beginning for the elderly, they should be given the turn in orange, they can wait a shorter period than the yellow one, which says 1 to 3 hours, they are no longer able to wait sitting for a long time.",positivo
muy buena atención en esta época de pandemia han ayudado a mucha gente creo en el profesionalismo del personal médico y enfermería del hospital al momento si hay medicinas y aunque no hay consulta externa en emergencia buena atención,"good service, the parking lot is very far from the main entrance with a person in a wheelchair, if it rains you get soaked, it is better in this case to go by taxi",positivo
la atención debe ser desde un principio prioridad para la tercera edad deben darle el turno en color naranja que pueden esperar un laso más corto que el de color amarillo que dice de 1 a 3 horas ya no están para esperar sentados mucho,very bad first the nurses have a dog character neither delicate nor respectful they are that they should change not having people like that why does it feel heavy and negative they lack an oratory of humanitarian care for the sick and,negativo
buena atención el estacionamiento esta muy lejos de la entrada principal con una persona en silla de ruedas si llueve te empapas es mejor en este caso ir en taxi,"The waiting time in the emergency is 4 to 5 hours without exaggeration and hoping that it will be helpful for someone who plans their admission, one or two doctors attend to the entire emergency while there are 3 people to only take signs, I consider",neutro
es uno de los hospitales más modernos de quito con equipamiento  con otros hospitales del país tuve la oportunidad de conocerlo hace poco estuve en el área de pediatria en hospitalizacion y las paredes están decoradas,"Good, the service of nurses is very bad in tower 3, floor 4, because my mom has been hospitalized there since Sunday, they changed her to that floor and tower and they do not give her the necessary attention since on the day of the change, my mom started using diaper and they left her wet for several hours and no one moved to do their job",negativo
malísimo primero las enfermeras tienen un carácter de perro ni delicadas ni respetuosas son eso deberían cambiar no tener gente así por qué se siente hasta pesado y negativo le falta una oratoria de atención humanitaria de enfermos y,"My wife has cancer and has a severe headache, blood pressure is 172 and glucose is 144. We have been in the emergency room for an hour and there is no one to attend to the patient without 7:2 p.m.",neutro
el tiempo de espera en emergencia es de 4 a 5 horas sin exagerar y esperando que sea de ayuda para alguien que planea su ingreso uno o dos médicos atienden toda la emergencia mientras que hay 3 personas para solo tomar signos considero,"This is the emergency room at this hospital. 7 hours waiting
They don't attend to you, they treat you badly
It's better to go drunk so they can attend to you sooner
Human rights are violated",neutro
buenas el servicio de enfermeros y enfermeras muy mal en la torre 3 piso 4 por que mi mami esta internada ahí desde el domingo le cambiaron a ese piso y torre y no le dan la atención necesaria ya que el día del cambio mi mami empezó a utilizar pañal y la dejaron mojada por varias horas y nadie se movió hacer su trabajo,"To citizens, the telephone number used to call the IESS Quito Sur hospital is 02 3983200",neutro
a la ciudadanía el teléfono que sirve para llamar al hospital iess quito sur es   02 3983200,"the infrastructure well, it is outrageous to see that the majority of health professionals do not have a vocation for human quality, starting with the rude emergency specialists, they do not have a place to perform a procedure, they have to",negativo
instalaciones modernas no hay atención personalizada trámites engorrosos sin control de calidad del servicio médico y tratantes,"an orderly hospital and incredible care, new machines and excellent professionals who make you feel safe are always pending at all times.",positivo
la infraestructura bien es indignate  ver que la mayoría de los profecionales de la salud no tienen vocación cálidad humana empezando con los emergenciologos groseros  no tienen un lugar para realizar un procedimiento tengan que,It is one of the most modern hospitals in Quito with equipment similar to other hospitals in the country. I had the opportunity to visit it recently. I was in the pediatric hospitalization area and the walls are decorated.,positivo
un hospital  ordenado y atención increíble siempre están pendientes en todo momentos máquinas nuevas y excelentes profesionales que te hacen sentir seguro,"very poor medical care in the specialty of urology they change my date for the 3rd time, this time they reassign me to
date 20231003",negativo
pésimo para tomar un turno con un especialista  se paga mensualmente por el servicio y no son capaces de tener más doctores  pésima atención,"The new hospital is more or less a year old, new equipment, fast and friendly attention, I could say that it is one of the best IESS hospitals in Quito and with many specialties.",positivo
"muy mala atención médica en especialidad de urología me cambian de fecha por 3ra ocasión en esta ocasión me reasignan para
fecha	20231003","The pediatric emergency room has nurses who are in a bad mood if they are asked the dosage of the medication, the times that should be administered to the patients or even if they go over the hour and are reminded to",negativo
hospital nuevo tiene más o menos un año equipos nuevos atención rápida y amable podría decir que es de los mejores hospitales del iess en quito y con muchas especialidades,"The hospital is very modern but the hospital care is not well managed. Today, December 4, we have been mistreated by Dr. Leon, who cares in tower 1, floor 4, for a family member with pneumonia who is in critical condition and",positivo
el hospital muy moderno pero la atención hospitalaria no está bien administradahoy día 4 de diciembre hemos sido maltratadas por la doctora león que atiende en la torre 1piso 4 a un familiar con neumonía que está con estado crítico y,"Terrible attention, deplorable service because the majority of those who work there are useless, they have pretensions of greatness when they do not even have the capacity for customer service. The owners of the hospital have a terrible health system, earning a salary for free, rubbish from people who play with the health of others",negativo
la sala de emergencia pediatríca tienen enfermeras y enfermeros que estan de mal humor si se les pregunta la dosis del medicamento los horarios que se deben administrar a los pacientes o incluso si se pasan de la hora y se les recuerda a,The facilities are still in good condition. It is spacious and clean. The parking lots are spacious. It has a pedestrian crossing with an elevator from the parking spaces. The attention of the staff is intermittent. There are friendly staff and others who do not care about the time of the visitors.,positivo
pésima atención un servicio deplorable porque la mayoría de los que trabajan ahí no sirven para nada tienen ínfulas de grandeza cuando no tienen ni capacidad de servicio al cliente hech las dueñas del hospital pésimo sistema de salud ganando sueldo de gratis porquería de personas que juegan con la salud de los demás,"terrible care from some nurses, they should control more the care of patients when they are hospitalized",negativo
las instalaciones siguen en buenas condiciones es amplio y cuidan la limpieza los estacionamientos son amplios tiene un paso peatonal con ascensor desde los parqueaderos la atención del personal es intermitente hay personal amable y otros que no les importa el tiempo de los visitantes,"If something happens with the shifts, have the decency to write by message or email
It is not a free service, people pay every month",negativo
pésima atención de algunas  enfermeras deberían controlar más la atención a los pacientes cuando se encuentran internados,"Modern facilities, no personalized attention, cumbersome procedures, no quality control of medical service and treating physicians",positivo
"si pasa algo con los turnos tengan la decencia de escribir por mensaje o por correo electrónico
no es un servicio gratiuito las personas pagan todos los meses","Terrible for making an appointment with a specialist, you pay monthly for the service and they are not able to have more doctors, terrible care",negativo
estuve 2 horas solo para hacer una curación  algo mal me párese,"There is no total disorder, the doctors promise surgeries in an hour and then they don't deliver, no one is right, they have you days and days after days and in addition to the room they are waiting for materials for the operations that they don't",positivo
no  existe desorden total los doctores prometen cirugias en una hora y luego no cumplen nadien te da razon te tienen dias y tras dias  y ademas  de la sala esperan materiales para las operaciones que no,and why do they put a number that doesn't even ring?,neutro
en este momento en el piso se encuentran con aire acondicionado prendido cuando la temperatura es tan baja que se están congelando  no apagan los aires se ha pedido a enfermería  que informe a mantenimiento que los apaguen porque es,and why do they put a number that doesn't even ring?,neutro
y para que ponen un numero que ni timbra,"Clean hospital, very well equipped in the different areas, most of the staff is friendly, it has parking located in front across the pedestrian bridge, in short, taxes well spent",positivo
excelente hospital con un amplio parqueadero queda al frente de la parada calzado del trole tiene acceso para personas con sillas de ruedas la atencion es muy buena,the people on the night shift very good job the people on the day shift rubbish three different diagnoses in 8 hours none of them take the trouble to read the medical history they don't care about leaving the patients and,positivo
hospital limpiomuy bien equipado en las distintas áreas la mayoría del personal es amable cuenta con parqueadero ubicado al frente cruzando el puente peatonal en definitiva impuestos bien invertidos,Terrible attention from a young lady who is in the therapy area. Today I approached to deliver documentation for speech therapy and she responded that they don't help me there with the shift so I should go to the IESS in Chimbacalle when,negativo
la gente del turno de la noche muy buen trabajo la gente del turno diurno una basura tres diagnósticos distintos en 8 horas ninguno se toma la molestia de leer la historia clínica no les preocupa dejarles a los pacientes  y,"Excellent hospital with ample parking, it is in front of the trolley footwear stop, it has access for people with wheelchairs, the attention is very good",positivo
pésima atención por parte de una señorita que está en el área de terapias hoy me acerque a entregar documentación para terapia del lenguaje y lo que me respondió que ahí no me ayudan con el turno que me vaya al iess de chimbacalle cuando,"Terrible personal attention, poorly educated, rude and arrogant, nurses do not do any work for the patients since they enter, they last for hours and hours and the patient leaves as is, admitted injured, injured
010 the public service is terrible, the money we contribute is in vain",negativo
