wiI7pd,etiquetas_TB
negligencia total acudí a emergencias llevo un mes trabajando bajo dependencia y aún si no me atendieron en emergencias presento muchos síntomas que espero no sean abrasivos ni letales cuento con una mujer embarazada a mi lado mi,positivo
el lugar es viejo huele a humedo no tiene luz en emergencia siempre esta lleno de gente  no hay citas en el iess van a sentarse 5 horas a ver si les atienden no hay parqueo afuera hay un negro con un palopara cuidar q le pagues,negativo
el problema es que con el gobierno de lenin moreno y guillermo lasso no hay medicinas de lo demás sí hay atención aceptable,neutro
pésimo sevicio te descuentan mes a mes y jamas hay turnos para médicos especialistas y te hacen esperar 3 a 4 meses para un posible turno con algún especialista no hay empata para con los usuarios,positivo
no hay atención por emergencias dicen que vaya al laboratorio y farmacia y todo está  pueden atender de esa manera que negligencia,neutro
uno acude a estos centro de atención del iess debido a que pagamos nuestros aportes mensualmente y por las emergencias medicas que se nos presentan para encontrarse con una pésima atención desde el ingreso con los guardias no pueden ni siquiera informar sobre nuevos procesos en el ingreso para llenar datos en un papelito,neutro
"10
pésima atención en el área de pediatría llegue con mi bebe deshidratada y la dra preguntando que quería que hiciera si ella no la veía mal despota y super",positivo
buena atención  rápida y ágil,negativo
"lo bueno es que han mejorado en dar información al público existen personas que orientan al usuario la mayoria de médicos son puntuales en sus citas
lo malo es el hacinamiento en laboratorio para entregar las muestras las personas esperamos hombro con hombro con las muestras y el turno en la mano",negativo
bastante gente en sus instalaciones falta personal de atención a los afiliados cuando estuve ahí de los 6 cubículos solo atendían 2,positivo
el trato de algunas enfermeras se quedó en el siglo anterior déspota y alarmista por el contrario muchos médicos ejercen su trabajo con mayor equilibrio humanismo y ponderación ofrecen cobertura muy amplia a los afiliados aunque está,negativo
la atención es un poco lenta ya q antes de la cita se debe hacer una cola inmensa para poder pasar a ser atendido pero la atencion de los médicos si es super buena,negativo
"si se pudiera poner 0 estrellas lo haría
hacen esperar horas para dar una pastilla de paracetamol es una pésima atención",negativo
de los peores centros de salud 5 horas para poder ser atendido por síntomas de covid un día totalmente perdido por la ineficiencia de esta gente pésimo servicio que hacen con nuestros aportes,negativo
una unidad médica terrible me respeta un médico general medicamentos fuertes sabiendo de mi estado de gestación y sin embargo con el malestar y síntomas que presentaba no consideraba necesario un reposo que poco profesionalismo terrible,positivo
dra daniela salvador pésima atención lo único que le importa es cobrar un sueldo 0 atención al paciente gritona altiva,negativo
no existe una  el personal muchas veces son groceras,negativo
el servicio es lento es muy disfuncional uno necesita de urgencia y le dan cita por poco dentro de 2 meses,negativo
de los mejores centros de salud es importante saber que no cuentan con servicio de imagen por lo que si tienen una fractura o signos de apendicitis es mejor ir a un hospital para que les puedas evaluar con ecografía o radiografía,positivo
no hay rayos x favor si son fracturas dirigirse a otro centro de salud muchas gracias,positivo
lugar limpio pero parece desgastado por el uso instalaciones útiles pero antiguas no han sido renovadas servicios de salud estan bien atención normal,positivo
nunca contestan,neutro
si se solicita información deben por lo menos escuchar dan mal las indicaciones hacen perder el tiempo y para colmo no atienden en los horarios establecidos es a las 0700 y luego dicen a las 0900 pésimo,positivo
como en toda institución pública hay q tener mucha paciencia con la gente q trabaja en ventanilla y preguntar si algo se desconoce porque ellos no explican nada,negativo
q mal servicio mas lo que cobran y no ay medicamentos y las citas dan despues de dos meses de px gusto toca aportar a estos rateros,positivo
buenas me podrian ayudar hasta que hora resiben los certificados medicos para hacer validar gracias,neutro
todos los hospitales  un laberinto tenemos que ir con mas tiempo y estaremos bien,negativo
el personal que trabaja en derivaciones es una vergüenza es una total bulla mal educados  y en horas de trabajo,neutro
asco de atencion,negativo
los guardias de seguridad se portan chocantes y casi me tiran mi celular y luego la chica de intendencia de metiche,negativo
este centro atiende consultas ambulatorias y emergencia,neutro
nunca pueden atender al  calidad,positivo
la atención en emergencias es tardía no tienen un sistema adecuado de atención al paciente tampoco tienen odontología servicios,neutro
sin palabras ya saben cómo es el proceso con el iess,negativo
para una emergencia en mi condición de hipertenso no se demoraron mucho,negativo
las citas se drben tomsr por teléfono sino no te atienden ni para orientar,positivo
buen servicio y excelente atención médica y atención al paciente,neutro
muy buenabuena atencion medica,positivo
la atención al paciente es  todo el sistema de salud publico,neutro
hay mejor atención y más orden en las instalaciones  lo malo vendedores ambulantes  dentro del centro,positivo
hay que ir con anticipación a la cita porque previamente hay que hacer larga fila en información,negativo
por favor requiero un número fijo de contacto del dispensario del batán iess gracias,neutro
pertenece a la pésima red de salud pública coger una cita aquí es cercano a lo imposible,positivo
no contestan el teléfono cuando se,negativo
es un sitio  excelente  buena atención,positivo
dentro médico del iess no posee lugares propios para estacionamiento de los usuarios,positivo
sentada y sentada  nunca me atendieron,positivo
la extensión de farmacia es 212970 marcar primero 3824880,neutro
difícil atención,negativo
hospital del iess buena atención pero podrían mejorar,neutro
en el servicio de rehabilitación se atiende de  tiene que ser,positivo
nadie te da información de nadie me parece muy mal,positivo
si ha mejorado pero muy saturado,positivo
buena la atencion,positivo
bastante ágil el servicio,positivo
muy buena,positivo
es excelente tiene buena atención,positivo
muy bueno y exacto,negativo
atencion puntual,neutro
depende del área y especialidades,positivo
exelente,neutro
pésima atención,negativo
esta frio,negativo
buenisimo,positivo
excelente,positivo
lugar tranquilo,positivo
la gente es cordial,positivo
demasiada gente a la espera,positivo
poca medicacion,negativo
la atencion de primera,negativo
da pena este lugar ni para nombrarse hospital mi abuelita la llevaron de emergencia y no la  debe de ser mi abuelita sigue enferma no le han recetado medicina ni le hacen exámenes de sangre para ver que tiene,positivo
nuncaaaaacontestan,negativo
de acuerdo,neutro
la atencion fue mala,positivo
pésima atención la señorita de admisión nisiquiera saludaaparte en los chequeos ginecologicos cuando una está embarazada debería dejar ingresar con el esposo el también forma parte del embarazo y fomenta el vínculo con el bebé,negativo
pésima atención el doctor que le atendió a mi mamá fisioterapeuta grosero déspota da la contra a las indicaciones del médico que la operó minimiza sus síntomas  si pudiera poner cero le pusiera,negativo
una buena atención,positivo
exelente atención,positivo
muy buena la atención,positivo
dispensario del iess traer siempre cédula para atención,positivo
les falta mejorar la atención,neutro
buena atención,neutro
prolongado el tiempo de espera,positivo
hospital del día  excelente atención,positivo
regular,neutro
el peor lugar para atenderse nadie tiene respeto por las personas 1 sola persona para toma de signos vitales 4 horas de espera para una consulta de 5 minutos con una doctora mediocre los únicos amables los señores guardias,negativo
no se abastecen muchos enfermos en emergencia no tienen asientos para los pacientes y peor para los acompañantes  como que les vamos a obstaculizar su trabajo,positivo
todas las reseñas escritas por este servidor nacen desde la experiencia vivida en carne propia la atención en cuanto a emergencias es muy satisfactoria y pronto entre más grave es la enfermedad o el mal que a un lo aqueja más rápido le,positivo
pésimo servicioa mi tía la operaron dos veces la herida no le sana le dieron mal la cita médica 3 veces le daban la cita para los días que no está el doctor y en otra el doctor jamás agendó la cita  son un sinnúmero de cosas que dejan,negativo
"la atención prestada buena no a la velocidad que uno necesita  en todo hay que esperar
tienen una carpa para la espera pero igual la gente no respeta o le falta un",positivo
en serio no se que pensar a estás alturas no se si es ineptitud o desinterés por el o la paciente no se si sirva de algo las opiniones de aquí pero en serio que decepción que da los profesionales en especial de ginecología de emergencia que para colmo no sirven ni para atender,negativo
una cosa es que estén saturados de gente no haya medicamentos o tengan poco personal pero la actitud mediocre de este personal es una total locura mi mamá tenía una apendicitis y le trataron muy mal diciendo que espere su turno se,negativo
el hospital es un  que cuenta con paso peatonal exclusivo y amplios parqueaderos,neutro
la atención por lo que  un familiar es que es muy buena pero le pongo 4 estrellas porque se demoran un siglo solo por coser una herida muy  de 5 puntos estuvimos desde las 3 de la tarde hasta las 10 casi de la noche ya,positivo
"toda una barbarie su atención  el profesionalismo dejan mucho que desear  es la institución que cobra para brindar un servicio privado  que mas bien queda por muy debajo que de un servicio público
todos el servicio es ineficiente",positivo
el servicio es fatal se demoran más de 5 horas para atender a un paciente lo peor de todo es el personal no tiene la paciencia para indicarte donde quedan las áreas correspondientes los doctores pasan y pasan a lado de uno y ni siquiera se,positivo
me pueden informar sobre la doctora liliana rodríguez de cardiología pediatrica que tal es el trató con los niños y pacientes porfavor es primera vez que voy a ese hospital,positivo
la atención es bastante buena y rápida me operaron pronto cuando en otro hospital del iess me informaron que había lista de espera de un año además las habitaciones son aseadas y están casi nuevas el personal medíco y de enfermería muy,positivo
emergencia primero ir a triaje luego admisiones y de ahí al médico si van con pedido de isopado covid de un dr de centro médico de convenio con el iess no sirve de nada deben hacer todo el proceso de emergencia para que el doctor,neutro
mi esposa tiene cáncer está con dolor de cabeza fuerte presión 172 y glucosa 144 estamos en emergencia ya 1 hora y no hay quien atienda sin las 7 y 2p,negativo
"esta es la emergencia de este hospital 7 horasen espera
no te atienden te tratan mal
es mejor ir en estado etílico que te atienden más pronto
los derecho humanos son vulnerados",negativo
mi madre tenía una cirugía programada para el lunes 22 de mayo en el iess central pero se dañó lamaquina y le derivaron a este hospital pero aquí le dicen que no hay cirugías es decir que mi madre boto 35 años de su vida aportando al,positivo
muy buena atención en esta época de pandemia han ayudado a mucha gente creo en el profesionalismo del personal médico y enfermería del hospital al momento si hay medicinas y aunque no hay consulta externa en emergencia buena atención,positivo
la atención debe ser desde un principio prioridad para la tercera edad deben darle el turno en color naranja que pueden esperar un laso más corto que el de color amarillo que dice de 1 a 3 horas ya no están para esperar sentados mucho,positivo
buena atención el estacionamiento esta muy lejos de la entrada principal con una persona en silla de ruedas si llueve te empapas es mejor en este caso ir en taxi,negativo
es uno de los hospitales más modernos de quito con equipamiento  con otros hospitales del país tuve la oportunidad de conocerlo hace poco estuve en el área de pediatria en hospitalizacion y las paredes están decoradas,neutro
malísimo primero las enfermeras tienen un carácter de perro ni delicadas ni respetuosas son eso deberían cambiar no tener gente así por qué se siente hasta pesado y negativo le falta una oratoria de atención humanitaria de enfermos y,negativo
el tiempo de espera en emergencia es de 4 a 5 horas sin exagerar y esperando que sea de ayuda para alguien que planea su ingreso uno o dos médicos atienden toda la emergencia mientras que hay 3 personas para solo tomar signos considero,positivo
buenas el servicio de enfermeros y enfermeras muy mal en la torre 3 piso 4 por que mi mami esta internada ahí desde el domingo le cambiaron a ese piso y torre y no le dan la atención necesaria ya que el día del cambio mi mami empezó a utilizar pañal y la dejaron mojada por varias horas y nadie se movió hacer su trabajo,neutro
a la ciudadanía el teléfono que sirve para llamar al hospital iess quito sur es   02 3983200,positivo
instalaciones modernas no hay atención personalizada trámites engorrosos sin control de calidad del servicio médico y tratantes,negativo
la infraestructura bien es indignate  ver que la mayoría de los profecionales de la salud no tienen vocación cálidad humana empezando con los emergenciologos groseros  no tienen un lugar para realizar un procedimiento tengan que,positivo
un hospital  ordenado y atención increíble siempre están pendientes en todo momentos máquinas nuevas y excelentes profesionales que te hacen sentir seguro,negativo
pésimo para tomar un turno con un especialista  se paga mensualmente por el servicio y no son capaces de tener más doctores  pésima atención,positivo
"muy mala atención médica en especialidad de urología me cambian de fecha por 3ra ocasión en esta ocasión me reasignan para
fecha	20231003",positivo
hospital nuevo tiene más o menos un año equipos nuevos atención rápida y amable podría decir que es de los mejores hospitales del iess en quito y con muchas especialidades,positivo
el hospital muy moderno pero la atención hospitalaria no está bien administradahoy día 4 de diciembre hemos sido maltratadas por la doctora león que atiende en la torre 1piso 4 a un familiar con neumonía que está con estado crítico y,negativo
la sala de emergencia pediatríca tienen enfermeras y enfermeros que estan de mal humor si se les pregunta la dosis del medicamento los horarios que se deben administrar a los pacientes o incluso si se pasan de la hora y se les recuerda a,negativo
pésima atención un servicio deplorable porque la mayoría de los que trabajan ahí no sirven para nada tienen ínfulas de grandeza cuando no tienen ni capacidad de servicio al cliente hech las dueñas del hospital pésimo sistema de salud ganando sueldo de gratis porquería de personas que juegan con la salud de los demás,negativo
las instalaciones siguen en buenas condiciones es amplio y cuidan la limpieza los estacionamientos son amplios tiene un paso peatonal con ascensor desde los parqueaderos la atención del personal es intermitente hay personal amable y otros que no les importa el tiempo de los visitantes,negativo
pésima atención de algunas  enfermeras deberían controlar más la atención a los pacientes cuando se encuentran internados,negativo
"si pasa algo con los turnos tengan la decencia de escribir por mensaje o por correo electrónico
no es un servicio gratiuito las personas pagan todos los meses",positivo
estuve 2 horas solo para hacer una curación  algo mal me párese,positivo
no  existe desorden total los doctores prometen cirugias en una hora y luego no cumplen nadien te da razon te tienen dias y tras dias  y ademas  de la sala esperan materiales para las operaciones que no,negativo
en este momento en el piso se encuentran con aire acondicionado prendido cuando la temperatura es tan baja que se están congelando  no apagan los aires se ha pedido a enfermería  que informe a mantenimiento que los apaguen porque es,neutro
y para que ponen un numero que ni timbra,neutro
excelente hospital con un amplio parqueadero queda al frente de la parada calzado del trole tiene acceso para personas con sillas de ruedas la atencion es muy buena,positivo
hospital limpiomuy bien equipado en las distintas áreas la mayoría del personal es amable cuenta con parqueadero ubicado al frente cruzando el puente peatonal en definitiva impuestos bien invertidos,positivo
la gente del turno de la noche muy buen trabajo la gente del turno diurno una basura tres diagnósticos distintos en 8 horas ninguno se toma la molestia de leer la historia clínica no les preocupa dejarles a los pacientes  y,negativo
pésima atención por parte de una señorita que está en el área de terapias hoy me acerque a entregar documentación para terapia del lenguaje y lo que me respondió que ahí no me ayudan con el turno que me vaya al iess de chimbacalle cuando,neutro
hace 6 meses mi hija  se corto los deditos con unas latas por lo que tuvieron que suturarla varios puntos pero por seguridad también tenían que ponerle una inyección contra el tétanos muy lamentable la atención de las enfermeras que,negativo
"un hospital muy moderno con una infraestructura de alta tecnología
son 5 torres con ascensor salas de espera
médicos enfermeras camilleros personal de logística y administrativos son muy",negativo
"pésima atención personal mal educado grosero y prepotente enfermeras no hacen ningún trabajo por los pacientes desde q ingresan duran horas y horas y el paciente sale tal cual ingreso  herido lastimado
010 pésimo el servicio público el dinero q aportamos es en vano",negativo
un lugar definitivamente malo  jamás tienen médicos y peor medicina se les paga puntual para una atención de excelencia  y si atención no llega ni mala por qué es un asco si necesitan ser atendido vallan a otro lugar aquí les,positivo
a mi me han atendido bien tanto el personal  en farmacia al gobierno hay que exigir qué pague la deuda y que se revise la atención a familiares y seguro campesino,positivo
lastimosamente tengo  que a pesar de poseer todos los equipos requeridos a mi esposo no pudieron detectarle una apendicitis y le dieron el alta medica mandandole a tomar solo suero oral a penas salio del hospital el dolor,negativo
en emergencias mamá duro 3 días sabían q mi madre tenía cáncer desde que llegó y en  vez de derivar  a un hospital con oncólogo me dieron entrada aquí si un oncólogo lee esto y es del seguro sepan que diagnosticar cáncer con lugar y biopsia,negativo
no contestan el numero convencional del hospital pesimo servicio,negativo
gracias a dios hoy salió mi cuñado de ese pesimo lugar del cuarto piso de geriatría las enfermeras con falta de humanidad educación es un piso donde están adultos mayores quienes merecen mucha consideración y sobre todo paciencia,positivo
no tienen insumos médicos no hay camillas ni ambulancias le sacaron en brazos a mi abuelita de emergencias por años pago el seguro para que ahora brinden una atención mediocre,positivo
el hospital estatal más grande del país con infraestructura y profesionales de primer nivel atiende a todos los afiliados del sistema público de seguro social,negativo
"cuenta con una infraestructura grande y moderna pero la atención es pésima el personal parece no estar bien capacitado y hay 
es una pena porque da una mala imagen de la salud pública hay centros médicos y hospitales del iess que si dan una buena atención",negativo
es un hospital con infraestructura impresionante que dejó establecida rafael correa la amabilidad de los doctores enfermeras y de servicios es excelente una lástima que el personal de aseo y limpieza estén impagos 3 mesesojalá alguien lo solucione,positivo
gran espacio de sala de espera,positivo
el hospital en si tiene deficiencias pero si cuenta con médicos excelentes agendar cita es terrible porque los turnos te dan cuando y no tienes dolencia pero vale la pena los profesionales que tiene,positivo
"el servicio de emergencia es malo los doctores piensan que uno les quiere engañar o estafar el trato malo y despectivo
sin embargo al ingresar al hospital la atención es excelente mejor que",positivo
hoy visité el hospital iess excelente atención con profesionales de gran nivel muy satisfecho con el servicio afíliate y contribuye al crecimiento de la seguridad social en el ecuador,positivo
esperando mas de 1 mes para 1 cita medica con el especialista que vergüenza con el dinero que se aporta podría haber pagado a parte buen especialista,positivo
si te atienden pero lo que hay en existencia te dan y lo que no tienen  de tu bolsillo que más toca gobernados por un bachiller,neutro
dice ser de los mejores hospitales por su infraestructura y atienden las emergencias en una carpa en el parqueadero que clase de atención es esa y en lluvias hasta la luz se va,negativo
fui con una fuerte migraña y vómito me tuvieron esperando más de una hora en sala de espera supongo que esperaban que mis síntomas se agravaran para atenderme posterior tuve que salir y hacerme atender en un centro particular son lo peorsito que hay,positivo
nose para que publican un pto numero de telefono si los van a tener apagados,negativo
a nombre de mi hijo mateo santamaría quién fue operado de apendicitis en éste hospital debo agradecer por el profesionalismo y el buen trato de que fue objeto en los días que permaneció en ese lugar,positivo
"pésimo servicio
en emergencia se demoraron 5 horas en atendernos todos se pasan la culpa informaciones borradas doctores al apuro  negligencia nadie sabe",negativo
buen trato al paciente  y a los familiares mi hermana estuvo bien atendida   creo que debería mejorar el flujo de información sobre las condiciones de los pacientes,positivo
no me gusto ami bebe de 5 meses la lleve el viernes porque esta con mucha fiebre  y ayer sabado también la lleve porque seguia con fiebre  y con malestar  y me dicen que es algo normal y solo le mandaron paracetamol nada mas y sige mal,positivo
primeramente buens dt n en el area de traumatologuia un medico no dire el nombre me iva a operar y no conocio el riesgo luego me entero q si me operaba me dejaba sin movilidad y otro mas bueno me mando terapia ni eso me mandon son,positivo
gracias  al trabajo tesonero de rafel correa el ecuador tiene lindos hospitales escuelas del miliños centros médicos  pero ahora con lasso no hay medicinas,positivo
la mayor parte de enfermeras enfermeros licenciados en enfermería médicos no tienen ética profesional dan un pésimo servicio médico no les importa la vida de los pacientes hay muy pocos médicos y personal que hacen bien su función en el hospital es muy triste la situación que se vive en ese hospital,positivo
hoy 01072019 visité por primera vez este hospital  la infraestructura es impactante muy moderno lastimósamente en derivaciones un personal de presencia buena pero que trata mal a los afiliados por otra parte me enviaron a otra,negativo
mi  es que pregunten a cada rato por su familiar porque no te dicen nada mejor si puedes ni salgas de sala de espera y otra  la vr los guardias de ahí desconsiderados en la horas de la noche en todas horas pero ya ni modo toca aguantar por que es público,positivo
en este momento el apuntador está mal colocado pues está ubicado en las calles moraspungo y pinllopata junto al parque lineal del río machángara construido en un  área de 21860 m2,neutro
una hora disque cambio de turno y no asoma nadie éramos cuatro para atendernos y ya somos casi 30 ni un responsable ni una palabra,neutro
buena atención cuando se está agendado para agendar si es un problema porque todo está copado por la demanda que hay de atención,positivo
yo he asistido con estudiantes del colegio donde trabajo son hijos de afiliadosentran inmediatamente y toman signos vitales se espera un tiempo prudencial para que les atiendan y les hagan los procedimientosen mi opinion laatencion es muy buena,positivo
moderno hospital  en el sur de quito que ayuda a descongestionar la atención clinica de los afiliados del iess lo negativo es que falta personal de enfermeria y medicos especialistas pero la infraestructura es de primera,negativo
pésima atención mi suegro ingreso el martes por covid y hasta el día de hoy no sabems nada nadie da información y mi suegro no tiene teléfono todos estamos muy preocupados alguien me puede decir algún número para averiguar reclamar o saber algo de mi suegro gracias este pésimo servicio debe ser denunciado,positivo
pésimo 7 horas para ser atendidos 1 solo medico,positivo
excelente servicio todo el personal da una buena atención principalmente los médicos,negativo
como puede ser posible que estando con la mano fracturada le envíen a casa y no hagan el tramite para transferencia de inmediato muy mala atención,neutro
"el número que está en la página de google jamás contestan se llama y se cierra automáticamente
la espera es demasiada hasta para la emergencia",positivo
eficiente,positivo
es un verdadero hospital de varias especialidades médicas y atienden muy bien,positivo
excelente atención bendiciones,negativo
excelente hospital buen servicio personal capacitado,positivo
ten8a cita sacada hace 45 días y c7ando llegue me informaron que reagendaron las citas y la mía fue hace 20 días nunca fui informado las instalaciones son de primera,neutro
el servicio y trato al pacientejuegan con el dinero y sobre todo la vidavida  puede ser posible que una paciente entre por emergencia grave y no den una razón  se encuentra ya 5 horas,negativo
excelente atención   tienen consideración con el usuario  infraestructura de primera es la primera cita   cero quejas del usuario,positivo
la verdad es que siempre  de parte de las y los señores de enfermería y auxiliares aunque hay suficiente personal,negativo
atención pediátrica en emergencia excelente muy amables y eficientes los doctores en general el personal,positivo
pesima atención x los medicos de oftalmologia uno se va x emergencia y te atienden cuando a ellos les da la gana,negativo
muy buena atención en el ámbito clínico pos operatorio y covid tanto de enfermeras y doctores,positivo
la atención es excelente lo único malo que no hay la mayoría de medicamentos,positivo
hospital muy acogedor con una buena infraestructura,positivo
no hay donde parquear los autos por el momento no activan el uso de los parqueaderos ni para emergencias,neutro
no tuve problema ya tengo la cita médica para el miércoles 27,positivo
un enorme hospital excelente infraestructura pero aún tiene que mejorar la atención al público,neutro
amplias instalaciones aseado la atención del personal es buena son amables cuenta con múltiples estacionamientos,positivo
estoy   aquí desde  las 11 de la noche  son la 1 y 10 del madrugada  y no me atiende  nadie  no se para que pago  si no te atiende  nadie,positivo
es uno de los mejores hospitales públicos de la capital sin embargo seria ideal que se agregan nuevas especialidades,neutro
uno de los hospitales más modernos de la seguridad social excelente personal e infraestructura,positivo
bastante moderno pero hay algunos servicios que no se  endoscopias,positivo
por favor pongan el nombre de las calles y avenidas es tan dificil poner esa información,positivo
limpioordenado rápida atención un lujo de hospital,negativo
cuál es el motivo de no atender una emergencia oportunamente,neutro
gran infraestructura excelentes instrumentos falta aún mejorar la atención por ser nuevo,positivo
gracias por la oportuna atención a mi padre durante la emergencia sanitaria por covid19,negativo
mala atencion y servicio makltrato a pacientes y parientes mal manejo de informacion de los pacientes,positivo
una mejora impresionante tanto  atención,negativo
buena atención oportuna y profesional,positivo
por favor ayúdenos con un  de teléfono por cuanto el que tenemos no contestan  023982700 iess esmeraldas  necesitamos comunicarnos con ustedes compañeros,positivo
fatal  3 drs para emergencia  mas de 2 horas con un dedo roto y ni una pastilla para el dolor,neutro
desagradable ese hospital solo ven los beneficios y no les importa la vida,positivo
ojalá la atención fuese tan  el edificio,neutro
profesionales muy capacitados y atención excelente,neutro
hora y media esperando en triage y nadie atiende,negativo
excelente atención equipos modernos el papeleo hay que mejorarlo,positivo
atención rápida los vigilantes son los únicos groseros,positivo
ponen un numero telefónico 023982700 y ni contestan deberían de tener algún numero donde uno pueda pedir información,positivo
contestén el teléfono  para q tienen no pueden dar resultados rapidos,negativo
la atención es muy lenta,negativo
es una belleza el lugar y la atención un poquito de paciencia y listo,positivo
nos atendieron muy bien,positivo
atienden rápido fui por emergencia,positivo
me gusta  y atención del personal,neutro
la unidad de clowns sysa hqsur es lo máximo,positivo
esperemos que siga así con una buena atención al publicó siempre,positivo
muy moderno y excelente atención,positivo
limpio y el parqueadero es grande,positivo
excelente muy buena atención,positivo
todo lo del iess,neutro
la atención fue aceptable,positivo
buena atención y buenas instalaciones,positivo
buena,negativo
pésimo servicio,positivo
es muy buena,neutro
aceptable,neutro
excelente atención,positivo
atención buena,positivo
excelente hospital,positivo
atención rápida en emergencias,neutro
iess para el sur de quito,positivo
excelente lugar,positivo
es un asco,negativo
felicitaciones,neutro
la atención,neutro
moderno hospital,positivo
a pesar de que los mismos problemas ocurren una y otra vez nunca parece haber mejoras cada vez que el laboratorio deja de funcionar es una auténtica pesadilla los quioscos de facturación están amontonados hoy uno está fuera de servicio,negativo
excelentes instalaciones,negativo
me parece que el número convencional para información de este hospital  san francisco es lamentablemente ridículo ya que no contestan solo funciona la grabación y el momento que se va a poner el número de extensión vuelve otra vez la,negativo
la peor atención a las personas más de 32horas en emergencia y no son capaces de entregar un resultado para ver si es operación o no la gente se puede morir en su sala de espera y les vale un huevo ni un suero para aguantar y quieren que,negativo
pésima nefasta atención nos hicieron regresar a la casa en tres ocasiones indicando que mi esposa aún no dilataba mi nena nació en la casa por negligencia de toda esta gente que no sabe hacer su trabajo y eso que no explico con detalles,positivo
seguramente uno de los peores hospitales de el país el área de emergencia empezando por afuera familiares esperando en el frío con sillas rotas guardia déspota y enfermeras y médicos practicantes pagar aportes por un suero es una estafa,positivo
pésima atención en emergencia pediátrica toman los datos pero no hay enfermer en el área de triaje para la preparación del paciente nos toca esperar más de media hora para el triaje cuando no hay pacientes en espera se le aborda al,positivo
muy buena atención en el área de hospitalización de pediatría tanto  enfermeras fueron muy amables cálidos y empáticos la atención incluyó exámenes medicamentos y alimentación para el niño y su acompañante incluso citas,positivo
pésima atención llevo más de tres horas esperando q nos atiendan y nada q atienden encima esta saturando bajo y no  en dar oxígeno q pena para descontar nos del seguro ahí si son buenos,negativo
pesima atención  desde el triaje pediátrico la enfermera de turno en la noche  muy antipática e impertinente  casi no le atienden a mi hijo con una fiebre alta segun ella era una  nada más mi hijo empeoró aparte  con una,negativo
que tristeza que personas que hicieron juramentos de velar y cuidar a los enfermos sean una  ser humano deberian hacer otra cosa es especial estos dres cesar castillo suquilanda y el dr proaño duran juan carlos estar en emergencia es lo peor que nos puede pasar la gente se muere en emergencia y no les importa,negativo
hoy fui atendida en el hospital san francisco exámenes de laboratorios  gracias muy buena atención  pese a que es  inmensamente grande la cantidad de pacientes  incluso  muchos jovenes y niños que no pagan nada y va en desmedro de esta,positivo
noce si no hay control aqui en elhospital san francisco de asis que desde ayer le tengo a mi suegra con la pierna rota y no hacen nada por ingresarle adentro durmio en la area de espera en una silla y asta hora ya son las 10 de la mañana,negativo
