wiI7pd,comentarios_traducidos
muy bueno y exacto,very good and exact
atencion puntual,Punctual attention
depende del área y especialidades,It depends on the area and specialties
exelente,excellent
pésima atención,bad attention
esta frio,it is cold
buenisimo,great
excelente,excellent
lugar tranquilo,peaceful place
la gente es cordial,people are cordial
demasiada gente a la espera,Too many people waiting
poca medicacion,Little medication
la atencion de primera,First attention
da pena este lugar ni para nombrarse hospital mi abuelita la llevaron de emergencia y no la  debe de ser mi abuelita sigue enferma no le han recetado medicina ni le hacen exámenes de sangre para ver que tiene,"It is sorry for this place or to appoint hospital my grandmother took her emergency and should not be my grandmother, she has not been sick, they have not prescribed medicine or do blood tests to see what she has"
nuncaaaaacontestan,They never do
de acuerdo,OK
la atencion fue mala,The attention was bad
pésima atención la señorita de admisión nisiquiera saludaaparte en los chequeos ginecologicos cuando una está embarazada debería dejar ingresar con el esposo el también forma parte del embarazo y fomenta el vínculo con el bebé,"Last attention, the lady of admission nisisy healthya inaugare"
pésima atención el doctor que le atendió a mi mamá fisioterapeuta grosero déspota da la contra a las indicaciones del médico que la operó minimiza sus síntomas  si pudiera poner cero le pusiera,Lousy attention the doctor who attended my mother's gross physiotherapist despot
una buena atención,good attention
exelente atención,excellent attention
muy buena la atención,very good attention
dispensario del iess traer siempre cédula para atención,IESS dispensary always bring card for attention
les falta mejorar la atención,They need to improve attention
buena atención,good attention
prolongado el tiempo de espera,Prolonged waiting time
hospital del día  excelente atención,Excellent day hospital
regular,regular
el peor lugar para atenderse nadie tiene respeto por las personas 1 sola persona para toma de signos vitales 4 horas de espera para una consulta de 5 minutos con una doctora mediocre los únicos amables los señores guardias,The worst place to attend anyone has respect for people 1 single person for vital signs 4 hours of waiting for a 5 -minute consultation with a mediocre doctor the only kind guards
no se abastecen muchos enfermos en emergencia no tienen asientos para los pacientes y peor para los acompañantes  como que les vamos a obstaculizar su trabajo,Many patients in emergency are not supplied do not have seats for patients and worse for companions such as that we are going to hinder their work
todas las reseñas escritas por este servidor nacen desde la experiencia vivida en carne propia la atención en cuanto a emergencias es muy satisfactoria y pronto entre más grave es la enfermedad o el mal que a un lo aqueja más rápido le,"All reviews written by this server are born from the experience lived in their own flesh, the attention in terms of emergencies is very satisfactory and soon the more serious is the disease or evil that a faster afflict the faster"
pésimo servicioa mi tía la operaron dos veces la herida no le sana le dieron mal la cita médica 3 veces le daban la cita para los días que no está el doctor y en otra el doctor jamás agendó la cita  son un sinnúmero de cosas que dejan,Lousimo service my aunt operated twice the wound did not hear the medical appointment 3 times they gave him the appointment for the days that the doctor is not and in another the doctor never scheduled the appointment are countless things that leave
"la atención prestada buena no a la velocidad que uno necesita  en todo hay que esperar
tienen una carpa para la espera pero igual la gente no respeta o le falta un","The attention paid good not at the speed one needs in everything you have to wait
They have a tent for waiting but people do not respect or lack a"
en serio no se que pensar a estás alturas no se si es ineptitud o desinterés por el o la paciente no se si sirva de algo las opiniones de aquí pero en serio que decepción que da los profesionales en especial de ginecología de emergencia que para colmo no sirven ni para atender,"I don't know what to think about these heights I do not know if it is ineptitude or disinterest in the patient, I do not know if the opinions of here serve something but seriously that disappointment that the professionals especially of emergency gynecology give that for topThey serve or to attend"
una cosa es que estén saturados de gente no haya medicamentos o tengan poco personal pero la actitud mediocre de este personal es una total locura mi mamá tenía una apendicitis y le trataron muy mal diciendo que espere su turno se,One thing is that they are saturated with people there are no medications or have little personal but the mediocre attitude of this staff is a total madness my mother had appendicitis and they treated him very badly saying that he expects his turn
el hospital es un  que cuenta con paso peatonal exclusivo y amplios parqueaderos,The hospital is the one that has exclusive pedestrian step and large parking lots
la atención por lo que  un familiar es que es muy buena pero le pongo 4 estrellas porque se demoran un siglo solo por coser una herida muy  de 5 puntos estuvimos desde las 3 de la tarde hasta las 10 casi de la noche ya,The attention for what a relative is that it is very good but I put 4 stars because they take a century to sew a very 5 -point wound we were from 3 in the afternoon until 10 almost at night and
"toda una barbarie su atención  el profesionalismo dejan mucho que desear  es la institución que cobra para brindar un servicio privado  que mas bien queda por muy debajo que de un servicio público
todos el servicio es ineficiente","All barbarism their attention professionalism leaves much to be desired is the institution that charges to provide a private service that is rather underneath than a public service
All the service is inefficient"
el servicio es fatal se demoran más de 5 horas para atender a un paciente lo peor de todo es el personal no tiene la paciencia para indicarte donde quedan las áreas correspondientes los doctores pasan y pasan a lado de uno y ni siquiera se,"The service is fatal, more than 5 hours are delayed to serve a patient, the worst of all is the staff does not have the patience to indicate where the corresponding areas are doctors pass and pass by one side and do not even"
me pueden informar sobre la doctora liliana rodríguez de cardiología pediatrica que tal es el trató con los niños y pacientes porfavor es primera vez que voy a ese hospital,"You can inform me about Dr. Liliana Rodríguez of Pediatric Cardiology, who is dealing with children and patients, please, I'm going to that hospital"
la atención es bastante buena y rápida me operaron pronto cuando en otro hospital del iess me informaron que había lista de espera de un año además las habitaciones son aseadas y están casi nuevas el personal medíco y de enfermería muy,The attention is quite good and fast they operated soon when in another IESS hospital they informed me that there was a waiting list of a year and the rooms are also neat and the medíco and nursing staff are almost new
emergencia primero ir a triaje luego admisiones y de ahí al médico si van con pedido de isopado covid de un dr de centro médico de convenio con el iess no sirve de nada deben hacer todo el proceso de emergencia para que el doctor,Emergency first go to triage then admissions and from there to the doctor if they go with a request for isopeid
mi esposa tiene cáncer está con dolor de cabeza fuerte presión 172 y glucosa 144 estamos en emergencia ya 1 hora y no hay quien atienda sin las 7 y 2p,My wife has cancer is with a strong headache pressure 172 and glucose 144 We are in emergency 1 hour and there is no one who attends without 7 and 2p
"esta es la emergencia de este hospital 7 horasen espera
no te atienden te tratan mal
es mejor ir en estado etílico que te atienden más pronto
los derecho humanos son vulnerados","This is the emergence of this hospital 7 hours in waiting
They do not serve you treat you badly
It is better to go in an ethyl state that serve you sooner
Human law are violated"
mi madre tenía una cirugía programada para el lunes 22 de mayo en el iess central pero se dañó lamaquina y le derivaron a este hospital pero aquí le dicen que no hay cirugías es decir que mi madre boto 35 años de su vida aportando al,"My mother had a surgery scheduled for Monday, May 22 at the IESS Central but Lamaquina was damaged and referred to this hospital but here they tell her that there are no surgeries that is to say that my mother Boto 35 years of her life contributing to the"
muy buena atención en esta época de pandemia han ayudado a mucha gente creo en el profesionalismo del personal médico y enfermería del hospital al momento si hay medicinas y aunque no hay consulta externa en emergencia buena atención,Very good attention at this time of Pandemia have helped many people believe in the professionalism of the medical and nursing staff of the hospital at the time if there are medicines and although there is no external consultation in emergency good attention
la atención debe ser desde un principio prioridad para la tercera edad deben darle el turno en color naranja que pueden esperar un laso más corto que el de color amarillo que dice de 1 a 3 horas ya no están para esperar sentados mucho,The attention must be from the beginning a priority for the elderly they must give it the orange shift that can expect a shorter laso than the yellow color that says from 1 to 3 hours they are no longer to wait
buena atención el estacionamiento esta muy lejos de la entrada principal con una persona en silla de ruedas si llueve te empapas es mejor en este caso ir en taxi,Good attention The parking is far from the main entrance with a person in wheelchair if it rains soak
es uno de los hospitales más modernos de quito con equipamiento  con otros hospitales del país tuve la oportunidad de conocerlo hace poco estuve en el área de pediatria en hospitalizacion y las paredes están decoradas,It is one of Quito's most modern hospitals with equipment with other hospitals in the country I had the opportunity to meet it recently I was in the Pediatrics area in hospitalization and the walls are decorated
malísimo primero las enfermeras tienen un carácter de perro ni delicadas ni respetuosas son eso deberían cambiar no tener gente así por qué se siente hasta pesado y negativo le falta una oratoria de atención humanitaria de enfermos y,Evil first nurses have a dog or delicate or respectful character are that they should change not having people like that they feel heavy and negative.
el tiempo de espera en emergencia es de 4 a 5 horas sin exagerar y esperando que sea de ayuda para alguien que planea su ingreso uno o dos médicos atienden toda la emergencia mientras que hay 3 personas para solo tomar signos considero,Emergency waiting time is 4 to 5 hours without exaggerating and waiting for it to be for help for someone who plans their income one or two doctors attend the entire emergency while there are 3 people to only take signs I consider
buenas el servicio de enfermeros y enfermeras muy mal en la torre 3 piso 4 por que mi mami esta internada ahí desde el domingo le cambiaron a ese piso y torre y no le dan la atención necesaria ya que el día del cambio mi mami empezó a utilizar pañal y la dejaron mojada por varias horas y nadie se movió hacer su trabajo,Good the service of nurses very badly on the tower 3 floor 4 because my mom is hospitalized there from Sunday changed to that floor and tower and they do not give the necessary attention since on the day of the change my mommy began to usediaper and left her wet for several hours and nobody moved to do their job
a la ciudadanía el teléfono que sirve para llamar al hospital iess quito sur es   02 3983200,To the citizens the phone that serves to call the IESS Quito Sur hospital is 02 3983200
instalaciones modernas no hay atención personalizada trámites engorrosos sin control de calidad del servicio médico y tratantes,Modern facilities There is no custom attention cumbersome procedures without quality control of medical service and traffickers
la infraestructura bien es indignate  ver que la mayoría de los profecionales de la salud no tienen vocación cálidad humana empezando con los emergenciologos groseros  no tienen un lugar para realizar un procedimiento tengan que,The infrastructure is well indignant to see that most of the health prophecional do not have human ilrity starting with rude emergency do not have a place to perform a procedure have to
un hospital  ordenado y atención increíble siempre están pendientes en todo momentos máquinas nuevas y excelentes profesionales que te hacen sentir seguro,An incredible tidy hospital and attention are always pending in all times new and excellent professionals that make you feel safe
pésimo para tomar un turno con un especialista  se paga mensualmente por el servicio y no son capaces de tener más doctores  pésima atención,Lousimo to take a turn with a specialist is paid monthly for the service and are not able to have more careful doctors attention
"muy mala atención médica en especialidad de urología me cambian de fecha por 3ra ocasión en esta ocasión me reasignan para
fecha	20231003","Very bad medical attention in the specialty of Urology, they change me for 3rd time this time they reassign me to
Date 20231003"
hospital nuevo tiene más o menos un año equipos nuevos atención rápida y amable podría decir que es de los mejores hospitales del iess en quito y con muchas especialidades,Nuevo Hospital has about a year new teams fast and friendly attention could say that it is one of the best IESS hospitals in Quito and with many specialties
el hospital muy moderno pero la atención hospitalaria no está bien administradahoy día 4 de diciembre hemos sido maltratadas por la doctora león que atiende en la torre 1piso 4 a un familiar con neumonía que está con estado crítico y,"The very modern hospital but hospital care is not well administered by December 4, we have been mistreated by Dr. León who attends in Tower 1Piso 4 to a relative with pneumonia that is with a critical condition and"
la sala de emergencia pediatríca tienen enfermeras y enfermeros que estan de mal humor si se les pregunta la dosis del medicamento los horarios que se deben administrar a los pacientes o incluso si se pasan de la hora y se les recuerda a,The pediatric emergency room have nurses and nurses who are in a bad mood if the dose of the medicine is asked the schedules that should be administered to the patients or even if they pass the time and are reminded of
pésima atención un servicio deplorable porque la mayoría de los que trabajan ahí no sirven para nada tienen ínfulas de grandeza cuando no tienen ni capacidad de servicio al cliente hech las dueñas del hospital pésimo sistema de salud ganando sueldo de gratis porquería de personas que juegan con la salud de los demás,Lousy a deplorable service because the majority of those who work there are not useful for nothing when they do not have a customer service capacity.HEALTH OF OTHERS
las instalaciones siguen en buenas condiciones es amplio y cuidan la limpieza los estacionamientos son amplios tiene un paso peatonal con ascensor desde los parqueaderos la atención del personal es intermitente hay personal amable y otros que no les importa el tiempo de los visitantes,"The facilities are still in good condition is wide and they take care of cleaning The parking lots are wide has a pedestrian crossing with elevator from the parking lots, the attention of the staff is intermittent there are friendly staff and others who do not care about the time of visitors"
pésima atención de algunas  enfermeras deberían controlar más la atención a los pacientes cuando se encuentran internados,lousy care of some nurses should control more care for patients when they are admitted
"si pasa algo con los turnos tengan la decencia de escribir por mensaje o por correo electrónico
no es un servicio gratiuito las personas pagan todos los meses","If something happens with the shifts have the decency to write by message or by email
It is not a gratiuito service people pay every month"
estuve 2 horas solo para hacer una curación  algo mal me párese,I spent 2 hours just to make a somewhat bad healing I was shed
no  existe desorden total los doctores prometen cirugias en una hora y luego no cumplen nadien te da razon te tienen dias y tras dias  y ademas  de la sala esperan materiales para las operaciones que no,There is no total disorder the doctors promise surgery in an hour and then they do not meet you are right and after days and in addition to the room they expect materials for the operations that do not
en este momento en el piso se encuentran con aire acondicionado prendido cuando la temperatura es tan baja que se están congelando  no apagan los aires se ha pedido a enfermería  que informe a mantenimiento que los apaguen porque es,At this time on the floor they are with air conditioning on when the temperature is so low that they are freezing do not turn off the air has been asked to report maintenance to turn them off because it is
y para que ponen un numero que ni timbra,And to put a number that neither timbra
excelente hospital con un amplio parqueadero queda al frente de la parada calzado del trole tiene acceso para personas con sillas de ruedas la atencion es muy buena,"Excellent hospital with a large parking lot is at the head of the Trole Calzado stop has access to people with wheelchairs, attention is very good"
hospital limpiomuy bien equipado en las distintas áreas la mayoría del personal es amable cuenta con parqueadero ubicado al frente cruzando el puente peatonal en definitiva impuestos bien invertidos,"HOSPITAL CLEANOMYY Well equipped in the different areas The majority of the staff is friendly has a parking lot located at the front, crossing the pedestrian bridge ultimately well inverted taxes"
la gente del turno de la noche muy buen trabajo la gente del turno diurno una basura tres diagnósticos distintos en 8 horas ninguno se toma la molestia de leer la historia clínica no les preocupa dejarles a los pacientes  y,The people of the night shift very good work The people of the daytime shift three different diagnoses in 8 hours none take the discomfort of reading the medical history do not worry to leave patients and
pésima atención por parte de una señorita que está en el área de terapias hoy me acerque a entregar documentación para terapia del lenguaje y lo que me respondió que ahí no me ayudan con el turno que me vaya al iess de chimbacalle cuando,Last attention from a lady who is in the therapies area today I approached to deliver documentation for language therapy and what answered me that they do not help me with the turn to go to the Chimbacalle IESS when
hace 6 meses mi hija  se corto los deditos con unas latas por lo que tuvieron que suturarla varios puntos pero por seguridad también tenían que ponerle una inyección contra el tétanos muy lamentable la atención de las enfermeras que,6 months ago my daughter cuts the fingers with cans so they had to suture several points but for security they also had to put an injection against very unfortunate tetanus the attention of the nurses who
"un hospital muy moderno con una infraestructura de alta tecnología
son 5 torres con ascensor salas de espera
médicos enfermeras camilleros personal de logística y administrativos son muy","A very modern hospital with a high -tech infrastructure
There are 5 towers with elevator waiting rooms
Doctors nurses logistics and administrative staff are very"
"pésima atención personal mal educado grosero y prepotente enfermeras no hacen ningún trabajo por los pacientes desde q ingresan duran horas y horas y el paciente sale tal cual ingreso  herido lastimado
010 pésimo el servicio público el dinero q aportamos es en vano","bad personal attention badly educated and arrogant nurses do not do any work for patients since they enter hours and hours and the patient leaves such an injured injury
010 lousy the public service the money that we contribute is in vain"
un lugar definitivamente malo  jamás tienen médicos y peor medicina se les paga puntual para una atención de excelencia  y si atención no llega ni mala por qué es un asco si necesitan ser atendido vallan a otro lugar aquí les,"A definitely bad place never have doctors and worse medicine is paid on time for excellent attention and if attention does not come or bad why it is disgusting if they need to be treated, they are valid to another place here."
a mi me han atendido bien tanto el personal  en farmacia al gobierno hay que exigir qué pague la deuda y que se revise la atención a familiares y seguro campesino,"I have been cared for both the personnel in Pharmacy to the Government, it must be demanded what the debt pays and that the attention to family members and peasant insurance is reviewed"
lastimosamente tengo  que a pesar de poseer todos los equipos requeridos a mi esposo no pudieron detectarle una apendicitis y le dieron el alta medica mandandole a tomar solo suero oral a penas salio del hospital el dolor,Unfortunately I have to have all the required teams to my husband could not detect an appendicitis and discharge him by sending him only oral serum to sorrows came out of the hospital El Pain
en emergencias mamá duro 3 días sabían q mi madre tenía cáncer desde que llegó y en  vez de derivar  a un hospital con oncólogo me dieron entrada aquí si un oncólogo lee esto y es del seguro sepan que diagnosticar cáncer con lugar y biopsia,In Emergencies Mom Duro 3 days they knew that my mother had cancer since she arrived and instead of referring to a hospital with oncologist they gave me entrance here if an oncologist read this and it is from the insurance they know that diagnosing cancer with place and biopsy
no contestan el numero convencional del hospital pesimo servicio,They do not answer the conventional number of the Hospital Pesimo Service
gracias a dios hoy salió mi cuñado de ese pesimo lugar del cuarto piso de geriatría las enfermeras con falta de humanidad educación es un piso donde están adultos mayores quienes merecen mucha consideración y sobre todo paciencia,Thank God today my brother -in
no tienen insumos médicos no hay camillas ni ambulancias le sacaron en brazos a mi abuelita de emergencias por años pago el seguro para que ahora brinden una atención mediocre,They do not have medical supplies there are no stretchers or ambulances brought in my arms my emergency grandmother for years pay the insurance so that they now provide mediocre attention
